sym,cur,name,con,isin,rebaterate,feerate,available,figi
049323AB4,USD,CB ATLAS FINL HLDGS IN D04-14-22 06.625% 27,557991763.0,XXXXXXX3AB46,3.39,0.25,300000,BBG017QTG7P1
2391358D,USD,ROI LAND INVESTMENTS LTD,137461526.0,XXXXXXX51012,3.39,0.25,100000,BBG001RWYW36
2575343D,USD,VAPE HOLDINGS INC,141555362.0,XXXXXXXN1054,3.39,0.25,6200000,BBG001CDYRM4
2777456Q,USD,HYDROMAID INTERNATIONAL INC,244127238.0,XXXXXXXF1093,,,2000,
3LI,EUR,LONGWEI PETROLEUM INVESTMENT,77577663.0,XXXXXXX41043,1.532,0.4,500,
3WM,EUR,WESTERN MAGNESIUM CORP,603515870.0,XXXXXXXT1025,-14.8647,16.7967,300,BBG000KYNJF9
4FJ3,EUR,REAL GOODS SOLAR INC-CLASS A,263971112.0,XXXXXXXN5005,1.532,0.4,800,BBG000VG1285
4OS,EUR,A-POWER ENERGY GENERATION,74964418.0,VGG041361004,0.392,1.54,10000,
6CE,EUR,CHINA MEDIAEXPRESS HOLDINGS,77762063.0,XXXXXXX21009,-3.8067,5.7387,1000,
8EC0,EUR,EMPOWER CLINICS INC,638350961.0,CA29246V2030,0.892,1.04,10000,BBG000HNFSF6
A,USD,AGILENT TECHNOLOGIES INC,1715006.0,XXXXXXXU1016,3.2319,0.4081,5000000,BBG000C2V3D6
A4G1,EUR,AURORA GOLD CORP,137046809.0,XXXXXXX22054,1.532,0.4,4000,BBG000DPW539
AA,USD,ALCOA CORP,251962528.0,XXXXXXX21065,3.2319,0.4081,4200000,BBG00B3T3HD3
AAA,USD,ALTERNATIVE ACCESS FIRST PRI,591368776.0,XXXXXXXX6105,-6.1209,9.7609,5000,BBG01B0JRCS6
AAAA,USD,AMPLIUS AGGRESSIVE A ALL ETF,799151665.0,XXXXXXXQ6897,-110.9881,114.6281,20000,BBG01W275XX6
AAAC,USD,COLUMBIA AAA CLO ETF,837910779.0,XXXXXXXL7635,,,300,BBG01YZNRVY0
AAAU,USD,GOLDMAN SACHS PHYSICAL GOLD,458886642.0,XXXXXXXK1034,3.2914,0.3486,700000,BBG00LPXX872
AABB,USD,ASIA BROADBAND INC,75216559.0,XXXXXXXL1008,1.3384,2.3016,>10000000,BBG000CWNRN5
AABVF,USD,ABERDEEN INTERNATIONAL INC.,60152167.0,CA0030691012,1.892,1.748,45000,BBG000BXKHJ4
AACAY,USD,AAC TECHNOLOGIES H-UNSPON AD,54939868.0,XXXXXXX41052,-1.8586,5.4986,150000,BBG000VNTB62
AACB,USD,ARTIUS II ACQUISITION INC-A,773701110.0,KYG0509J1159,-15.0865,18.7265,2400000,BBG01SK9X794
AACBU,USD,ARTIUS II ACQUISITION INC,760970914.0,KYG0509J1076,2.42,1.22,100,BBG01QNRTXV8
AACG,USD,ATA CREATIVITY GLOBAL - ADR,48811132.0,XXXXXXXV1061,-0.6342,4.2742,350000,BBG000V2S3P6
AACIU,USD,ARMADA ACQUISITION CORP III,854560210.0,KYG0R38M1273,2.42,1.22,600000,BBG02093YXT0
AACOU,USD,ABONY ACQUISITION CORP I,855758912.0,KYG005821254,2.42,1.22,550000,BBG020D5VK39
AACS,USD,AMERICAN COMMERCE SOLUTIONS,30207299.0,XXXXXXX91008,3.39,0.25,1700000,BBG000JVQ2Q9
AACTF,USD,AURORA SOLAR TECHNOLOGIES IN,195675323.0,CA05207J1084,-9.0414,12.6814,200000,BBG005BTJ9X6
AADI.OLD1,USD,AMERICAN ASSET DEVELOPMENT I,80584789.0,XXXXXXX31056,3.39,0.25,20000,
AADR,USD,ADVISORSHARES DORSEY WRIGHT,77459165.0,XXXXXXXY2063,-1.0418,4.6818,10000,BBG000BDYRW6
AAEQ,USD,ALPHA ARCHITCT US EQTY 2 ETF,837669615.0,XXXXXXXQ3589,3.1556,0.4844,70000,BBG01YY0GN44
AAGAF,USD,SILVER47 EXPLORATION CORP,748823994.0,CA8277191059,-1.0386,4.6786,2500000,BBG01R9X0N42
AAGC,USD,ALL AMERICAN GOLD CORP,88362966.0,XXXXXXXV1026,3.39,0.25,3100000,BBG000R4MM71
AAGFF,USD,AFTERMATH SILVER LTD,267518971.0,CA00831V2057,-0.6039,4.2439,4100000,BBG001ZZWS68
AAGH.OLD1,USD,ASIA GLOBAL HOLDINGS CORP,40015795.0,XXXXXXXD1081,3.39,0.25,950000,
AAGIY,USD,AIA GROUP LTD-SP ADR,90162715.0,XXXXXXX72053,3.2102,0.4298,200000,BBG001R3QP52
AAGR,USD,AFRICAN AGRICULTURE HOLDINGS,670179928.0,XXXXXXXJ1007,-11.4253,15.0653,300000,BBG00ZKGK0R2
AAIR,USD,AVANTAIR INC,44026574.0,XXXXXXXT1016,3.39,0.25,75000,BBG000BJ3SD6
AAL,USD,AMERICAN AIRLINES GROUP INC,139673266.0,XXXXXXXR1023,3.3017,0.3383,>10000000,BBG005P7Q881
AALG,USD,LEVERAGE SHARES 2X AAL,798493232.0,XXXXXXX73122,-10.2745,13.9145,7000,BBG01VH49P35
AAME,USD,ATLANTIC AMERICAN CORP,265585.0,XXXXXXX91008,0.1035,3.5366,100000,BBG000B9XB24
AAMI,USD,ACADIAN ASSET MANAGEMENT INC,374293788.0,XXXXXXXW1036,3.2156,0.4244,350000,BBG00P2HLNY3
AAMMF,USD,ALMADEX MINERALS LTD-NEW,319496815.0,CA02028L1076,-1.387,5.027,500000,BBG00L1LR0B3
AAMTF,USD,ARMADA MERCANTILE LTD,75218554.0,CA0419041037,3.2156,0.4244,25000,BBG000K7V8F3
AAMUQ,USD,AMERICAN AMMUNITION INC-CA,30207305.0,XXXXXXX62093,3.39,0.25,850000,
AAOI,USD,APPLIED OPTOELECTRONICS INC,135423662.0,XXXXXXXU1025,3.3058,0.3342,1900000,BBG000D6VW15
AAON,USD,AAON INC,265595.0,XXXXXXX02069,3.2104,0.4296,650000,BBG000C2LZP3
AAP,USD,ADVANCE AUTO PARTS INC,4027.0,XXXXXXXY1064,3.195,0.445,400000,BBG000F7RCJ1
AAPB,USD,GRANITESHARES 2X LONG AAPL D,578561458.0,XXXXXXXR8842,1.4494,2.1906,10000,BBG0193F21N2
AAPD,USD,DIREXION DAILY AAPL BEAR 1X,578561422.0,XXXXXXXA3041,-4.7678,8.4078,55000,BBG0193YGJ57
AAPG,USD,ASCENTAGE PHARMA GR-ADR,756915674.0,XXXXXXXB1052,-36.9486,40.5886,20000,BBG01RJXM9C9
AAPH,USD,AMERICAN PETRO-HUNTER INC,30207586.0,XXXXXXX71005,3.39,0.25,3000000,BBG000F2FL69
AAPI,USD,APPLE ISPORT GROUP INC,336320210.0,XXXXXXX53077,3.39,0.25,4000,BBG000CQN9X7
AAPJ,USD,AAP INC,95309032.0,XXXXXXXT1034,3.39,0.25,>10000000,BBG000BHS5L4
AAPL,USD,APPLE INC,265598.0,XXXXXXX31005,3.39,0.25,>10000000,BBG000B9XRY4
AAPR,USD,IN ED PR ETF - 2YR TO A 2026,693841807.0,XXXXXXXY3356,0.9153,2.7247,30000,BBG01M698CQ1
AAPT,USD,ALL AMERICAN PET CO INC,44001811.0,XXXXXXXF1066,3.39,0.25,7800000,BBG000R7ZH35
AAPU,USD,DIREXION DAILY AAPL BULL 2X,578561419.0,XXXXXXXA8743,-6.9099,10.5499,8000,BBG0193YBZ92
AAPW,USD,ROUNDHILL AAPL WEEKLYPAY ETF,762285103.0,XXXXXXXX7912,-8.3942,12.0342,15000,BBG01SCFVRC3
AAPX,USD,T-REX 2X LNG APPLE DLY TRGT,677037688.0,XXXXXXXN6296,-9.039,12.679,15000,BBG01KY72SD3
AAPY,USD,KURV YLD PREM STR AAPL ETF,742759295.0,XXXXXXX85005,-1.1508,4.7908,10000,BBG01QY0GMH9
AARD,USD,AARDVARK THERAPEUTICS INC,760966621.0,XXXXXXX21007,2.438,1.202,450000,BBG01223DLB2
AASP,USD,AGASSI SPORTS ENTERTAINMENT,483638483.0,XXXXXXX31074,3.39,0.25,2000,BBG000K2W621
AAST,USD,ALLIED AMERICAN STEEL CORP,88121627.0,XXXXXXX71033,3.39,0.25,10000,BBG000C45JQ2
AAT,USD,AMERICAN ASSETS TRUST INC,82819360.0,XXXXXXX31047,3.2156,0.4244,900000,BBG00161BCR0
AATC,USD,AUTOSCOPE TECHNOLOGIES CORP,504062934.0,XXXXXXX61067,1.8854,1.7546,100000,BBG011MC2100
AATV,USD,ADAPTIVE AD SYSTEMS INC,160872878.0,XXXXXXXA1007,3.39,0.25,35000,BBG000DQDZ96
AAUAF,USD,ALMADEN MINERALS LTD - B,202212514.0,CA0202833053,1.8168,1.8232,2700000,BBG000DGFSY4
AAUC,USD,ALLIED GOLD CORP,789046083.0,CA01921D2041,2.3032,1.3368,45000,BBG01K0WWT59
AAUGF,USD,AERO ENERGY LTD,840404392.0,CA00792K2065,2.5354,1.1046,75000,BBG00ZNSRJ77
AAUM,USD,TEMA ALTER ASSET MGRS ETF,818608078.0,XXXXXXXE7922,-10.3608,14.0008,300,BBG01X2NVVB8
AAUS,USD,ALPHA ARCHITECT US EQY ETF,801550307.0,XXXXXXXQ8539,2.8097,0.8303,200000,BBG01W26H9C1
AAVM,USD,ALPHA ARCHITECT GLOBAL FACTO,274839972.0,XXXXXXXL5084,-0.7084,4.3484,250000,BBG00GM1DQV1
AAVMY,USD,ABN AMRO BANK NV-UNSP ADR,377515728.0,XXXXXXXQ1058,-0.9791,4.6191,60000,BBG00PXGLFG8
AAVVF,USD,ADVANTAGE ENERGY LTD,493038634.0,CA00791P1071,2.8439,0.7961,900000,BBG000C5QZ62
AAWH,USD,ASCEND WELLNESS HOLDINGS-A,490642487.0,XXXXXXXN1063,-0.7115,4.3515,2200000,BBG00P4VKXR7
AAXJ,USD,ISHARES MSCI ALL COUNTRY ASI,53224215.0,XXXXXXX81829,1.6581,1.9819,10000,BBG000G6GXC5
AAXT,USD,AAMAXAN TRANSPORT GROUP INC,46612997.0,XXXXXXXR3030,3.39,0.25,15000,BBG000BSVKZ8
AB,USD,ALLIANCEBERNSTEIN HOLDING LP,38198926.0,XXXXXXXG1067,2.7913,0.8487,700000,BBG000B9WM03
ABAT,USD,AMERICAN BATTERY TECHNOLOGY,653032827.0,XXXXXXXV3096,3.1367,0.5033,100000,BBG004M1KJN5
ABBB,USD,AUBURN BANCORP INC,53267463.0,XXXXXXX41016,-9.6839,13.3239,35000,BBG000BMSFK2
ABBNY,USD,ABB LTD-SPON ADR,11962137.0,XXXXXXX52047,3.1448,0.4952,65000,BBG000DK5Q25
ABBRF,USD,ABRASILVER RESOURCE CORP,704630244.0,CA00379L3048,0.7447,2.8953,950000,BBG00GBV2HN8
ABBV,USD,ABBVIE INC,118089500.0,XXXXXXXY1091,3.2319,0.4081,>10000000,BBG0025Y4RY4
ABBY,USD,ABBY INC,166708571.0,XXXXXXXT3086,3.39,0.25,550000,BBG001M8FVR1
ABCB,USD,AMERIS BANCORP,3655373.0,XXXXXXXK1088,3.2307,0.4093,550000,BBG000CDY3H5
ABCFF,USD,ABACUS MINING &amp; EXPLORATION,274710751.0,CA0025555065,0.8966,2.7434,600000,BBG000JR8L77
ABCL,USD,ABCELLERA BIOLOGICS INC,459919952.0,CA00288U1066,2.5536,1.0864,550000,BBG00LLW2MF2
ABCP,USD,AMBASE CORP,30207592.0,XXXXXXX41061,3.3026,0.3374,1700000,BBG000CY8Z05
ABCS,USD,ALPHA BLUE CAP US S-M DYN,672387402.0,XXXXXXXL2842,-4.4972,8.1372,1000,BBG01KMFQRF2
ABEO,USD,ABEONA THERAPEUTICS INC,571221112.0,XXXXXXXY2063,2.6649,0.9751,2400000,BBG000DT5D52
ABEPF,USD,VISION LITHIUM INC,322587606.0,CA92837C1095,1.7719,1.8681,1300000,BBG000KKBJC5
ABEQ,USD,ABSOLUTE SELECT VALUE ETF,400759002.0,XXXXXXXL5681,-1.291,4.931,7000,BBG00RHHGQY2
ABEV,USD,AMBEV SA-ADR,137736417.0,XXXXXXXV1035,0.3524,3.2876,2300000,BBG000BN5VZ4
ABEW,USD,AIRBEE WIRELESS INC,42778704.0,XXXXXXX31054,3.39,0.25,300000,
ABFL,USD,ABACUS FCF LEADERS ETF,249323298.0,XXXXXXXW3025,-12.919,16.559,45000,BBG00DW3P010
ABG,USD,ASBURY AUTOMOTIVE GROUP,14680959.0,XXXXXXX61046,3.3336,0.3064,250000,BBG000BKDWB5
ABIG,USD,ARGENT LARGE CAP ETF,775480573.0,XXXXXXXQ7473,-12.8866,16.5266,200,BBG01TCJ3701
ABILF,USD,ABILITY INC,311892904.0,KYG8789K1242,3.39,0.25,60000,BBG00B3TP3R5
ABIT,USD,ATHENA BITCOIN GLOBAL,495899616.0,XXXXXXX91067,-10.6711,14.3111,1100000,BBG000CKBF87
ABKI,USD,ABAKAN INC,70839916.0,XXXXXXXJ1079,3.39,0.25,600000,
ABLD,USD,ABA FCF RAL ASET LAD ETF-USD,532646868.0,XXXXXXXW7083,-2.7381,6.3781,300,BBG0141PBK24
ABLE,USD,ABLE ENERGY INC,6542348.0,XXXXXXX91024,3.39,0.25,45000,BBG000C4DB08
ABM,USD,ABM INDUSTRIES INC,4050.0,XXXXXXX71003,3.3113,0.3287,600000,BBG000B9YYH7
ABMBF,USD,ABCOURT MINES INC -CL B,47525921.0,CA00288E3005,-2.6394,6.2794,1200000,BBG000KS7RZ0
ABMC,USD,AMERICAN BIO MEDICA CORP,4725711.0,XXXXXXX01087,3.39,0.25,800000,BBG000CK8P25
ABMT,USD,ADVANCED BIOMEDICAL TECHNOLO,58608108.0,XXXXXXXM1018,3.39,0.25,30000,BBG000RT11T1
ABNAF,USD,ABEN GOLD CORP,781686682.0,CA00289A1093,3.2968,0.3432,40000,BBG000C0KBR9
ABNB,USD,AIRBNB INC-CLASS A,459530964.0,XXXXXXX61010,3.39,0.25,>10000000,BBG001Y2XS07
ABNG,USD,LEVERAGE SHARES 2X ABNB,831425848.0,XXXXXXX71308,-8.2424,11.8824,1000,BBG01YJKQMJ2
ABNY,USD,YLDMX ABNB OP INC STRTG ETF,832260629.0,XXXXXXXX4016,3.2576,0.3824,500,BBG01JHFMD75
ABOS,USD,ACUMEN PHARMACEUTICALS INC,499901350.0,XXXXXXXG2093,2.3993,1.2407,850000,BBG0058YJ317
ABPA,USD,ALLEGIANCE BANK OF NORTH AME,32932679.0,XXXXXXXV2060,3.39,0.25,250000,BBG000KNS951
ABPO,USD,ABPRO HOLDINGS INC,827679982.0,XXXXXXX72021,-267.041,270.681,200000,BBG013X0S7F3
ABPR,USD,AIRBORNE SECURITY &amp; PROTECTI,75736689.0,XXXXXXXQ1022,3.39,0.25,2800000,BBG000N8LW93
ABR,USD,ARBOR REALTY TRUST INC,29661257.0,XXXXXXX31087,2.2989,1.3411,650000,BBG000KMVDV1
ABR PRD,USD,ARBOR REALTY TRUST INC,494398845.0,XXXXXXX38769,-15.3714,19.0114,100000,BBG0116Z9JS1
ABR PRE,USD,ARBOR RLTY TR INC PFD SER E (MD),507157329.0,XXXXXXX38686,-8.2311,11.8711,85000,BBG0121CYS43
ABR PRF,USD,ARBOR RLTY TR INC 6.25% SER F FXD-F,519293896.0,XXXXXXX38504,-0.689,4.329,200000,BBG012TJZP16
ABSI,USD,ABSCI CORP,504239576.0,XXXXXXXE1091,2.6286,1.0114,650000,BBG011N54CJ8
ABSSF,USD,AIRBOSS OF AMERICA CORP,75219120.0,CA00927V2003,1.9786,1.6614,250000,BBG000F70XS4
ABSY,USD,ABSOLUTESKY INC,75217630.0,XXXXXXXT1088,3.39,0.25,10000,
ABT,USD,ABBOTT LABORATORIES .,4065.0,XXXXXXX41000,3.39,0.25,>10000000,BBG000B9ZXB4
ABTC,USD,AMERICAN BITCOIN CORP-A,811025395.0,XXXXXXXA1043,2.6792,0.9608,9600000,BBG00MS8GZP1
ABTS,USD,ABITS GROUP INC,766915744.0,VGG6S34K1136,-62.1656,65.8056,15000,BBG01255DHK3
