ETF,Underlying,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_n_obs,Delta_source,Delta_se,Delta_resid_sigma_annual,Delta_horizon_chosen,Delta_quality,Delta_prior_mu,Delta_prior_tau,Delta_prior_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,vol_underlying_annual_legacy,vol_underlying_source,sigma_realized_implied_annual,sigma_cap_annual,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,vol_ratio_value,vol_ratio_outlier,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,asof_date,product_class,underlying_sector,expected_decay_available,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,gross_anchor_shift_annual,gross_anchor_target_annual,gross_anchor_source,gross_blend_method,gross_sigma_forward_annual,gross_sigma_realized_annual,gross_blend_weight_forward,gross_realized_mean_annual,und_rv_20d_daily_annual,und_rv_20d_weekly_annual,und_trend_ratio_20d,und_vcr_20d,und_return_20d,und_abs_return_20d_pctile,und_rv_20d_pctile,und_trend_ratio_20d_pctile,und_vcr_20d_pctile,und_vcr_20d_median,und_vol_shape_20d,und_rv_60d_daily_annual,und_rv_60d_weekly_annual,und_trend_ratio_60d,und_vcr_60d,und_return_60d,und_abs_return_60d_pctile,und_rv_60d_pctile,und_trend_ratio_60d_pctile,und_vcr_60d_pctile,und_vcr_60d_median,und_vol_shape_60d,und_vol_shape_price_basis,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,purgatory,strategy_blacklisted
AAPU,AAPL,False,,letf_long,1.996183,499,posterior.nominal_L,0.012108250177528968,0.02680627326748778,1,ok,2.0,240.0,nominal_L,0.045119,350000,0.045119,False,False,40.14500045776367,0.045119,1.0,False,,False,False,0.43243,0.163829,0.216778,0.221619,"{""method"":""weighted_median"",""n_probes"":6,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.430141,""sigma_pool"":0.216778,""sigma_capped_to"":null}",0.43014132206068223,0.5376766525758527,0.0096,yfinance,0.0,0.03605,0.092236,True,0.163829,0.11871000000000001,0.9993100562275764,False,0.092236,0.092236,0.092236,0.092236,simple_ito_fallback,-2.37767,0.0,478.0,252.0,2026-06-01,letf,mega-cap-tech,True,blended_realized_expected,0.11871000000000001,0.1280325,0.045119,0.07277250632911393,0.0586295,-0.039916667692196935,-0.002470323887430563,0.028123374242123904,0.04737747363122063,0.06892447593767313,"{""e"":[-0.092837,-0.083681,-0.074525,-0.065369,-0.056213,-0.047057,-0.037901,-0.028745,-0.01959,-0.010434,-0.001278,0.007878,0.017034,0.02619,0.035346,0.044502,0.053657,0.062813,0.071969,0.081125,0.090281],""c"":[3,3,0,3,2,9,15,23,23,18,30,26,30,54,45,42,34,23,6,3]}",0.092236,0.071593,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0841;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.22240011664858242,mean_reversion,False,incomplete_regime,90.0,79.0,weighted_empirical,-0.08410966678561925,0.092236,simple_ito_fallback,anchor_shift_fallback,,0.01986696358765887,,0.17634566678561925,0.177941,0.211439,1.188256,0.273254,0.091126,0.80625,0.239583,0.666667,0.452083,0.296761,boiling_trend,0.21546,0.180149,0.836113,0.09195,0.164619,0.85,0.265909,0.152273,0.034091,0.186175,choppy_volatile,underlying_total_return,2,short_favorable_positive,0.092236,,,simple_ito,0.49904575,0.5988549,0.5,0.5988549,bucket_1,,False,True,False
AMUU,AMD,False,,letf_long,1.98637,290,posterior.nominal_L,0.015604939247499195,0.08268498104859363,1,ok,2.0,240.0,nominal_L,0.053665000000000004,60000,0.053665000000000004,False,False,244.35499572753906,0.053665000000000004,1.0,False,,False,False,1.186532,0.48908,0.595779,0.652267,"{""method"":""weighted_median"",""n_probes"":7,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.697699,""sigma_pool"":0.595779,""sigma_capped_to"":null}",0.6976989719822773,0.8721237149778466,0.0106,yfinance,0.0,0.03605,0.393887,True,0.48908,0.435415,1.0026148129375017,False,0.393887,0.393887,0.393887,0.393887,simple_ito_fallback,-0.911129,0.0,478.0,252.0,2026-06-01,letf,semis,True,blended_realized_expected,0.435415,0.44148350000000003,0.053665000000000004,0.03969176923076923,0.0529455,0.24467074417176313,0.2955502585617852,0.34434150378117956,0.39498893260500456,0.46936244460809684,"{""e"":[0.202722,0.221183,0.239644,0.258105,0.276566,0.295027,0.313488,0.331949,0.35041,0.368871,0.387333,0.405794,0.424255,0.442716,0.461177,0.479638,0.498099,0.51656,0.535021,0.553482,0.571943],""c"":[6,6,22,27,33,38,39,40,32,38,31,24,17,19,7,5,2,5,0,1]}",0.393887,0.09519300000000003,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1100;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.16721092593402223,mean_reversion,False,incomplete_regime,90.0,78.0,weighted_empirical,-0.11000061363698221,0.393887,simple_ito_fallback,anchor_shift_fallback,,0.07147289631728293,,0.5038876136369822,0.914166,0.992507,1.085696,0.439372,0.356447,0.914583,0.891667,0.604167,0.783333,0.307966,jumpy_trend,0.739419,0.83325,1.126897,0.223862,0.948487,0.997727,0.968182,0.831818,0.429545,0.270457,boiling_trend,underlying_total_return,2,short_favorable_positive,0.393887,,,simple_ito,0.4965925,0.595911,0.5,0.595911,bucket_1,,False,False,False
AMZU,AMZN,False,,letf_long,1.994737,499,posterior.nominal_L,0.00675798721246609,0.025779782578558844,1,ok,2.0,240.0,nominal_L,0.040064,750000,0.040064,False,False,41.91999816894531,0.040064,1.0,False,,False,False,0.556892,0.204318,0.279181,0.297127,"{""method"":""weighted_median"",""n_probes"":7,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.438,""sigma_pool"":0.279181,""sigma_capped_to"":null}",0.43799995041339723,0.5474999380167466,0.0099,yfinance,0.0,0.03605,0.123088,True,0.204318,0.164254,0.9999987961827556,False,0.123088,0.123088,0.123088,0.123088,simple_ito_fallback,-2.086944,0.0,478.0,252.0,2026-06-01,letf,mega-cap-tech,True,blended_realized_expected,0.164254,0.163703,0.040064,0.062127,0.0513215,-0.0018227289151000318,0.050659875108626636,0.0662342586637037,0.08229992699507357,0.09889806960909361,"{""e"":[-0.034493,-0.02715,-0.019807,-0.012464,-0.005121,0.002222,0.009565,0.016908,0.024251,0.031594,0.038937,0.04628,0.053623,0.060966,0.068309,0.075652,0.082995,0.090338,0.097681,0.105024,0.112367],""c"":[3,8,2,0,6,8,10,2,13,9,21,24,48,56,45,44,50,24,13,6]}",0.123088,0.08123,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0920;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.12114860839619454,none,False,ok,90.0,77.0,weighted_empirical,-0.0919967699371122,0.123088,simple_ito_fallback,anchor_shift_fallback,,0.01663687838341233,,0.2150847699371122,0.221347,0.133569,0.603435,0.153447,-0.015553,0.116667,0.15,0.091667,0.010417,0.302383,quiet_chop,0.288046,0.326115,1.132162,0.150526,0.187606,0.795455,0.295455,0.775,0.220455,0.248968,quiet_trend,underlying_total_return,2,short_favorable_positive,0.123088,,,simple_ito,0.49868425,0.5984210999999999,0.5,0.5984210999999999,bucket_1,,False,False,False
ASMU,ASML,False,,letf_long,1.996288,75,posterior.nominal_L,0.009011992070973605,0.05003880977493241,1,ok,2.0,240.0,nominal_L,0.133382,10000,0.133382,False,False,29.489999771118164,0.133382,1.0,False,,False,False,0.910142,0.335791,0.396081,0.404706,"{""method"":""weighted_median"",""n_probes"":3,""n_outliers_dropped"":1,""sigma_real_implied_median"":0.562584,""sigma_pool"":0.396081,""sigma_capped_to"":null}",0.5625839140105258,0.7032298925131573,0.0097,yfinance,0.0,0.03605,0.201624,True,0.241555,0.202409,1.1510705696317944,False,0.201624,0.201624,0.201624,0.201624,simple_ito_fallback,-1.595774,0.0,478.0,252.0,2026-06-01,letf,semis,True,blended_realized_expected,0.202409,0.2687075,0.133382,0.11105601408450705,0.136621,-0.058808918747302964,0.026897192124354912,0.08247083983999037,0.14661933830430673,0.22909613790102498,"{""e"":[-0.117809,-0.097682,-0.077554,-0.057426,-0.037299,-0.017171,0.002957,0.023084,0.043212,0.06334,0.083467,0.103595,0.123723,0.14385,0.163978,0.184106,0.204233,0.224361,0.244489,0.264616,0.284744],""c"":[7,2,8,20,12,19,26,35,35,34,37,33,24,22,24,23,10,14,3,4]}",0.201624,0.134167,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1438;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,1.1915576818615777e-05,none,False,ok,90.0,71.0,weighted_empirical,-0.14375891788624415,0.201624,simple_ito_fallback,anchor_shift_fallback,,0.08233475426868873,,0.34538291788624415,0.517655,0.532784,1.029226,0.21862,0.122495,0.78125,0.808333,0.697917,0.141667,0.313432,volatile_mixed,0.492021,0.396675,0.806215,0.122658,0.166652,0.545455,0.713636,0.261364,0.097727,0.222577,quiet_chop,underlying_total_return,2,short_favorable_positive,0.201624,,,simple_ito,0.499072,0.5988864,0.5,0.5988864,bucket_1,,False,False,False
AVL,AVGO,False,,letf_long,1.991687,409,posterior.nominal_L,0.015018811343341652,0.06403272889819964,1,ok,2.0,240.0,nominal_L,0.030292,10000,0.030292,False,False,69.0250015258789,0.030292,1.0,False,,False,False,0.819667,0.342401,0.412816,0.429673,"{""method"":""weighted_median"",""n_probes"":6,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.561788,""sigma_pool"":0.412816,""sigma_capped_to"":null}",0.5617875501440763,0.7022344376800954,0.01,yfinance,0.0,0.03605,0.214048,True,0.342401,0.312109,0.9969189250923175,False,0.214048,0.214048,0.214048,0.214048,simple_ito_fallback,-1.529042,0.0,478.0,252.0,2026-06-01,letf,semis,True,blended_realized_expected,0.312109,0.2782245,0.030292,0.053546597402597415,0.0408975,0.07050327317146145,0.1286009430150794,0.16693696262830615,0.2067480206434213,0.2676587330256796,"{""e"":[0.009694,0.023844,0.037995,0.052145,0.066295,0.080446,0.094596,0.108747,0.122897,0.137048,0.151198,0.165349,0.179499,0.193649,0.2078,0.22195,0.236101,0.250251,0.264402,0.278552,0.292703],""c"":[3,2,3,4,14,13,18,18,44,34,38,40,34,34,25,19,16,12,13,8]}",0.214048,0.12835300000000002,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1563;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.003923917028965327,none,False,ok,90.0,77.0,weighted_empirical,-0.15627833536629335,0.214048,simple_ito_fallback,anchor_shift_fallback,,0.05498194378690224,,0.37032633536629334,0.391055,0.373175,0.954277,0.237729,0.081965,0.5,0.3625,0.55625,0.3375,0.307874,quiet_mixed,0.419857,0.468123,1.114959,0.086603,0.319907,0.856818,0.268182,0.781818,0.022727,0.233925,boiling_trend,underlying_total_return,2,short_favorable_positive,0.214048,,,simple_ito,0.49792175,0.5975060999999999,0.5,0.5975060999999999,bucket_1,,False,False,False
BOEU,BA,False,,letf_long,1.999198,277,posterior.nominal_L,0.006555607468712496,0.04831537766336448,1,ok,2.0,240.0,nominal_L,0.056870000000000004,55000,0.056870000000000004,False,False,37.29999923706055,0.056870000000000004,1.0,False,,False,False,0.599725,0.199561,0.299983,0.31487,"{""method"":""weighted_median"",""n_probes"":3,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.441282,""sigma_pool"":0.299983,""sigma_capped_to"":null}",0.4412821406783656,0.551602675847957,0.0106,yfinance,0.0,0.03605,0.136503,True,0.199561,0.14269099999999998,0.9999993102943603,False,0.136503,0.136503,0.136503,0.136503,simple_ito_fallback,-1.990205,0.0,478.0,252.0,2026-06-01,letf,industrials,True,blended_realized_expected,0.14269099999999998,0.16803200000000001,0.056870000000000004,0.06020426923076921,0.054907,-0.002769628805736738,0.049921474747361916,0.08226562683174465,0.11518805137556246,0.15598219075080041,"{""e"":[-0.036337,-0.02527,-0.014202,-0.003134,0.007933,0.019001,0.030069,0.041137,0.052204,0.063272,0.07434,0.085407,0.096475,0.107543,0.11861,0.129678,0.140746,0.151813,0.162881,0.173949,0.185016],""c"":[5,4,5,16,8,27,18,19,39,29,39,39,25,32,25,26,14,15,3,4]}",0.136503,0.06305799999999998,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0634;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.041182299557813495,none,False,ok,90.0,78.0,weighted_empirical,-0.06335175648210409,0.136503,simple_ito_fallback,anchor_shift_fallback,,0.04630496968179786,,0.1998547564821041,0.359515,0.316132,0.879328,0.229281,-0.012836,0.14375,0.695833,0.347917,0.275,0.286466,quiet_chop,0.376657,0.32697,0.868085,0.085774,0.010839,0.056818,0.813636,0.209091,0.063636,0.175788,choppy_volatile,underlying_total_return,2,short_favorable_positive,0.136503,,,simple_ito,0.4997995,0.5997593999999999,0.5,0.5997593999999999,bucket_1,,False,False,False
BABU,BABA,False,,letf_long,2.007143,74,posterior.nominal_L,0.014031635285608787,0.05976538910095083,1,ok,2.0,240.0,nominal_L,0.143565,20000,0.143565,False,False,12.854999542236328,0.143565,1.0,False,,False,False,0.791797,0.297995,0.416148,0.435561,"{""method"":""weighted_median"",""n_probes"":6,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.708176,""sigma_pool"":0.416148,""sigma_capped_to"":null}",0.7081755006468359,0.8852193758085448,0.0097,yfinance,0.0,0.03605,0.221047,True,0.243643,0.15443,0.9479550075054428,False,0.221047,0.221047,0.221047,0.221047,simple_ito_fallback,-1.520063,0.0,478.0,252.0,2026-06-01,letf,china,True,blended_realized_expected,0.15443,0.259521,0.143565,0.07703144776119403,0.055496500000000004,-0.060311300874466525,0.0725638738141188,0.14924783487851054,0.21974538163296065,0.32345657492980534,"{""e"":[-0.157016,-0.129468,-0.101919,-0.07437,-0.046822,-0.019273,0.008276,0.035824,0.063373,0.090921,0.11847,0.146019,0.173567,0.201116,0.228665,0.256213,0.283762,0.311311,0.338859,0.366408,0.393956],""c"":[2,8,4,6,12,12,8,31,31,37,40,37,32,44,26,25,15,8,9,5]}",0.221047,0.07694800000000002,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0799;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.023827839592111672,none,False,ok,90.0,67.0,weighted_empirical,-0.07987596170074912,0.221047,simple_ito_fallback,anchor_shift_fallback,,0.10373758470758315,,0.3009229617007491,0.481349,0.332037,0.689805,0.336485,-0.048615,0.329167,0.683333,0.197917,0.589583,0.306182,quiet_chop,0.415379,0.355956,0.856942,0.150617,-0.039832,0.156818,0.404545,0.197727,0.225,0.185131,quiet_chop,underlying_total_return,2,short_favorable_positive,0.221047,,,simple_ito,0.50178575,0.6021429,0.50178575,0.6021429,bucket_1,,False,False,False
BRKU,BRK-B,False,,letf_long,1.983012,366,posterior.nominal_L,0.009003775416398808,0.034391911026145784,1,ok,2.0,240.0,nominal_L,0.05457,100000,0.05457,False,False,20.575300216674805,0.05457,1.0,False,,False,False,0.264081,0.136059,0.135722,0.143134,"{""method"":""weighted_median"",""n_probes"":4,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.288261,""sigma_pool"":0.135722,""sigma_capped_to"":null}",0.28826142612801153,0.3603267826600144,0.0102,yfinance,0.0,0.03605,0.063591,True,0.136059,0.081489,0.98120908976235,False,0.063591,0.063591,0.063591,0.063591,simple_ito_fallback,-2.729619,0.0,478.0,252.0,2026-06-01,letf,,True,blended_realized_expected,0.081489,0.099825,0.05457,0.08202117567567568,0.07798,-0.08320677651502734,-0.03952528335702769,-0.013668957518249748,0.010213179608366712,0.045197586993965436,"{""e"":[-0.13915,-0.128915,-0.118679,-0.108444,-0.098208,-0.087973,-0.077737,-0.067502,-0.057266,-0.047031,-0.036795,-0.02656,-0.016324,-0.006089,0.004147,0.014382,0.024618,0.034853,0.045089,0.055324,0.06556],""c"":[1,5,1,5,2,8,13,14,18,39,41,35,44,45,42,33,18,11,11,6]}",0.063591,0.07246800000000002,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0757;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.035003644648552115,none,False,ok,90.0,74.0,weighted_empirical,-0.07567526699441411,0.063591,simple_ito_fallback,anchor_shift_fallback,,0.028615063507588346,,0.1392662669944141,0.13118,0.134231,1.023258,0.195732,-0.00582,0.102083,0.364583,0.660417,0.16875,0.290009,quiet_mixed,0.115426,0.106638,0.923867,0.086881,-0.062111,0.7,0.002273,0.502273,0.018182,0.20674,quiet_chop,underlying_total_return,2,short_favorable_positive,0.063591,,,simple_ito,0.495753,0.5949036,0.5,0.5949036,bucket_1,,False,False,True
CONX,COIN,False,,letf_long,2.001567,131,posterior.nominal_L,0.010695324639001042,0.0848653783487089,1,ok,2.0,240.0,nominal_L,0.132574,150000,0.132574,False,False,8.454999923706055,0.132574,1.0,False,,False,False,1.419818,0.688969,0.681916,0.697642,"{""method"":""weighted_median"",""n_probes"":9,""n_outliers_dropped"":2,""sigma_real_implied_median"":0.846687,""sigma_pool"":0.681916,""sigma_capped_to"":null}",0.8466870913325939,1.0583588641657424,0.0097,yfinance,0.0,0.03605,0.511909,True,0.603952,0.5563950000000001,1.0402354861167038,False,0.511909,0.511909,0.511909,0.511909,simple_ito_fallback,-0.671957,0.0,478.0,252.0,2026-06-01,letf,crypto-equity,True,blended_realized_expected,0.5563950000000001,0.600439,0.132574,0.13429878571428572,0.122629,0.21211584750339366,0.30715189486349925,0.374078963956644,0.4501491783548992,0.5696178116471949,"{""e"":[0.103651,0.130097,0.156543,0.182989,0.209436,0.235882,0.262328,0.288775,0.315221,0.341667,0.368113,0.39456,0.421006,0.447452,0.473899,0.500345,0.526791,0.553237,0.579684,0.60613,0.632576],""c"":[3,3,5,3,16,23,30,27,40,35,35,35,33,29,19,19,11,17,6,3]}",0.511909,0.1770600000000001,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1903;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.060483292227966425,mean_reversion,False,incomplete_regime,90.0,70.0,weighted_empirical,-0.1902552890575092,0.511909,simple_ito_fallback,anchor_shift_fallback,,0.10473168228171273,,0.7021642890575092,0.654452,0.285745,0.436617,0.195073,-0.042157,0.129167,0.38125,0.0375,0.152083,0.272832,quiet_chop,0.633421,0.592719,0.935743,0.110398,-0.115043,0.165909,0.184091,0.386364,0.275,0.22269,quiet_chop,underlying_total_return,2,short_favorable_positive,0.511909,,,simple_ito,0.50039175,0.6004701,0.50039175,0.6004701,bucket_1,,False,False,False
CSCL,CSCO,False,,letf_long,1.995667,234,posterior.nominal_L,0.036133666316155284,0.058974107455963536,1,ok,2.0,240.0,nominal_L,0.108902,30000,0.108902,False,False,67.55000305175781,0.108902,1.0,False,,False,False,0.494432,0.151987,0.247753,0.301441,"{""method"":""weighted_median"",""n_probes"":2,""n_outliers_dropped"":0,""sigma_real_implied_median"":0.391126,""sigma_pool"":0.247753,""sigma_capped_to"":null}",0.3911263945163085,0.4889079931453856,0.0107,yfinance,0.0,0.03605,0.107577,True,0.148815,0.04308500000000001,0.9999990165472262,False,0.107577,0.107577,0.107577,0.107577,simple_ito_fallback,-2.223037,0.0,478.0,252.0,2026-06-01,letf,,True,blended_realized_expected,0.04308500000000001,0.129782,0.108902,0.09233144871794871,0.098853,-0.0758644816023855,-0.031822921547638876,0.011090060234720353,0.04687951441058416,0.11183840329085372,"{""e"":[-0.112009,-0.098582,-0.085156,-0.071729,-0.058302,-0.044876,-0.031449,-0.018023,-0.004596,0.008831,0.022257,0.035684,0.049111,0.062537,0.075964,0.08939,0.102817,0.116244,0.12967,0.143097,0.156523],""c"":[3,7,12,15,29,31,32,32,30,37,33,38,24,18,12,17,9,3,6,4]}",0.107577,0.044410000000000005,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0827;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.20203183340506514,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,78.0,weighted_empirical,-0.08273957236925744,0.107577,simple_ito_fallback,anchor_shift_fallback,,0.05230640210412392,,0.19031657236925745,0.55152,0.742385,1.346071,0.655897,0.2734,0.98125,0.98125,0.866667,0.889583,0.309811,jumpy_trend,0.388622,0.47492,1.222063,0.440334,0.416809,0.997727,0.986364,0.836364,0.852273,0.307394,jumpy_trend,underlying_total_return,2,short_favorable_positive,0.107577,,,simple_ito,0.49891675,0.5987001,0.5,0.5987001,bucket_1,,False,True,False
