Date,Cumulative PnL,Daily PnL,Net Capital Deployed
2/27/2026, -   ,,
2/28/2026," 1,900.69 "," 1,900.69 "," 136,496.68 "
3/2/2026," 1,900.69 ", -   ," 136,496.68 "
3/3/2026," 2,901.50 "," 1,000.81 "," 137,685.26 "
3/4/2026," 1,332.38 "," (1,569.12)"," 138,164.32 "
3/5/2026," 1,481.89 ", 149.51 ," 409,978.69 "
3/6/2026, 843.34 , (638.55)," 409,479.52 "
3/10/2026," 5,114.45 "," 4,271.10 "," 444,431.51 "
3/11/2026," 4,721.44 ", (393.00)," 445,847.27 "
3/12/2026," 5,805.25 "," 1,083.81 "," 447,057.03 "
3/13/2026," 2,535.90 "," (3,269.35)"," 443,846.01 "
3/14/2026," 4,798.59 "," 2,262.69 "," 446,233.52 "
3/17/2026," 7,223.70 "," 2,425.10 "," 463,211.44 "
3/18/2026," 6,578.43 ", (645.27)," 439,502.23 "
3/19/2026," 3,524.60 "," (3,053.83)"," 436,599.60 "
3/20/2026," 3,104.98 ", (419.61)," 425,298.58 "
3/21/2026," 1,986.15 "," (1,118.83)"," 424,322.19 "
3/23/2026," 1,986.15 ", -   ," 424,322.19 "
3/24/2026," 5,972.23 "," 3,986.08 "," 428,209.54 "
3/25/2026," 4,512.67 "," (1,459.55)"," 439,282.71 "
3/26/2026," 7,261.52 "," 2,748.85 "," 444,675.42 "
3/27/2026," 4,224.53 "," (3,036.99)"," 441,765.64 "
3/28/2026," 3,040.03 "," (1,184.50)"," 407,380.64 "
3/31/2026," 2,190.07 ", (849.96)," 406,673.96 "
4/1/2026," 9,372.73 "," 7,182.66 "," 416,393.29 "
4/2/2026," 11,026.19 "," 1,653.46 "," 454,181.83 "
4/3/2026," 13,810.86 "," 2,784.67 "," 456,520.70 "
4/4/2026," 13,810.86 ", 0.00 ," 456,520.70 "
4/7/2026," 14,806.35 ", 995.49 ," 444,644.93 "
4/8/2026," 13,877.08 ", (929.27)," 445,283.80 "
4/9/2026," 15,901.88 "," 2,024.80 "," 546,675.51 "
4/10/2026," 17,054.86 "," 1,152.98 "," 547,666.35 "
4/11/2026," 18,901.90 "," 1,847.04 "," 549,719.93 "
4/14/2026," 19,501.71 ", 599.81 ," 550,447.43 "
4/15/2026," 18,606.28 ", (895.43)," 549,765.48 "
4/16/2026," 18,689.78 ", 83.50 ," 649,253.09 "
4/17/2026," 19,131.04 ", 441.26 ," 650,559.82 "
4/18/2026," 25,976.42 "," 6,845.38 "," 658,825.91 "
4/21/2026," 24,645.05 "," (1,331.37)"," 657,782.59 "
4/22/2026," 21,207.24 "," (3,437.81)"," 654,243.79 "
4/23/2026," 23,405.42 "," 2,198.18 "," 700,362.88 "
4/24/2026," 22,526.85 ", (878.57)," 757,989.91 "
4/25/2026," 26,785.25 "," 4,258.41 "," 804,183.03 "
4/28/2026," 28,237.32 "," 1,452.06 "," 813,892.92 "
4/29/2026," 26,559.67 "," (1,677.65)"," 810,261.69 "
4/30/2026," 32,289.12 "," 5,729.45 "," 808,313.89 "
5/1/2026," 30,542.56 "," (1,746.56)"," 817,173.28 "
5/2/2026," 36,655.76 "," 6,113.20 "," 823,666.55 "
5/4/2026," 35,754.66 ", (901.10)," 818,691.91 "
5/5/2026," 36,725.82 ", 971.16 ," 814,501.27 "
