pair,etf,underlying,sleeve,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,applied_hedge_ratio,sizing_tr_fwd,model_status,model_missing_reason,model_config,metrics_source,vol_shape_source,model_input_diagnostics,signal_source,metrics_first_date,metrics_last_date,backtest_rows,price_rows,actual_pair_pnl_cum,model_pair_pnl_cum,borrow_cost_cum,transaction_cost_cum,current_etf_gross,current_underlying_gross,current_total_gross,current_model_h,current_book_h,cagr,vol_annual,sharpe,max_drawdown,daily_hit_rate,model_rebalance_count,actual_etf_trade_count,actual_underlying_trade_count,shared_underlying,ratchet_creep_ratio,ratchet_gap_usd,ratchet_trim_lambda,ratchet_trim_usd,ratchet_released,ratchet_source
SNDQ|SNDK,SNDQ,SNDK,inverse_decay_bucket4,23100.0,1.0,0.0,,,0.994788,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2026-04-24,2026-07-02,46,46,-7147.800402834561,1862.494827463226,238.76906869948257,91.26077728301098,13743.892904996135,11261.352699750103,25005.24560474624,0.40557378756213525,0.013854011884298776,0.5469899241676028,0.9356531231700959,0.9326911765790455,-0.27105484821968306,0.5111111111111111,2,1,18,True,,,,,False,
QBTZ|QBTS,QBTZ,QBTS,inverse_decay_bucket4,23100.0,1.0,0.0,,,0.990716,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2025-10-07,2026-07-02,183,183,7989.820888820852,15749.888560535575,3566.0389877472753,231.8328944696691,18512.815016156495,20212.8262165356,38725.6412326921,0.5468126447634576,0.34329330438113415,1.0519385264782795,0.808382762038259,1.2675636881669015,-0.38928267793590665,0.5,10,5,18,True,,,,,False,
NBIZ|NBIS,NBIZ,NBIS,inverse_decay_bucket4,23100.0,1.0,0.0,,,1.067412,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2026-01-22,2026-07-02,110,110,1230.929420218376,11964.840863529156,763.7181317346876,124.43289973154545,13159.446894459357,14857.168013874456,28016.614908333813,0.5204033668374255,0.23769122442513976,1.614216090485757,0.5693922630394037,1.9695182763430952,-0.1956886269210525,0.4954128440366973,4,4,21,True,,,,,False,
LITZ|LITE,LITZ,LITE,inverse_decay_bucket4,21021.41310076973,1.0,0.0,,,0.876978,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2026-04-24,2026-07-02,46,46,-7037.473951558544,2627.452707130069,542.8398688891548,56.46467982974043,12963.447186808204,10697.738333409718,23661.18552021792,0.41344410684744015,0.1685823876230596,0.9284388053091484,0.3341054989924732,2.1723560197404885,-0.061824964465720056,0.5111111111111111,2,2,10,True,,,,,False,
CORD|CRWV,CORD,CRWV,inverse_decay_bucket4,16816.236652549665,1.0,0.0,,,1.028892,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2025-09-26,2026-07-02,185,185,-8473.987742964708,7149.859979451005,2800.957533343889,121.28647106193623,12038.052458288319,8492.024105651695,20530.076563940012,0.3842526930966034,0.03931298569807564,0.6249405100924879,1.142853977993315,0.9163055333022191,-0.5211043133636775,0.5054347826086957,10,4,23,True,,,,,False,
UVIX|SVIX,UVIX,SVIX,volatility_etp_bucket5,10500.0,1.0,0.0,,,1.098474,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2022-03-30,2026-07-02,1059,1059,196.7424980027968,52308.038418488344,1507.2999136585388,955.6555332221635,35018.76424795887,30714.614051049237,65733.37829900811,0.4503214661589068,0.5971184938977732,0.5313378426615587,3.0082784277588495,0.2062594145888095,-1.399393282818695,0.5954631379962193,76,4,4,True,,,,,False,
MSTZ|MSTR,MSTZ,MSTR,inverse_decay_bucket4,3349.087737190593,1.0,0.0,,,1.086711,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2024-09-18,2026-07-02,440,440,2575.6724082211404,-2005.7701918227006,390.35268167884215,55.35640236820897,675.6681679861755,443.1032006021149,1118.7713685882904,0.34719865060389243,0.5014660359561177,-0.40667236052262246,1.6657218738785329,0.29200377195308835,-0.8167157409076952,0.489749430523918,30,3,21,True,,,,,False,
DAMD|AMD,DAMD,AMD,inverse_decay_bucket4,2155.42917801482,1.0,0.0,,,1.071905,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2025-11-14,2026-07-02,152,152,691.1681511211975,608.7420340220565,92.64676406140026,14.334874230381176,896.1716675623093,1454.293906197259,2350.4655737595685,0.4420347644693631,0.4933844545412832,0.5157163957550481,0.3837226446698826,1.280226567430152,-0.1488088514389413,0.47019867549668876,8,2,22,True,,,,,False,
CONI|COIN,CONI,COIN,inverse_decay_bucket4,1228.1811066324613,1.0,0.0,,,0.955843,ok,,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,recompute_underlying,2024-09-04,2026-07-02,451,451,2413.529105239198,-770.1348638217232,472.7230515242105,16.230539172442185,221.19929859251113,203.47324059765202,424.67253919016315,0.3524095748148448,0.518098743403308,-0.42301531657345415,1.7469522956824015,0.19411223315108728,-0.8859505911076213,0.36666666666666664,32,2,21,True,,,,,False,
SPCG|SPCX,SPCG,SPCX,inverse_decay_bucket4,407.4130562106838,1.0,0.0,,,,insufficient_price_history:14<20,insufficient_price_history:14<20,"model h v7+v9 h_mid=0.45 k_z=0.20 clip[0.30,0.80] cadence tr_est base=14d cap=21d",github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/etf_metrics_daily.parquet,github:https://raw.githubusercontent.com/GoldmanDrew/etf-dashboard/main/data/vol_shape_history.json,,missing,2026-06-12,2026-07-02,0,14,87.44751243090558,,,,,,,,0.26293534360603804,,,,,,0,1,2,True,,,,,False,
