pair_key,pnl_a,pnl_b,pnl_chg,day_a,day_b
IONQ/(spot),-1520.3922757425462,1161.9097363153123,2682.3020120578585,2026-06-02,2026-06-03
AMD/(spot),-230.96784283994566,480.0443271170643,711.01216995701,2026-06-02,2026-06-03
QBTS/(spot),-673.028011813084,437.457369800396,1110.48538161348,2026-06-02,2026-06-03
ASML/(spot),-15.809999999999942,-76.79999999999995,-60.99000000000001,2026-06-02,2026-06-03
CRWV/CWY,-219.6536982302233,-107.76547451980481,111.8882237104185,2026-06-02,2026-06-03
CRWV/(spot),154.36686918699604,-109.12092001336441,-263.48778920036045,2026-06-02,2026-06-03
HIMS/(spot),849.8763891378709,-131.98856149641438,-981.8649506342853,2026-06-02,2026-06-03
META/FBYY,875.8572512521989,-153.09250828471772,-1028.9497595369166,2026-06-02,2026-06-03
TSM/TMYY,-29.109567863891115,-242.47145004553255,-213.36188218164142,2026-06-02,2026-06-03
META/(spot),-1538.9444399041195,-316.72069549730213,1222.2237444068173,2026-06-02,2026-06-03
HIMS/HMYY,-135.60494481107887,-398.6769196588525,-263.0719748477736,2026-06-02,2026-06-03
MU/MUYY,-407.34643007838724,-474.3754602259386,-67.02903014755134,2026-06-02,2026-06-03
HOOD/HOYY,258.3992460195768,-492.2603226374679,-750.6595686570447,2026-06-02,2026-06-03
MARA/MAAY,-170.3613243766115,-560.1857835509466,-389.82445917433506,2026-06-02,2026-06-03
MARA/(spot),609.7890032258629,-763.1663029352976,-1372.9553061611605,2026-06-02,2026-06-03
RIOT/(spot),1113.6663157295475,-993.914700576827,-2107.5810163063743,2026-06-02,2026-06-03
HOOD/(spot),-1383.8255592053183,-996.3047700734812,387.5207891318371,2026-06-02,2026-06-03
BABA/BBYY,-5.861821270258133,-1079.175899465016,-1073.314078194758,2026-06-02,2026-06-03
RIOT/RTYY,-750.4961483259277,-1412.1046272429937,-661.608478917066,2026-06-02,2026-06-03
QBTS/QBY,336.18281968178474,-1640.066984140682,-1976.2498038224667,2026-06-02,2026-06-03
AMD/AMYY,-165.12219675579126,-2053.3921152374896,-1888.2699184816984,2026-06-02,2026-06-03
IBIT/(spot),-1170.1712428146711,-2548.9040460243996,-1378.7328032097284,2026-06-02,2026-06-03
COIN/(spot),-2193.617082653581,-3038.576322416955,-844.9592397633742,2026-06-02,2026-06-03
SMCI/SMYY,-27.340966366220982,-3339.2712559587135,-3311.9302895924925,2026-06-02,2026-06-03
IONQ/IOYY,38.12931545464562,-3619.8258576939807,-3657.9551731486263,2026-06-02,2026-06-03
MSTR/(spot),-3649.637356428462,-6135.05812879662,-2485.4207723681575,2026-06-02,2026-06-03
