pair_key,bucket,d_total,d_real,d_unr,d_borrow,d_pil,day
MSTR/(spot),bucket_2,-6135.05812879662,0.0,-6135.0581287966215,0.0,0.0,2026-06-03
AAOI/AAOX,bucket_1,-5694.991420089913,0.0,-5691.0,-11.330000000000041,0.0,2026-06-03
CLSK/(spot),bucket_1,-4026.240730758762,0.0,-4026.589384692855,0.34865393409264445,0.0,2026-06-03
IONQ/IOYY,bucket_2,-3619.8258576939807,0.0,-908.04,-56.01999999999998,-2636.3399999999992,2026-06-03
NBIS/(spot),bucket_1,-3607.5529802426827,0.0,-3607.5529802426754,0.0,0.0,2026-06-03
SMCI/SMYY,bucket_2,-3339.2712559587135,0.0,-1077.178215,-54.60000000000002,-2208.9299999999994,2026-06-03
COIN/(spot),bucket_2,-3038.576322416955,0.0,-3038.576322416956,0.0,0.0,2026-06-03
IBIT/(spot),bucket_2,-2548.9040460243996,0.0,-2548.9040460243996,0.0,0.0,2026-06-03
LITE/LITX,bucket_1,-2523.97263755845,0.0,-2526.5899999999997,-1.4699999999999989,0.0,2026-06-03
ASTS/ASTX,bucket_1,-2378.2029321525924,0.0,-2378.32,-3.530000000000001,0.0,2026-06-03
BE/BEX,bucket_1,-2198.9742965596097,0.0,-2200.05,-2.1499999999999915,0.0,2026-06-03
AMD/AMYY,bucket_2,-2053.3921152374896,450.09580200000005,-1119.273217,-55.510000000000105,-1329.9100000000003,2026-06-03
CRWV/(spot),bucket_1,-1881.133082731756,0.0,-1881.133082731756,0.0,0.0,2026-06-03
QBTS/QBY,bucket_2,-1640.066984140682,0.0,-424.86463899999995,-36.539999999999964,-1183.73,2026-06-03
EOSE/EOSU,bucket_1,-1532.830478439364,803.7145187799999,-2334.337372,-5.6299999999999955,0.0,2026-06-03
OKLO/OKLL,bucket_1,-1469.6860965770175,0.0,-1468.8899999999999,-2.8400000000000034,0.0,2026-06-03
ALAB/LABX,bucket_1,-1429.235419542274,0.0,-1430.8600000000006,-0.5400000000000063,0.0,2026-06-03
RIOT/RTYY,bucket_2,-1412.1046272429937,0.0,197.73433799999998,-29.410000000000025,-1592.5,2026-06-03
NVTS/NVTX,bucket_1,-1379.201490228792,0.0,-1369.3099999999995,-10.299999999999955,0.0,2026-06-03
CRML/(spot),bucket_1,-1301.6000000000004,0.0,-1301.6000000000004,0.0,0.0,2026-06-03
CRCL/(spot),bucket_1,-1283.626610106224,0.0,-1283.6266101062242,0.0,0.0,2026-06-03
UUUU/UUUG,bucket_1,-1160.7648486881321,0.0,-1160.15,-2.3599999999999994,0.0,2026-06-03
BABA/BBYY,bucket_2,-1079.175899465016,0.0,-560.9535209999999,-15.160000000000025,-498.91999999999996,2026-06-03
BMNR/(spot),bucket_1,-1058.6399999999999,0.0,-1058.6399999999999,0.0,0.0,2026-06-03
CLS/CSEX,bucket_1,-997.7766180684552,0.0,-998.7900000000001,-0.44999999999999574,0.0,2026-06-03
HOOD/(spot),bucket_2,-996.3047700734812,0.8552299265150864,-997.1599999999962,0.0,0.0,2026-06-03
RIOT/(spot),bucket_2,-993.914700576827,96.010299423172,-1089.9249999999993,0.0,0.0,2026-06-03
