date,long_realized_pnl,long_unrealized_pnl,short_realized_pnl,short_unrealized_pnl,gross_realized_pnl,gross_unrealized_pnl,other_fees,borrow_fees,short_credit_interest,excluded_cash_interest_base,dividends,withholding_tax,pil_dividends,bond_interest,strategy_total_pnl
2026-02-27,6240.086273040009,-39402.34134500001,4686.555451420001,36091.81392699998,10926.641724459998,-3310.5274180000015,0.0,-1686.17,279.65000000000003,636.0268126000001,23.33,0.0,-7008.32,0.0,-775.3956935400056
2026-02-28,6933.966697360014,-47451.660268000014,1698.7470723600022,48037.17031800003,8632.713769720003,585.5100499999971,0.0,-1752.2199999999998,279.6500000000001,636.0268126000001,23.33,0.0,-7083.110000000001,0.0,685.87381972
2026-03-02,6933.966697360012,-47451.660268000014,1698.7470723600022,48037.17031800003,8632.713769720003,585.5100499999971,0.0,-1752.2199999999998,279.6500000000001,636.0268126000001,23.33,0.0,-7083.110000000001,0.0,685.8738197200073
2026-03-03,6933.966697360003,-40060.42026700001,1698.7470723600031,41784.290313000005,8632.713769720003,1723.8700460000036,0.0,-1943.0500000000002,279.65,636.0268126000001,23.33,0.0,-7083.110000000001,0.0,1633.4038157200048
2026-03-04,6933.9666973600115,-58153.36026700001,1698.7470723600004,60569.68032600001,8632.713769720003,2416.320058999998,0.0,-2017.59,279.6500000000001,636.0268126000001,34.73,0.0,-9069.91,0.0,275.9138287200112
2026-03-05,11278.381266559989,-40435.45326900001,3358.952230640004,36866.05931999999,14637.333497199998,-3569.393949000001,0.0,-2091.27,872.6399999999999,-759.1551274,34.73,0.0,-9182.03,0.0,702.0095481999961
2026-03-06,11278.381266559989,-54182.80327,3355.5462723400033,50960.75933700005,14633.9275389,-3222.0439329999936,0.0,-2187.09,872.6400000000002,-759.1551274,34.73,0.0,-9182.03,0.0,950.133605899995
2026-03-10,11745.367639439999,-58805.330384,4226.523228960002,59123.647379,15971.890868399998,318.31699500000104,0.0,-2671.36,872.6400000000001,-759.1551274,34.73,0.0,-9258.76,0.0,5267.457863399999
2026-03-11,11745.367639439992,-58056.22038599998,4223.074208720002,59975.08536199999,15968.441848159999,1918.8649760000044,0.0,-2789.5099999999998,872.6400000000002,-759.1551274,81.49,0.0,-10947.66,0.0,5104.266824160004
2026-03-12,11745.367639439997,-51881.97038599999,4223.074208720002,54479.665355999954,15968.441848159999,2597.694969999997,0.0,-2914.4500000000007,872.64,-759.1551274,81.49,0.0,-10947.66,0.0,5658.156818159994
