symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CWY,-161667.9504187852,-32402.586000000003,129265.3644187852,129265.3644187852,161667.9504187852,32402.586000000003,-129265.3644187852,True,none,False,False,False,False,False
CRY,-116210.99505981496,-18186.3,98024.69505981496,98024.69505981496,116210.99505981496,18186.3,-98024.69505981496,True,no_locate,True,True,False,False,False
HMYY,-137304.52391518813,-43650.5,93654.02391518813,93654.02391518813,137304.52391518813,43650.5,-93654.02391518813,True,none,False,False,False,False,False
MUYY,-166515.63238463813,-119726.58,46789.052384638126,46789.052384638126,166515.63238463813,119726.58,-46789.052384638126,True,borrow_band,True,False,True,False,False
RTYY,-64507.41674146088,-108715.15520000001,-44207.73845853913,44207.73845853913,64507.41674146088,108715.15520000001,44207.73845853913,False,borrow_band,True,False,True,False,False
CORD,-4723.36362133568,-47756.17,-43032.80637866432,43032.80637866432,4723.36362133568,47756.17,43032.80637866432,False,none,False,False,False,False,False
QBY,-113942.71489353511,-73943.6049,39999.10999353511,39999.10999353511,113942.71489353511,73943.6049,-39999.10999353511,True,borrow_band,True,False,True,False,False
IOYY,-125988.41157887327,-89247.36,36741.051578873274,36741.051578873274,125988.41157887327,89247.36,-36741.051578873274,True,none,False,False,False,False,False
LITX,-7574.258877224181,-42428.1,-34853.84112277582,34853.84112277582,7574.258877224181,42428.1,34853.84112277582,False,none,False,False,False,False,False
MAAY,-122364.7300132187,-88177.11,34187.62001321869,34187.62001321869,122364.7300132187,88177.11,-34187.62001321869,True,none,False,False,False,False,False
SMYY,-131400.30822997363,-98369.266,33031.042229973624,33031.042229973624,131400.30822997363,98369.266,-33031.042229973624,True,none,False,False,False,False,False
QBTZ,-5471.069475237849,-33220.74,-27749.67052476215,27749.67052476215,5471.069475237849,33220.74,27749.67052476215,False,none,False,False,False,False,False
SNXX,-8198.42450624135,-33730.03,-25531.60549375865,25531.60549375865,8198.42450624135,33730.03,25531.60549375865,False,none,False,False,False,False,False
LITZ,-6130.3719540107695,-28869.84,-22739.46804598923,22739.46804598923,6130.3719540107695,28869.84,22739.46804598923,False,none,False,False,False,False,False
COYY,-67392.70593292691,-89821.0306,-22428.324667073088,22428.324667073088,67392.70593292691,89821.0306,22428.324667073088,False,none,False,False,False,False,False
NBIZ,-5003.233334870811,-24864.532000000003,-19861.298665129194,19861.298665129194,5003.233334870811,24864.532000000003,19861.298665129194,False,none,False,False,False,False,False
SNDQ,-4770.939082288648,-23889.52,-19118.58091771135,19118.58091771135,4770.939082288648,23889.52,19118.58091771135,False,none,False,False,False,False,False
FBYY,-65452.444581429314,-48921.5694,16530.875181429314,16530.875181429314,65452.444581429314,48921.5694,-16530.875181429314,True,no_locate,True,True,False,False,False
NBIG,-6456.8129873281205,-22829.579999999998,-16372.767012671877,16372.767012671877,6456.8129873281205,22829.579999999998,16372.767012671877,False,none,False,False,False,False,False
IREZ,0.0,-15962.575,-15962.575,15962.575,0.0,15962.575,15962.575,False,borrow_band,True,False,True,False,False
ASTN,0.0,-14784.78,-14784.78,14784.78,0.0,14784.78,14784.78,False,no_locate,True,True,False,False,False
IREG,-10536.01012984175,-23647.2,-13111.18987015825,13111.18987015825,10536.01012984175,23647.2,13111.18987015825,False,none,False,False,False,False,False
BBYY,-47626.68114467156,-34673.76,12952.921144671556,12952.921144671556,47626.68114467156,34673.76,-12952.921144671556,True,no_locate,True,True,False,False,False
RKLX,-4539.7575521208855,-17356.67,-12816.912447879113,12816.912447879113,4539.7575521208855,17356.67,12816.912447879113,False,none,False,False,False,False,False
MTYY,-101033.05308517812,-113590.1456,-12557.092514821881,12557.092514821881,101033.05308517812,113590.1456,12557.092514821881,False,none,False,False,False,False,False
ASTX,-15156.297767954124,-27658.71,-12502.412232045875,12502.412232045875,15156.297767954124,27658.71,12502.412232045875,False,none,False,False,False,False,False
AXTX,-35970.59923142744,-48378.6,-12408.000768572558,12408.000768572558,35970.59923142744,48378.6,12408.000768572558,False,none,False,False,False,False,False
AXTU,-33658.63407090783,-42758.270000000004,-9099.635929092176,9099.635929092176,33658.63407090783,42758.270000000004,9099.635929092176,False,none,False,False,False,False,False
AAOX,-30779.289886473038,-39607.380000000005,-8828.090113526967,8828.090113526967,30779.289886473038,39607.380000000005,8828.090113526967,False,none,False,False,False,False,False
AMZO,0.0,-8497.7763,-8497.7763,8497.7763,0.0,8497.7763,8497.7763,False,none,False,False,False,False,False
DUST,0.0,-8143.36,-8143.36,8143.36,0.0,8143.36,8143.36,False,borrow_band,True,False,True,False,False
ZSL,0.0,-7193.16,-7193.16,7193.16,0.0,7193.16,7193.16,False,none,False,False,False,False,False
POEL,-33696.756147533946,-40063.5,-6366.743852466054,6366.743852466054,33696.756147533946,40063.5,6366.743852466054,False,no_locate,True,True,False,False,False
MSTZ,-4960.252124839519,-10547.039999999999,-5586.78787516048,5586.78787516048,4960.252124839519,10547.039999999999,5586.78787516048,False,none,False,False,False,False,False
AAOG,-27946.31811365476,-33462.799999999996,-5516.481886345235,5516.481886345235,27946.31811365476,33462.799999999996,5516.481886345235,False,none,False,False,False,False,False
SDS,0.0,-5284.68,-5284.68,5284.68,0.0,5284.68,5284.68,False,none,False,False,False,False,False
DAMD,-7679.505324372091,-2518.1,5161.405324372092,5161.405324372092,7679.505324372091,2518.1,-5161.405324372092,True,none,False,False,False,False,False
RKLZ,-6659.353457608883,-10829.08,-4169.726542391117,4169.726542391117,6659.353457608883,10829.08,4169.726542391117,False,none,False,False,False,False,False
TSLQ,0.0,-3915.28,-3915.28,3915.28,0.0,3915.28,3915.28,False,none,False,False,False,False,False
TMYY,-62260.91360576599,-58779.21,3481.7036057659934,3481.7036057659934,62260.91360576599,58779.21,-3481.7036057659934,True,none,False,False,False,False,False
XBTY,-56332.355200555685,-53081.82,3250.535200555685,3250.535200555685,56332.355200555685,53081.82,-3250.535200555685,True,none,False,False,False,False,False
EOSU,-10142.425803522983,-6949.8,3192.625803522983,3192.625803522983,10142.425803522983,6949.8,-3192.625803522983,True,none,False,False,False,False,False
CRMX,-14915.99701400494,-11796.8,3119.1970140049416,3119.1970140049416,14915.99701400494,11796.8,-3119.1970140049416,True,borrow_band,True,False,True,False,False
