ETF,Underlying,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,asof_date,product_class,expected_decay_available,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,gross_anchor_shift_annual,gross_anchor_target_annual,gross_anchor_source,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
AMUU,AMD,False,,2.007335,268,ols,0.054836,20000,0.054836,False,False,109.0,0.054836,1.0,False,True,False,False,False,False,False,False,False,1.179688,1.199007,0.518154,0.500122,0.592919,0.598273,0.0106,yfinance,0.0,0.03593,0.402224,0.408672,True,0.518154,0.463318,0.463318,0.402224,0.402224,0.402224,0.402224,simple_ito_fallback,-0.921715,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.463318,0.460189,0.054836,0.03058538,0.041883,0.2470618003306883,0.3075268772630241,0.3666062595451954,0.4221051010840158,0.5079205558241223,"{""e"":[0.199475,0.218089,0.236703,0.255317,0.273931,0.292546,0.31116,0.329774,0.348388,0.367002,0.385616,0.40423,0.422844,0.441459,0.460073,0.478687,0.497301,0.515915,0.534529,0.553143,0.571757],""c"":[3,9,12,25,17,37,26,33,35,39,32,30,24,21,18,9,8,7,4,3]}",0.402224,0.1159299999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1156;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0253926768271858,none,False,ok,90.0,50.0,weighted_empirical,-0.115614422147659,0.402224,simple_ito_fallback,2,short_favorable_positive,0.402224,,,simple_ito,0.50183375,0.6022004999999999,0.50183375,0.6022004999999999,bucket_1,,False,0.054836,ETF_LS,5800.556008272277,-2889.680102360731,5800.556008272277,-2889.680102360731,16511.338771999246,0.0,-0.0,16511.338771999246,core_leveraged
AMZU,AMZN,False,,1.988435,501,ols,0.070274,350000,0.070274,False,False,41.94499969482422,0.070274,1.0,False,True,False,False,False,False,False,False,False,0.61068,0.61383,0.212376,0.208753,0.307098,0.308042,0.0099,yfinance,0.0,0.03593,0.138094,0.138665,True,0.212376,0.142102,0.142102,0.138094,0.138094,0.138094,0.138094,simple_ito_fallback,-1.962389,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.142102,0.175235,0.070274,0.0689111428571428,0.056244,-0.002443761219154,0.0497050210877884,0.0736556254571613,0.0924455110295827,0.1137950612096792,"{""e"":[-0.032707,-0.024916,-0.017125,-0.009334,-0.001543,0.006248,0.014039,0.02183,0.029621,0.037412,0.045203,0.052993,0.060784,0.068575,0.076366,0.084157,0.091948,0.099739,0.10753,0.115321,0.123112],""c"":[6,1,5,6,9,12,7,18,14,6,26,31,22,53,38,40,33,31,22,12]}",0.138094,0.074282,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0748;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.2695740490318407,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,49.0,weighted_empirical,-0.0748482672582056,0.138094,simple_ito_fallback,2,short_favorable_positive,0.138094,,,simple_ito,0.49710875,0.5965305,0.5,0.5965305,bucket_1,,False,0.070274,ETF_LS,820.6915323864688,-412.7323912456121,820.6915323864688,-412.7323912456121,2566.643555972394,0.0,-0.0,2566.643555972394,core_leveraged
ASMU,ASML,False,,2.001842,53,ols,0.144969,3000,0.144969,False,False,22.299999237060547,0.144969,1.0,False,True,False,False,False,False,False,False,False,0.90477,0.918645,0.352022,0.318537,0.386581,0.386261,0.0097,yfinance,0.0,0.03593,0.195554,0.195306,True,0.228462,0.207053,0.0834929999999999,0.195554,0.195554,0.195554,0.195554,simple_ito_fallback,-1.63468,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.207053,0.273788,0.144969,0.0900241627906976,0.069396,-0.0662450992515758,0.041553923401969,0.105322479178252,0.1698982107717001,0.2493141639418014,"{""e"":[-0.127075,-0.105631,-0.084187,-0.062743,-0.041299,-0.019855,0.001589,0.023033,0.044477,0.065921,0.087365,0.108809,0.130253,0.151697,0.173141,0.194585,0.216029,0.237473,0.258917,0.280361,0.301805],""c"":[4,6,8,7,14,14,22,27,32,35,37,36,32,29,27,24,13,15,6,4]}",0.195554,0.156468,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1634;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0321092635808719,none,False,ok,90.0,43.0,weighted_empirical,-0.163356264545623,0.195554,simple_ito_fallback,2,short_favorable_positive,0.195554,,,simple_ito,0.5004605,0.6005526,0.5004605,0.6005526,bucket_1,,False,0.144969,ETF_LS,800.4826293324542,-399.8730316041197,800.4826293324542,-399.8730316041197,1928.519630654459,0.0,-0.0,1928.519630654459,core_leveraged
AVL,AVGO,False,,1.98659,387,ols,0.039471,150000,0.039471,False,False,53.31499862670898,0.039471,1.0,False,True,False,False,False,False,False,False,False,0.84154,0.846753,0.37551,0.370443,0.423002,0.423989,0.01,yfinance,0.0,0.03593,0.220796,0.221615,True,0.37551,0.336039,0.336039,0.220796,0.220796,0.220796,0.220796,simple_ito_fallback,-1.490288,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.336039,0.298153,0.039471,0.06412424,0.0532814999999999,0.060693001527288,0.1220381658479514,0.1600694222157944,0.2073721995186613,0.2681160034981406,"{""e"":[0.011333,0.025406,0.03948,0.053553,0.067627,0.0817,0.095774,0.109847,0.123921,0.137994,0.152068,0.166141,0.180215,0.194288,0.208362,0.222435,0.236509,0.250582,0.264656,0.278729,0.292803],""c"":[5,2,5,5,16,22,21,22,27,41,41,33,29,28,32,15,17,13,7,11]}",0.220796,0.154714,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1474;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1427108676838162,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,50.0,weighted_empirical,-0.1473954727186286,0.220796,simple_ito_fallback,2,short_favorable_positive,0.220796,,,simple_ito,0.4966475,0.595977,0.5,0.595977,bucket_1,,False,0.039471,ETF_LS,4439.196672352,-2234.581203143074,4439.196672352,-2234.581203143074,12695.24282008772,0.0,-0.0,12695.24282008772,core_leveraged
BOEU,BA,False,,1.994383,255,ols,0.05155,15000,0.05155,False,False,37.4900016784668,0.05155,1.0,False,True,False,False,False,False,False,False,False,0.603235,0.609573,0.196611,0.192692,0.302895,0.3048,0.0106,yfinance,0.0,0.03593,0.137302,0.13845,True,0.196611,0.145061,0.145061,0.137302,0.137302,0.137302,0.137302,simple_ito_fallback,-1.977127,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.145061,0.1669565,0.05155,0.0630326274509804,0.054201,-0.007160306651857,0.0424363086221276,0.076090791991205,0.1168941260932398,0.1596972620770365,"{""e"":[-0.052736,-0.039995,-0.027255,-0.014514,-0.001774,0.010967,0.023707,0.036448,0.049188,0.061929,0.074669,0.08741,0.10015,0.112891,0.125631,0.138372,0.151112,0.163853,0.176593,0.189334,0.202074],""c"":[3,4,6,6,18,18,26,35,35,40,28,34,35,29,25,23,14,6,3,4]}",0.137302,0.059309,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0596;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0144213148774212,none,False,ok,90.0,51.0,weighted_empirical,-0.0595687849407936,0.137302,simple_ito_fallback,2,short_favorable_positive,0.137302,,,simple_ito,0.49859575,0.5983149,0.5,0.5983149,bucket_1,,False,0.05155,ETF_LS,1393.3120245609825,-698.6180811614332,1393.3120245609825,-698.6180811614332,2380.4063818197205,0.0,-0.0,2380.4063818197205,core_leveraged
BABU,BABA,False,,2.038604,52,ols,0.053372,35000,0.053372,False,False,14.529999732971191,0.053372,1.0,False,True,False,False,False,False,False,False,False,0.763196,0.747384,0.215684,0.202691,0.424569,0.429682,0.0097,yfinance,0.0,0.03593,0.237848,0.242472,True,0.233274,0.1623119999999999,0.179902,0.237848,0.237848,0.237848,0.237848,simple_ito_fallback,-1.493119,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.1623119999999999,0.226766,0.053372,0.0679545128205128,0.053344,-0.0362705554815526,0.0961697494070818,0.1828232115801027,0.2672113791956831,0.3745752849866108,"{""e"":[-0.2553,-0.22005,-0.1848,-0.14955,-0.1143,-0.07905,-0.0438,-0.00855,0.0267,0.06195,0.0972,0.13245,0.167701,0.202951,0.238201,0.273451,0.308701,0.343951,0.379201,0.414451,0.449701],""c"":[3,2,1,1,6,2,9,17,29,27,38,39,46,44,38,43,21,12,10,4]}",0.237848,-0.022164,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=+0.0311;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1498431139304802,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,39.0,weighted_empirical,0.0310646072480411,0.237848,simple_ito_fallback,2,short_favorable_positive,0.237848,,,simple_ito,0.509651,0.6115811999999999,0.509651,0.6115811999999999,bucket_1,,False,0.053372,ETF_LS,1836.8227642441248,-901.0198960877761,1836.8227642441248,-901.0198960877761,6093.824868817004,0.0,-0.0,6093.824868817004,core_leveraged
CONX,COIN,False,,2.003694,109,ols,0.0967929999999999,30000,0.0967929999999999,False,False,8.670000076293945,0.0967929999999999,1.0,False,True,False,False,False,False,False,False,False,1.473103,1.494111,0.698187,0.667136,0.719885,0.732795,0.0097,yfinance,0.0,0.03593,0.566872,0.58573,True,0.623671,0.601394,0.526878,0.566872,0.566872,0.566872,0.566872,simple_ito_fallback,-0.573154,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.601394,0.6325295,0.0967929999999999,0.145606,0.1531295,0.2311366180888351,0.3411651279347331,0.4194511402083264,0.5038717888054534,0.615914133856785,"{""e"":[0.166333,0.194523,0.222713,0.250903,0.279093,0.307283,0.335473,0.363663,0.391853,0.420043,0.448233,0.476423,0.504613,0.532803,0.560993,0.589183,0.617373,0.645564,0.673754,0.701944,0.730134],""c"":[7,7,12,17,15,31,33,38,38,36,35,30,21,22,26,9,5,3,3,4]}",0.566872,0.1313149999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1356;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.1013506722024632,mean_reversion,False,incomplete_regime,90.0,42.0,weighted_empirical,-0.1355527169961354,0.566872,simple_ito_fallback,2,short_favorable_positive,0.566872,,,simple_ito,0.5009235,0.6011082,0.5009235,0.6011082,bucket_1,,False,0.0967929999999999,ETF_LS,5513.767439795155,-2751.8011431861128,5513.767439795155,-2751.8011431861128,24403.874764625252,0.0,-0.0,24403.874764625252,core_leveraged
GGLL,GOOGL,False,,1.997169,501,ols,0.073847,750000,0.073847,False,False,113.3499984741211,0.073847,1.0,False,True,False,False,False,False,False,False,False,0.567285,0.567985,0.190591,0.188716,0.285331,0.283496,0.0096,yfinance,0.0,0.03593,0.126497,0.125457,True,0.190591,0.116744,0.116744,0.126497,0.126497,0.126497,0.126497,simple_ito_fallback,-2.063285,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.116744,0.158544,0.073847,0.0586408399999999,0.052358,0.0149490940928932,0.0438960682405265,0.0638311998706632,0.0837846078875322,0.1030895215634138,"{""e"":[0.002756,0.008645,0.014535,0.020424,0.026314,0.032203,0.038093,0.043983,0.049872,0.055762,0.061651,0.067541,0.07343,0.07932,0.085209,0.091099,0.096989,0.102878,0.108768,0.114657,0.120547],""c"":[6,9,12,12,23,16,20,34,28,26,29,21,31,41,18,31,17,8,6,4]}",0.126497,0.064094,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0646;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1814850649357109,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,50.0,weighted_empirical,-0.064600675237562,0.126497,simple_ito_fallback,2,short_favorable_positive,0.126497,,,simple_ito,0.49929225,0.5991506999999999,0.5,0.5991506999999999,bucket_1,,False,0.073847,ETF_LS,799.8591721044214,-400.4964888321527,799.8591721044214,-400.4964888321527,4610.996698737215,0.0,-0.0,4610.996698737215,core_leveraged
HODU,HOOD,False,,2.008095,109,ols,0.114884,30000,0.114884,False,False,6.75,0.114884,1.0,False,True,False,False,False,False,False,False,False,1.511157,1.47861,0.743763,0.692085,0.672633,0.675646,0.0097,yfinance,0.0,0.03593,0.503865,0.507976,True,0.60763,0.628879,0.492746,0.503865,0.503865,0.503865,0.503865,simple_ito_fallback,-0.697549,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.628879,0.623814,0.114884,0.1390661395348837,0.124226,0.1819055628345535,0.2887270780396371,0.3716095467946708,0.4479319642099282,0.5637391309668135,"{""e"":[0.124534,0.151741,0.178949,0.206157,0.233364,0.260572,0.28778,0.314987,0.342195,0.369403,0.396611,0.423818,0.451026,0.478234,0.505441,0.532649,0.559857,0.587064,0.614272,0.64148,0.668688],""c"":[8,7,13,20,25,23,38,28,29,42,40,27,29,22,13,10,12,3,1,2]}",0.503865,0.2398979999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2459;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0408241974499102,none,False,ok,90.0,43.0,weighted_empirical,-0.2459289635338317,0.503865,simple_ito_fallback,2,short_favorable_positive,0.503865,,,simple_ito,0.50202375,0.6024284999999999,0.50202375,0.6024284999999999,bucket_1,,False,0.114884,ETF_LS,4518.686183298219,-2250.235264416384,4518.686183298219,-2250.235264416384,20881.478578264738,0.0,-0.0,20881.478578264738,core_leveraged
LINT,INTC,False,,1.998899,109,ols,0.205408,10000,0.205408,False,False,134.32000732421875,0.205408,1.0,False,True,False,False,False,False,False,False,False,1.56506,1.599831,0.722744,0.695485,0.666292,0.67757,0.0097,yfinance,0.0,0.03593,0.488803,0.503934,True,0.589992,0.517336,0.3845839999999999,0.488803,0.488803,0.488803,0.488803,simple_ito_fallback,-0.714143,0.0,480.0,252.0,2026-04-29,letf,True,blended_realized_expected,0.517336,0.6057735,0.205408,0.3199803255813954,0.238796,-0.1762193141124152,0.0527412080490955,0.2082171613662942,0.3384989225924315,0.5361675287481625,"{""e"":[-0.432293,-0.378116,-0.32394,-0.269763,-0.215586,-0.161409,-0.107233,-0.053056,0.001121,0.055297,0.109474,0.163651,0.217828,0.272004,0.326181,0.380358,0.434535,0.488711,0.542888,0.597065,0.651242],""c"":[3,4,1,6,6,12,19,19,28,32,29,49,42,34,33,32,16,12,8,7]}",0.488803,0.233941,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2300;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0692419905743062,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,43.0,weighted_empirical,-0.2300361838944019,0.488803,simple_ito_fallback,2,short_favorable_positive,0.488803,,,simple_ito,0.49972475,0.5996697,0.5,0.5996697,bucket_1,,False,0.205408,ETF_LS,800.090209870508,-400.2654510660659,800.090209870508,-400.2654510660659,9748.548868900698,0.0,-0.0,9748.548868900698,core_leveraged
