ETF,Underlying,Leverage,ExpectedLeverage,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike
AAPU,AAPL,2.0,2.0,1.782846416863692,884.0,ols,0.054338,-0.017938,0.07227599999999999,20000,0.07227599999999999,False,False,False,,True,False,False,False,True,False,False,False,False
AMUU,AMD,2.0,2.0,2.0071037604188966,220.0,ols,0.021369,0.015031000000000001,0.006337999999999998,40000,0.006337999999999998,False,False,False,,True,False,False,False,True,False,False,False,False
AMZU,AMZN,2.0,2.0,1.7311990410620566,865.0,ols,0.051893,-0.015493,0.067386,300000,0.067386,False,False,False,,True,False,False,False,True,False,False,False,False
AVL,AVGO,2.0,2.0,1.987070125485932,338.0,ols,0.049302,-0.012902,0.062203999999999995,150000,0.062203999999999995,False,False,False,,True,False,False,False,True,False,False,False,False
BITX,IBIT,2.0,2.0,2.0004360841763527,527.0,ols,0.051067,-0.014667,0.065734,2100000,0.065734,False,False,False,,True,False,False,False,True,False,False,False,False
BOEU,BA,2.0,2.0,1.9876767294420088,207.0,ols,0.039907,-0.003507,0.043414,45000,0.043414,False,False,False,,True,False,False,False,True,False,False,False,False
BRKU,BRK-B,2.0,2.0,1.9513239941472635,296.0,ols,0.059911000000000006,-0.023511,0.08342200000000001,50000,0.08342200000000001,False,False,False,,False,True,False,False,False,True,True,False,False
BULU,BULL,2.0,2.0,1.9767775953499769,138.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
CSCL,CSCO,2.0,2.0,2.02752028749474,164.0,ols,0.04486,-0.00846,0.05332,15000,0.05332,False,False,False,,True,False,False,False,True,False,False,False,False
ELIL,LLY,2.0,2.0,1.992772554524404,225.0,ols,0.089323,-0.052923,0.14224599999999998,9000,0.14224599999999998,False,False,False,,False,True,False,False,False,False,True,False,False
ETHU,ETHA,2.0,2.0,2.0003070363352675,394.0,ols,0.029584000000000003,0.006816,0.022768000000000004,60000,0.022768000000000004,False,False,False,,True,False,False,False,True,False,False,False,False
FRDU,F,2.0,2.0,1.9789260864439795,145.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
GGLL,GOOGL,2.0,2.0,1.749720594382429,864.0,ols,0.041784999999999996,-0.005385,0.04717,950000,0.04717,False,False,False,,True,False,False,False,True,False,False,False,False
GMEU,GME,2.0,2.0,1.9659175810358285,205.0,ols,0.199888,-0.163488,0.36337600000000003,30000,0.36337600000000003,False,False,False,,False,True,False,False,False,False,True,False,False
LMTL,LMT,2.0,2.0,1.974959964833748,135.0,ols,0.10020799999999999,-0.063808,0.164016,1000,0.164016,False,False,False,,False,True,False,False,False,False,True,False,False
METU,META,2.0,2.0,1.998626201076906,426.0,ols,0.079675,-0.043274999999999994,0.12294999999999999,700000,0.12294999999999999,False,False,False,,False,True,False,False,False,False,True,False,False
MUU,MU,2.0,2.0,1.9952441134916743,339.0,ols,0.019743,0.016656999999999998,0.003086000000000002,300000,0.003086000000000002,False,False,False,,True,False,False,False,True,False,False,False,False
MSFU,MSFT,2.0,2.0,1.7237414236477673,864.0,ols,0.047060000000000005,-0.010660000000000001,0.05772000000000001,1500000,0.05772000000000001,False,False,False,,True,False,False,False,True,False,False,False,False
MSTX,MSTR,2.0,2.0,1.9510038863199348,377.0,ols,0.271754,-0.23535399999999998,0.507108,70000,0.507108,False,False,False,,False,True,False,False,False,False,True,False,False
NVDU,NVDA,2.0,2.0,1.9025440915888296,609.0,ols,0.053350999999999996,-0.016951,0.070302,100000,0.070302,False,False,False,,True,False,False,False,True,False,False,False,False
NFXL,NFLX,2.0,2.0,1.9952414888311825,343.0,ols,0.041144,-0.004744,0.045888,6000,0.045888,False,False,False,,True,False,False,False,True,False,False,False,False
PLTU,PLTR,2.0,2.0,1.991744372349572,295.0,ols,0.046470000000000004,-0.010069999999999999,0.05654000000000001,300000,0.05654000000000001,False,False,False,,True,False,False,False,True,False,False,False,False
PALU,PANW,2.0,2.0,2.005710989473898,224.0,ols,0.101729,-0.065329,0.16705799999999998,300000,0.16705799999999998,False,False,False,,False,True,False,False,False,False,True,False,False
QCMU,QCOM,2.0,2.0,2.000333143994061,164.0,ols,0.024018,0.012381999999999999,0.011636000000000002,15000,0.011636000000000002,False,False,False,,True,False,False,False,True,False,False,False,False
SHPU,SHOP,2.0,2.0,2.012233976500568,135.0,ols,0.140944,-0.104544,0.245488,40000,0.245488,False,False,False,,False,True,False,False,False,False,True,False,False
TSMX,TSM,2.0,2.0,1.9942899811463557,344.0,ols,0.385717,-0.349317,0.735034,550000,0.735034,False,False,False,,False,True,False,False,False,False,True,False,False
TSLL,TSLA,2.0,2.0,1.79938177648676,884.0,ols,0.04243,-0.00603,0.04846,450000,0.04846,False,False,False,,True,False,False,False,True,False,False,False,False
XOMX,XOM,2.0,2.0,1.96224694686358,206.0,ols,0.04136,-0.00496,0.04632,15000,0.04632,False,False,False,,True,False,False,False,True,False,False,False,False
XXRP,XRPZ,2.0,2.0,2.027245838363146,58.0,ols,0.0286,0.0078000000000000005,0.0208,100000,0.0208,False,False,False,,True,False,False,False,True,False,False,False,False
MSTU,MSTR,2.0,2.0,1.965115654118255,354.0,ols,0.26867599999999997,-0.23227599999999998,0.500952,400000,0.500952,False,False,False,,False,True,False,False,False,False,True,False,False
NVDX,NVDA,2.0,2.0,1.9934453068688067,583.0,ols,0.11963800000000001,-0.083238,0.202876,15000,0.202876,False,False,False,,False,True,False,False,False,False,True,False,False
TSLT,TSLA,2.0,2.0,1.992024006594747,583.0,ols,0.078971,-0.042571000000000005,0.12154200000000001,250000,0.12154200000000001,False,False,False,,False,True,False,False,False,False,True,False,False
BTCL,IBIT,2.0,2.0,2.006171195434567,404.0,ols,0.040163000000000004,-0.0037630000000000003,0.04392600000000001,75000,0.04392600000000001,False,False,False,,True,False,False,False,True,False,False,False,False
