underlying,net_notional_usd,gross_notional_usd,n_legs
SOEZ,18914.826779999996,18914.826779999996,2
NVDA,1387.502057530003,66136.13870767,7
KLAC,507.3610314819998,17787.238968518,2
NBIS,456.25743760000023,14681.2825624,2
META,290.90019141000175,30821.73980859,3
DASH,277.19957360999797,16663.920426390003,2
ASML,255.76699734000067,17150.95300266,2
ETHA,229.17912072000217,37087.22087928,4
IBIT,225.89696123999965,59352.483038759994,5
AAPL,222.07496881670068,32536.245031183298,3
XLK,209.14266604000295,33789.06266604,3
MU,208.2983274399985,16286.50167256,2
GEV,204.77871999999843,17267.22128,2
ALAB,202.24651776000064,16433.953482240002,2
SOXX,197.0450967200013,18774.94390272,2
F,183.790486522199,16216.9695134778,2
DIA,131.95844095999746,35387.47844096,3
IREN,127.71974499840144,17316.9802550016,2
RBLX,88.12407055999938,16527.595929439998,2
EWJ,83.43389983999805,16710.03389984,2
QCOM,52.87338690320212,16745.606613096803,2
HOOD,51.90290696000011,9808.59709304,2
CRWV,50.73222336000072,16656.86777664,2
VRT,42.29386111999884,16780.446138879997,2
APP,37.2536852799999,6049.52631472,2
TER,35.20757271999901,20446.71242728,2
NU,28.441029151199473,16779.118970848802,2
KWEB,16.033697900000334,16694.2463021,2
FXI,15.263931820001744,18699.29606818,2
MDB,10.030396800001654,15099.589603199998,2
PLUG,4.9479484399989815,13337.71205156,2
BABA,4.9227200000023,16711.83728,2
COPX,0.6813458000015089,16459.718654199998,2
ASHR,-5.157654949998687,16641.07765495,2
MSFT,-6.383090669996818,57346.423090669996,5
XRPZ,-6.918702079998184,33558.878702079994,3
UBER,-10.832399999999325,16754.0724,2
BA,-20.42032308259877,33694.8603230826,3
QQQ,-20.78515577600166,35352.494297056,4
UEC,-33.85089522470116,17019.4908952247,2
URA,-34.0315267499991,16444.711526749998,2
TSLA,-39.19971947999774,42139.86143404,6
TEM,-40.33975725000073,15056.83975725,2
CLS,-42.104678280000144,3373.66467828,2
TSM,-42.809864553200896,30009.2098645532,3
INTC,-46.91732482000043,16740.177324819997,2
SPY,-48.28256475999933,16415.47743524,2
XLF,-48.39811344000009,18774.981886560003,2
XBI,-54.3080716000004,18796.4519284,2
AMD,-62.26210743000047,50515.18210743001,4
SNOW,-68.15469600000142,17245.974696,2
CEG,-74.19622656000138,23165.79622656,2
XLE,-84.0198220000002,16971.859822,2
OPEN,-87.21358935160015,8271.4135893516,2
PLTR,-94.75419429000067,57165.79419429,5
UNH,-99.45224000000053,17109.112240000002,2
CMG,-100.96414623999863,15286.724146239998,2
CRM,-116.1672051300011,19984.74720513,2
XOM,-116.8902073600002,17196.89020736,2
CELH,-132.8690552320004,17073.629055232,2
AMZN,-134.83582560000286,33734.83582560001,3
DKNG,-137.72797394000054,6383.80797394,2
AVGO,-138.07795169999918,34010.3779517,3
XOP,-150.56144714000038,17367.20144714,2
CORZ,-176.32882734799932,17248.148827348,2
GDX,-185.51549018999776,33507.13032027,4
MSTR,-198.3441321499995,36458.34413215,3
RKT,-203.55476968679977,17011.1147696868,2
CSCO,-204.2953308531014,17367.6553308531,2
GOOGL,-208.48517463999997,33878.56517464,3
SOFI,-209.12325667950063,17187.683256679502,2
BLSH,-221.7337095999992,17423.4537096,2
MARA,-294.05156260000194,19354.1315626,3
PANW,-355.4766142000017,30437.316614199997,3
MRNA,-411.89475335600036,17982.854753355998,2
COST,-683.8526123200008,16856.49261232,2
MRVL,-780.0277381680007,17444.787738168,2
NFLX,-838.8587251200024,57427.978725119996,4
SLV,-1386.181195199998,16461.7188048,2
CLSK,-3345.8929642271996,15758.1070357728,2
