ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
AAPU,AAPL,1.972916,499,ols,0.052848,-0.016548,0.069396,85000,0.069396,False,False,False,,True,False,False,False,True,False,False,False,False,0.285389,0.563837,0.088933,0.019537
AMUU,AMD,2.007797,227,ols,0.021269999999999997,0.015029999999999998,0.006239999999999999,50000,0.006239999999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.555154,1.311935,0.119098,0.112858
AMZU,AMZN,1.979849,499,ols,0.04166,-0.00536,0.047020000000000006,650000,0.047020000000000006,False,False,False,,True,False,False,False,True,False,False,False,False,0.315861,0.625938,0.11475,0.06773
ASMU,ASML,2.096419,12,ols_short_history,0.052848,-0.016548,0.069396,1000,0.069396,False,False,False,,True,False,False,False,True,False,False,False,False,0.432117,0.672397,0.469093,0.39969699999999997
AVL,AVGO,1.987029,346,ols,0.058547,-0.022247,0.080794,30000,0.080794,False,False,False,,False,True,False,False,False,True,True,False,False,0.53692,1.087708,0.109165,0.028370999999999993
BOEU,BA,1.990121,214,ols,0.043376,-0.007076,0.050452,20000,0.050452,False,False,False,,True,False,False,False,True,False,False,False,False,0.347803,0.568296,0.118323,0.067871
BABU,BABA,2.09728,11,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.439242,0.381273,0.094705,
BRKU,BRK-B,1.952057,303,ols,0.060023999999999994,-0.023724,0.08374799999999999,40000,0.08374799999999999,False,False,False,,False,True,False,False,False,True,True,False,False,0.171159,0.361512,0.108071,0.02432300000000001
CONX,COIN,1.99571,68,ols,0.095121,-0.058821000000000005,0.153942,2000,0.153942,False,False,False,,False,True,False,False,False,False,True,False,False,0.795909,1.530233,0.180489,0.026547000000000015
CSCL,CSCO,2.027229,171,ols,0.044523,-0.008223000000000001,0.052746,6000,0.052746,False,False,False,,True,False,False,False,True,False,False,False,False,0.234132,0.53398,0.116272,0.063526
FRDU,F,1.981741,151,ols,0.0025,0.0338,0.0,100,0.0,False,False,False,,True,False,False,False,True,False,False,True,False,0.345517,0.606366,0.120488,0.120488
GGLL,GOOGL,1.979041,499,ols,0.037450000000000004,-0.00115,0.0386,600000,0.0386,False,False,False,,True,False,False,False,True,False,False,False,False,0.298219,0.590949,0.136451,0.097851
HODU,HOOD,2.005876,68,ols,0.107627,-0.071327,0.178954,15000,0.178954,False,False,False,,False,True,False,False,False,False,True,False,False,0.705006,1.483185,0.181832,0.0028779999999999917
LINT,INTC,1.990244,68,ols,0.29203399999999996,-0.255734,0.547768,35000,0.547768,False,False,False,,False,True,False,False,False,False,True,False,False,0.616821,1.459024,0.127126,-0.42064200000000007
ELIL,LLY,1.992236,232,ols,0.089637,-0.053337,0.142974,4000,0.142974,False,False,False,,False,True,False,False,False,False,True,False,False,0.371463,0.859809,0.111125,-0.03184899999999999
LMTL,LMT,1.985356,142,ols,0.08397,-0.047670000000000004,0.13164,9000,0.13164,False,False,False,,False,True,False,False,False,False,True,False,False,0.238718,0.475643,0.083379,-0.04826100000000001
METU,META,1.998737,433,ols,0.063386,-0.027086000000000002,0.090472,650000,0.090472,False,False,False,,False,True,False,False,False,True,True,False,False,0.35365,0.709949,0.114243,0.023771
MRVU,MRVL,1.963168,11,ols_short_history,0.038072,-0.001772,0.039844000000000004,1000,0.039844000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.624385,0.539307,0.182199,0.142355
MSFU,MSFT,1.975074,499,ols,0.037067,-0.000767,0.037834,1000000,0.037834,False,False,False,,True,False,False,False,True,False,False,False,False,0.241441,0.477769,0.107644,0.06981000000000001
MUU,MU,1.994605,346,ols,0.023835000000000002,0.012464999999999999,0.011370000000000003,200000,0.011370000000000003,False,False,False,,True,False,False,False,True,False,False,False,False,0.601279,1.249566,0.111214,0.09984399999999999
NFXL,NFLX,1.996316,351,ols,0.041485,-0.0051849999999999995,0.04667,30000,0.04667,False,False,False,,True,False,False,False,True,False,False,False,False,0.329864,0.708016,0.110586,0.063916
NVDU,NVDA,1.971948,499,ols,0.051205,-0.014905,0.06611,75000,0.06611,False,False,False,,True,False,False,False,True,False,False,False,False,0.498218,0.983917,0.118585,0.052474999999999994
ORCU,ORCL,2.009991,68,ols,0.14305400000000001,-0.106754,0.24980800000000003,200000,0.24980800000000003,False,False,False,,False,True,False,False,False,False,True,False,False,0.513366,1.116332,0.087974,-0.16183400000000003
PALU,PANW,2.005106,232,ols,0.059721,-0.023420999999999997,0.083142,550000,0.083142,False,False,False,,False,True,False,False,False,True,True,False,False,0.340956,0.723322,0.109201,0.026059000000000013
PLTU,PLTR,1.991164,303,ols,0.050343,-0.014043000000000002,0.064386,200000,0.064386,False,False,False,,True,False,False,False,True,False,False,False,False,0.629186,1.307157,0.115005,0.050619
QCMU,QCOM,2.006031,171,ols,0.021834,0.014466000000000001,0.007367999999999998,5000,0.007367999999999998,False,False,False,,True,False,False,False,True,False,False,False,False,0.38717,0.671099,0.126758,0.11939000000000001
SHPU,SHOP,2.003477,142,ols,0.156639,-0.12033899999999999,0.276978,10000,0.276978,False,False,False,,False,True,False,False,False,False,True,False,False,0.572761,1.015808,0.108418,-0.16856
SOFA,SOFI,2.025443,12,ols_short_history,0.046759,-0.010459000000000001,0.057218000000000005,4000,0.057218000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.584665,1.03886,0.117035,0.059816999999999995
TSLL,TSLA,1.985269,499,ols,0.072091,-0.035790999999999996,0.107882,400000,0.107882,False,False,False,,False,True,False,False,False,True,True,False,False,0.628014,1.247605,0.103548,-0.0043340000000000045
TSMX,TSM,1.993654,351,ols,0.240681,-0.20438099999999998,0.44506199999999996,550000,0.44506199999999996,False,False,False,,False,True,False,False,False,False,True,False,False,0.406026,0.800476,0.12058,-0.32448199999999994
XOMX,XOM,1.964448,214,ols,0.048112,-0.011812,0.059924000000000005,20000,0.059924000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.224068,0.4294,0.098038,0.038113999999999995
YINN,FXI,2.974053,499,ols,0.013937999999999999,0.022362000000000003,0.0,550000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.287214,0.856256,0.127243,0.127243
MEXX,EWW,2.955135,499,ols,0.090735,-0.054435000000000004,0.14517,4000,0.14517,False,False,False,,False,True,False,False,False,False,True,False,False,0.239775,0.710395,0.10745,-0.03771999999999999
