symbol,underlying,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
ASTS,ASTS,AST SPACEMOBILE INC,0.0,2897.014970765505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897.014970765505
QBTS,QBTS,D-WAVE QUANTUM INC,0.0,864.0821691796237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0821691796237
CRWV,CRWV,COREWEAVE INC-CL A,0.0,511.5269890325974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.5269890325974
IREN,IREN,IREN LTD,0.0,475.77118739426356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.77118739426356
DKNG,DKNG,DRAFTKINGS INC-CL A,0.0,371.8241014310552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.8241014310552
CLSZ,CLSK,TRADR 2X SHRT CLSK DAILY ETF,342.45757941,0.0,0.0,0.0,0.0,-1.02,0.0,0.0,0.0,341.43757941
WEBS,XLK,DIREXION DAILY DOW JONES INT,313.26477971,0.0,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,312.20477971
CELH,CELH,CELSIUS HOLDINGS INC,0.0,272.12799992021337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.12799992021337
COIN,COIN,COINBASE GLOBAL INC -CLASS A,0.0,196.31257343206357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.31257343206357
DASH,DASH,DOORDASH INC - A,0.0,164.72563111142568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.72563111142568
AXON,AXON,AXON ENTERPRISE INC,0.0,105.63595632620907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.63595632620907
QID,QQQ,PROSHARES ULTRASHORT QQQ,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078
XLK,XLK,SS TECHNOLOGY SELECT SECTOR,0.0,0.0,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,-0.51
DIA,DIA,SS SPDR DOW JONES INDUS AVG,0.0,0.0,0.0,0.0,0.0,-0.525,0.0,0.0,0.0,-0.525
DXD,DIA,PROSHARES ULTRASHORT DOW30,-24.50723037,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,0.0,-26.10723037
SDOW,DIA,PROSHARES ULTPRO SHRT DOW30,-26.86841554,0.0,0.0,0.0,0.0,-0.9299999999999999,0.0,0.0,0.0,-27.79841554
CLSK,CLSK,CLEANSPARK INC,0.0,-162.54176538428487,0.0,0.0,0.0,0.8979641754951635,0.0,0.0,0.0,-161.6438012087897
MSTR,MSTR,STRATEGY INC,0.0,-202.8202419307282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.8202419307282
BLSH,BLSH,BULLISH,0.0,-436.42390749204947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-436.42390749204947
NBIS,NBIS,NEBIUS GROUP NV,0.0,-3420.345966911465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3420.345966911465
