ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.984105,500,ols,0.075576,-0.039176,0.114752,20000,0.114752,False,False,False,,True,False,False,False,False,True,False,False,False,0.562999,0.174337,0.283549,0.078493,0.174337,0.059584999999999985,0.059584999999999985,0.49602625,0.5952315,0.5,0.5952315
AMUU,AMD,2.007876,244,ols,0.058005,-0.021605,0.07961,45000,0.07961,False,False,False,,True,False,False,False,False,True,False,False,False,1.292815,0.498029,0.558049,0.315107,0.492222,0.418419,0.412612,0.501969,0.6023628,0.501969,0.6023628
AMZU,AMZN,1.987911,500,ols,0.045073,-0.008673,0.053746,20000,0.053746,False,False,False,,True,False,False,False,False,True,False,False,False,0.631845,0.211715,0.317678,0.099097,0.211715,0.15796899999999997,0.15796899999999997,0.49697775,0.5963733,0.5,0.5963733
ASMU,ASML,1.982672,29,ols_short_history,0.052956,-0.016556,0.069512,400,0.069512,False,False,False,,True,False,False,False,False,True,False,True,False,0.817629,0.280421,0.434267,0.183714,0.194843,0.21090899999999996,0.12533099999999997,0.495668,0.5948015999999999,0.5,0.5948015999999999
AVL,AVGO,1.987481,363,ols,0.045099,-0.008699,0.053798,100000,0.053798,False,False,False,,True,False,False,False,False,True,False,False,False,1.074969,0.378967,0.534161,0.279992,0.378967,0.325169,0.325169,0.49687025,0.5962443,0.5,0.5962443
BOEU,BA,1.992081,231,ols,0.05301,-0.01661,0.06962,45000,0.06962,False,False,False,,True,False,False,False,False,True,False,False,False,0.589612,0.199692,0.351012,0.12175,0.193197,0.13007200000000002,0.123577,0.49802025,0.5976243,0.5,0.5976243
BABU,BABA,2.025942,28,ols_short_history,0.047421,-0.011021000000000001,0.058442,15000,0.058442,False,False,False,,True,False,False,False,False,True,False,False,False,0.721226,0.210908,0.443809,0.204697,0.205387,0.15246600000000002,0.146945,0.5064855,0.6077826000000001,0.5064855,0.6077826000000001
BRKU,BRK-B,1.944317,320,ols,0.09256600000000001,-0.056166,0.148732,40000,0.148732,False,False,False,,True,False,False,False,False,True,False,False,False,0.35734,0.138886,0.17265,0.027365,0.138886,-0.009845999999999994,-0.009845999999999994,0.48607925,0.5832951,0.5,0.5832951
CONX,COIN,2.004225,85,ols,0.14880100000000002,-0.112401,0.26120200000000005,200,0.26120200000000005,False,False,False,,True,False,False,False,False,True,False,True,False,1.536486,0.714774,0.791507,0.630459,0.658899,0.453572,0.39769699999999997,0.50105625,0.6012675,0.50105625,0.6012675
CSCL,CSCO,2.023651,188,ols,0.096815,-0.060415,0.15723,15000,0.15723,False,False,False,,True,False,False,False,False,True,False,False,False,0.529011,0.200548,0.237081,0.058217,0.1644,0.043317999999999995,0.007169999999999982,0.50591275,0.6070953,0.50591275,0.6070953
FRDU,F,1.982872,169,ols,,,,0,,False,True,False,,False,False,False,False,False,True,False,True,False,0.622161,0.212763,0.345931,0.116611,0.181094,0.212763,0.181094,0.495718,1.0,0.5,1.0
GGLL,GOOGL,1.993489,500,ols,0.048886000000000006,-0.012485999999999999,0.061372,90000,0.061372,False,False,False,,True,False,False,False,False,True,False,False,False,0.593356,0.198522,0.297482,0.087633,0.198522,0.13715,0.13715,0.49837225,0.5980467,0.5,0.5980467
HODU,HOOD,2.009173,85,ols,0.094027,-0.057627,0.151654,10000,0.151654,False,False,False,,True,False,False,False,False,True,False,False,False,1.427367,0.661095,0.704941,0.5038,0.556856,0.509441,0.405202,0.50229325,0.6027519,0.50229325,0.6027519
LINT,INTC,1.988265,85,ols,0.132268,-0.09586800000000001,0.228136,7000,0.228136,False,False,False,,True,False,False,False,False,True,False,False,False,1.41503,0.601709,0.622463,0.380667,0.455225,0.37357300000000004,0.22708899999999999,0.49706625,0.5964794999999999,0.5,0.5964794999999999
ELIL,LLY,1.99157,249,ols,0.08852499999999999,-0.052125000000000005,0.14065,15000,0.14065,False,False,False,,True,False,False,False,False,True,False,False,False,0.845842,0.28471,0.373257,0.137564,0.282958,0.14406000000000002,0.142308,0.4978925,0.597471,0.5,0.597471
LMTL,LMT,1.989465,159,ols,0.121424,-0.085024,0.20644800000000002,15000,0.20644800000000002,False,False,False,,True,False,False,False,False,True,False,False,False,0.479518,0.159188,0.242192,0.057733,0.121746,-0.047260000000000024,-0.08470200000000003,0.49736625,0.5968395,0.5,0.5968395
METU,META,1.999286,450,ols,0.081616,-0.045216000000000006,0.126832,100000,0.126832,False,False,False,,True,False,False,False,False,True,False,False,False,0.705381,0.236909,0.352555,0.124162,0.236909,0.11007700000000001,0.11007700000000001,0.4998215,0.5997857999999999,0.5,0.5997857999999999
