etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.031225,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.00929,1.0
CORD,CRWV,-2.003914,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.98966,1.0
SDOW,DIA,-2.989289,1.0
DKUP,DKNG,-1.0,1.0
BTCZ,IBIT,-1.992667,1.0
TWM,IWM,-2.003126,1.0
TZA,IWM,-2.991699,1.0
LITZ,LITE,-1.0,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.982359,1.0
NBIZ,NBIS,-1.0,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVDS,NVDA,-1.452171,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.993801,1.0
QSX,QS,-1.0,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.892109,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPY,-4.472714,1.0
SPXS,SPY,-2.898542,1.0
SPXU,SPY,-2.893348,1.0
TBT,TLT,-1.982801,1.0
TBX,TLT,-0.428203,1.0
TMV,TLT,-2.963599,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.465557,1.0
DUG,XLE,-1.975364,1.0
SKF,XLF,-2.003529,1.0
FNGD,XLK,-2.836007,1.0
REW,XLK,-1.998672,1.0
TECS,XLK,-2.961995,1.0
TTXD,XLK,-1.841757,1.0
WEBS,XLK,-2.243626,1.0
DRIP,XOP,-1.998984,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
