ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.985917,500,ols
AMUU,AMD,2.0,2.007489,246,ols
AMZU,AMZN,2.0,1.988453,500,ols
ASMU,ASML,2.0,1.982376,31,ols
AVL,AVGO,2.0,1.987599,365,ols
BOEU,BA,2.0,1.991117,233,ols
BABU,BABA,2.0,2.03286,30,ols
BRKU,BRK-B,2.0,1.945643,322,ols
CONX,COIN,2.0,2.003306,87,ols
CSCL,CSCO,2.0,2.022945,190,ols
FRDU,F,2.0,1.984331,171,ols
GGLL,GOOGL,2.0,1.993598,500,ols
HODU,HOOD,2.0,2.0088,87,ols
LINT,INTC,2.0,1.989292,87,ols
ELIL,LLY,2.0,1.991542,251,ols
LMTL,LMT,2.0,1.988793,161,ols
METU,META,2.0,1.999395,452,ols
MRVU,MRVL,2.0,2.018906,30,ols
MSFU,MSFT,2.0,1.992492,500,ols
MUU,MU,2.0,1.994537,365,ols
NFXL,NFLX,2.0,1.997604,370,ols
NVDU,NVDA,2.0,1.987592,500,ols
ORCU,ORCL,2.0,2.004831,87,ols
PALU,PANW,2.0,2.006534,251,ols
PLTU,PLTR,2.0,1.992084,322,ols
QCMU,QCOM,2.0,2.002473,190,ols
SHPU,SHOP,2.0,2.013576,161,ols
SOFA,SOFI,2.0,1.98696,31,ols
TSLL,TSLA,2.0,1.993682,500,ols
TSMX,TSM,2.0,1.993349,370,ols
XOMX,XOM,2.0,1.975754,233,ols
YINN,FXI,2.0,2.973008,500,ols
MEXX,EWW,2.0,2.956329,500,ols
KORU,EWY,2.0,2.92817,500,ols
HIBL,SPY,2.0,4.475978,500,ols
LABU,XBI,2.0,2.989208,500,ols
SOXL,SOXX,2.0,2.960707,500,ols
CHAU,ASHR,2.0,1.966628,500,ols
CWEB,KWEB,2.0,1.987207,500,ols
ERX,XLE,2.0,1.986962,500,ols
NUGT,GDX,2.0,1.977907,500,ols
JNUG,GDXJ,2.0,1.975046,500,ols
GUSH,XOP,2.0,2.009491,500,ols
URAA,URA,2.0,1.933134,439,ols
MSTU,MSTR,2.0,1.965858,381,ols
NVDX,NVDA,2.0,1.997648,500,ols
TSLT,TSLA,2.0,1.992534,500,ols
BTCL,IBIT,2.0,2.006025,430,ols
ETU,ETHA,2.0,1.989222,355,ols
CCUP,CRCL,2.0,1.982721,158,ols
CRWU,CRWV,2.0,1.988694,168,ols
AAPX,AAPL,2.0,1.995545,500,ols
GOOX,GOOGL,2.0,1.980386,500,ols
MSFX,MSFT,2.0,2.007184,500,ols
NFLU,NFLX,2.0,1.991886,374,ols
ROBN,HOOD,2.0,2.011633,289,ols
ARMU,ARM,2.0,1.96826,264,ols
DJTU,DJT,2.0,2.005002,268,ols
RBLU,RBLX,2.0,2.018195,268,ols
SNOU,SNOW,2.0,2.016233,232,ols
SMUP,SMR,2.0,2.055224,168,ols
BULU,BULL,2.0,1.928535,160,ols
GLXU,GLXY,2.0,2.010303,159,ols
AFRU,AFRM,2.0,1.951714,133,ols
KTUP,KTOS,2.0,2.027852,133,ols
TTDU,TTD,2.0,1.996258,132,ols
BMNU,BMNR,2.0,1.945569,125,ols
SBTU,SBET,2.0,2.025541,108,ols
CIFU,CIFR,2.0,1.989675,85,ols
SOLX,GSOL,2.0,1.980442,78,ols
XRPK,XRPZ,2.0,1.957696,78,ols
XRPT,XRPZ,2.0,2.016544,84,ols
GMEU,GME,2.0,1.967898,232,ols
APLX,APLD,2.0,1.994365,138,ols
APPX,APP,2.0,1.98597,231,ols
ARCX,ACHR,2.0,1.986448,200,ols
ASTX,ASTS,2.0,1.989098,179,ols
BEX,BE,2.0,1.976027,91,ols
CEGX,CEG,2.0,1.981891,179,ols
CLSX,CLSK,2.0,1.998108,133,ols
COZX,CORZ,2.0,2.040297,97,ols
CRDU,CRDO,2.0,1.988183,133,ols
CSEX,CLS,2.0,2.002739,91,ols
CWVX,CRWV,2.0,1.98929,179,ols
DOGD,DDOG,2.0,2.013214,157,ols
ENPX,ENPH,2.0,2.017172,133,ols
FLYT,FLY,2.0,1.981835,106,ols
GEVX,GEV,2.0,1.997112,179,ols
IREX,IREN,2.0,1.982157,106,ols
JOBX,JOBY,2.0,1.978134,138,ols
LABX,ALAB,2.0,1.993234,157,ols
LRCU,LRCX,2.0,2.042185,152,ols
MDBX,MDB,2.0,1.991632,152,ols
NEBX,NBIS,2.0,1.997896,138,ols
NNEX,NNE,2.0,1.994023,91,ols
NVTX,NVTS,2.0,2.000551,138,ols
OPEX,OPEN,2.0,1.99677,106,ols
PONX,PONY,2.0,2.018011,138,ols
QBTX,QBTS,2.0,1.992317,231,ols
QUBX,QUBT,2.0,1.965678,191,ols
RGTU,RGTI,2.0,1.985966,191,ols
SMU,SMR,2.0,1.985603,179,ols
SNPX,SNPS,2.0,1.917322,91,ols
SRPU,SRPT,2.0,1.964213,106,ols
TARK,ARKK,2.0,1.977649,500,ols
TEMT,TEM,2.0,1.983481,219,ols
UNX,U,2.0,2.030928,133,ols
UPSX,UPST,2.0,1.986154,200,ols
VOYX,VOYG,2.0,1.967189,138,ols
WULX,WULF,2.0,1.994424,106,ols
CRMU,CRML,2.0,1.95938,32,ols
UECG,UEC,2.0,1.995826,32,ols
DNNG,DNN,2.0,1.965766,32,ols
RCAX,RCAT,2.0,2.017772,37,ols
RDWU,RDW,2.0,1.956566,39,ols
OKLL,OKLO,2.0,1.997572,191,ols
GDXU,GDX,2.0,3.042939,500,ols
MRNX,MRNA,2.0,2.016541,36,ols
ZETX,ZETA,2.0,2.055255,36,ols
LITX,LITE,2.0,1.97965,42,ols
SNXX,SNDX,2.0,1.084651,42,ols
WDCX,WDC,2.0,2.050422,42,ols
LNOK,NOK,2.0,1.961357,46,ols
USGG,USAR,2.0,1.999636,51,ols
ONDG,ONDS,2.0,1.995993,51,ols
PLUL,PLUG,2.0,1.933097,51,ols
ALBG,ALB,2.0,2.005404,51,ols
UUUG,UUUU,2.0,1.993593,51,ols
HUTG,HUT,2.0,2.002837,51,ols
XPEG,XPEV,2.0,1.988264,49,ols
ORLG,ORLY,2.0,2.002432,49,ols
LUNL,LUNR,2.0,1.994786,51,ols
RKTL,RKT,2.0,1.957321,51,ols
EOSU,EOSE,2.0,1.973216,50,ols
BTFL,KEEL,2.0,2.023411,60,ols
FGRU,FIGR,2.0,2.008779,27,ols_short_history
APHU,APH,2.0,2.026496,27,ols_short_history
COPZ,COPX,2.0,2.049934,27,ols_short_history
LEUX,LEU,2.0,2.049381,26,ols_short_history
COHX,COHR,2.0,2.070905,26,ols_short_history
AXPG,AXP,2.0,2.023522,26,ols_short_history
FCXG,FCX,2.0,2.053115,26,ols_short_history
GLWG,GLW,2.0,1.972136,13,ols_short_history
SNDU,SNDK,2.0,1.955918,11,ols_short_history
PAAU,PAAS,2.0,1.941987,11,ols_short_history
BITX,IBIT,2.0,2.004581,500,ols
ETHU,ETHA,2.0,2.000926,421,ols
XXRP,XRPZ,2.0,2.01966,84,ols
AALG,AAL,2.0,1.979715,179,ols
ABNG,ABNB,2.0,1.987161,89,ols
ADBG,ADBE,2.0,1.991583,255,ols
AMDG,AMD,2.0,2.003137,294,ols
ARMG,ARM,2.0,1.996036,301,ols
ASMG,ASML,2.0,1.985002,301,ols
AVGG,AVGO,2.0,1.999755,216,ols
BAIG,BBAI,2.0,2.009164,150,ols
BEG,BE,2.0,1.996978,69,ols
BIDG,BIDU,2.0,2.016638,67,ols
BLSG,BLSH,2.0,2.014389,104,ols
BMNG,BMNR,2.0,1.992036,104,ols
BOEG,BA,2.0,1.986546,197,ols
BULG,BULL,2.0,1.979038,158,ols
CIFG,CIFR,2.0,1.997485,72,ols
CMGG,CMG,2.0,1.973135,89,ols
CNCG,CNC,2.0,2.009877,67,ols
COIG,COIN,2.0,1.996022,259,ols
COTG,COST,2.0,1.985286,131,ols
CRCG,CRCL,2.0,1.99094,158,ols
CRMG,CRM,2.0,1.983468,245,ols
CRWG,CRWV,2.0,1.997655,158,ols
DUOG,DUOL,2.0,2.021931,72,ols
FIGG,FIG,2.0,1.99344,113,ols
FUTG,FUTU,2.0,1.998387,113,ols
GEMG,GEMI,2.0,1.978611,97,ols
GEVG,GEV,2.0,1.952273,69,ols
GLGG,GLXY,2.0,2.000794,150,ols
GRAG,GRAB,2.0,1.982593,72,ols
HOOG,HOOD,2.0,2.006038,255,ols
IREG,IREN,2.0,1.968726,69,ols
KLAG,KLAC,2.0,2.013946,67,ols
LACG,LAC,2.0,2.010824,72,ols
LULG,LULU,2.0,1.991304,97,ols
MPG,MP,2.0,1.986124,104,ols
NBIG,NBIS,2.0,2.008007,104,ols
NEMG,NEM,2.0,1.996994,89,ols
NETG,NET,2.0,2.005883,89,ols
NIOG,NIO,2.0,1.968493,67,ols
NUG,NU,2.0,1.984621,89,ols
NVDG,NVDA,2.0,1.969216,320,ols
OKTG,OKTA,2.0,1.999649,89,ols
OPEG,OPEN,2.0,2.00321,72,ols
OSCG,OSCR,2.0,1.987037,97,ols
PANG,PANW,2.0,1.996874,255,ols
PBRG,PBR,2.0,1.926916,67,ols
PLTG,PLTR,2.0,1.996873,231,ols
PYPG,PYPL,2.0,1.994934,245,ols
RTXG,RTX,2.0,2.011068,202,ols
SATG,SATS,2.0,2.005082,69,ols
SBU,SBUX,2.0,1.997818,89,ols
SNAG,SNAP,2.0,2.008335,67,ols
SPOG,SPOT,2.0,1.979311,89,ols
TERG,TER,2.0,1.994338,89,ols
TSLG,TSLA,2.0,1.99086,320,ols
TSMG,TSM,2.0,1.978174,301,ols
UNHG,UNH,2.0,1.995926,172,ols
UPSG,UPS,2.0,1.993427,72,ols
VALG,VALE,2.0,1.976651,67,ols
XYZG,XYZ,2.0,1.99915,245,ols
COIO,COIN,2.0,0.944762,156,ols
MSOO,MSTR,2.0,0.975337,156,ols
NVDO,NVDA,2.0,0.956205,156,ols
PLOO,PLTR,2.0,0.868083,156,ols
TSLO,TSLA,2.0,0.863294,156,ols
CRCA,CRCL,2.0,1.979804,160,ols
NVDB,NVDA,2.0,1.989477,137,ols
PLTA,PLTR,2.0,1.990233,137,ols
TSLI,TSLA,2.0,1.979134,137,ols
COIA,COIN,2.0,2.000573,137,ols
BITU,IBIT,2.0,1.992269,498,ols
ETHT,ETHA,2.0,1.991267,421,ols
UXRP,XRPZ,2.0,1.99945,84,ols
SOLT,SOEZ,2.0,2.015475,78,ols
TSLR,TSLA,2.0,1.99885,500,ols
AAPB,AAPL,2.0,1.990968,500,ols
AMDL,AMD,2.0,1.996953,500,ols
AMZZ,AMZN,2.0,1.990015,500,ols
AVGU,AVGO,2.0,1.991738,177,ols
BABX,BABA,2.0,2.006335,500,ols
BULX,BULL,2.0,1.972296,142,ols
CONL,COIN,2.0,1.987305,500,ols
CRWL,CRWD,2.0,1.995943,342,ols
DLLL,DELL,2.0,1.985039,279,ols
ETRL,ETOR,2.0,2.000053,142,ols
GOU,GOOGL,2.0,2.040486,79,ols
INTW,INTC,2.0,1.987536,280,ols
IONL,IONQ,2.0,1.98614,252,ols
ISUL,ISRG,2.0,2.000395,118,ols
LCDL,LCID,2.0,1.962432,234,ols
MRAL,MARA,2.0,1.978567,265,ols
FBL,META,2.0,1.996789,500,ols
MVLL,MRVL,2.0,1.993356,265,ols
MSFL,MSFT,2.0,1.991895,500,ols
MSTP,MSTR,2.0,1.994013,200,ols
MULL,MU,2.0,1.997621,342,ols
NBIL,NBIS,2.0,1.997923,118,ols
NOWL,NOW,2.0,1.996305,177,ols
NVDL,NVDA,2.0,1.987419,500,ols
PDDL,PDD,2.0,2.009323,177,ols
PTIR,PLTR,2.0,1.996564,391,ols
QCML,QCOM,2.0,1.97277,246,ols
RDTL,RDDT,2.0,1.981149,253,ols
RVNL,RIVN,2.0,1.986992,234,ols
SMCL,SMCI,2.0,1.989758,320,ols
TSMU,TSM,2.0,1.990308,342,ols
UBRL,UBER,2.0,1.997022,391,ols
VRTL,VRT,2.0,1.981424,253,ols
AMYY,AMD,2.0,0.315276,133,ols
AZYY,AMZN,2.0,0.656225,133,ols
BBYY,BABA,2.0,0.590527,107,ols
XBTY,IBIT,2.0,0.545423,219,ols
COYY,COIN,2.0,0.483914,167,ols
NUGY,GDX,2.0,0.490152,88,ols
HMYY,HIMS,2.0,0.261853,79,ols
HOYY,HOOD,2.0,0.518392,123,ols
IOYY,IONQ,2.0,0.374652,98,ols
MAAY,MARA,2.0,0.324578,98,ols
FBYY,META,2.0,0.613977,107,ols
MTYY,MSTR,2.0,0.393789,128,ols
NVYY,NVDA,2.0,0.666397,219,ols
PLYY,PLTR,2.0,0.547426,128,ols
QBY,QBTS,2.0,0.294047,80,ols
TQQY,QQQ,2.0,0.882206,272,ols
RGYY,RGTI,2.0,0.329543,83,ols
RTYY,RIOT,2.0,0.366524,79,ols
SEMY,SOXX,2.0,0.78164,88,ols
SMYY,SMCI,2.0,0.326909,123,ols
YSPY,SPY,2.0,0.846736,246,ols
TSYY,TSLA,2.0,0.543246,317,ols
QYLD,QQQ,1.0,0.624263,500,ols
QYLG,QQQ,1.0,0.79837,500,ols
QQQX,QQQ,1.0,0.77553,500,ols
JEPQ,QQQ,1.0,0.771489,500,ols
XYLD,SPY,1.0,0.643258,500,ols
XYLG,SPY,1.0,0.813587,500,ols
JEPI,SPY,1.0,0.598968,500,ols
SPYI,SPY,1.0,0.827604,500,ols
RYLD,IWM,1.0,0.574873,500,ols
ABNY,ABNB,1.0,0.796535,440,ols
AIYY,AI,1.0,0.773006,500,ols
AMDY,AMD,1.0,0.802088,500,ols
AMZY,AMZN,1.0,0.765315,500,ols
APLY,AAPL,1.0,0.786537,500,ols
BABO,BABA,1.0,0.774482,409,ols
BRKC,BRK-B,1.0,0.826916,203,ols
CONY,COIN,1.0,0.774838,500,ols
CRCO,CRCL,1.0,0.839099,123,ols
CVNY,CVNA,1.0,0.816302,289,ols
DISO,DIS,1.0,0.759799,500,ols
DRAY,DKNG,1.0,0.808243,177,ols
FBY,META,1.0,0.791323,500,ols
GMEY,GME,1.0,0.65464,138,ols
GOOY,GOOGL,1.0,0.751371,500,ols
HIYY,HIMS,1.0,0.87294,128,ols
HOOY,HOOD,1.0,0.791369,222,ols
MARO,MARA,1.0,0.781481,323,ols
MRNY,MRNA,1.0,0.760122,500,ols
MSFO,MSFT,1.0,0.78914,500,ols
MSTY,MSTR,1.0,0.763683,500,ols
NFLY,NFLX,1.0,0.781692,500,ols
NVDY,NVDA,1.0,0.788194,500,ols
PLTY,PLTR,1.0,0.795065,367,ols
PYPY,PYPL,1.0,0.813631,500,ols
RBLY,RBLX,1.0,0.850157,167,ols
RDYY,RDDT,1.0,0.829248,138,ols
SMCY,SMCI,1.0,0.760071,385,ols
SNOY,SNOW,1.0,0.793939,449,ols
TSLY,TSLA,1.0,0.755648,500,ols
TSMY,TSM,1.0,0.796075,400,ols
XOMO,XOM,1.0,0.800482,500,ols
XYZY,XYZ,1.0,0.813469,500,ols
AAPW,AAPL,1.0,1.097905,276,ols
AMDW,AMD,1.0,1.199062,170,ols
AMZW,AMZN,1.0,1.211828,194,ols
ARMW,ARM,1.0,1.196873,106,ols
AVGW,AVGO,1.0,1.195073,170,ols
BABW,BABA,1.0,1.22063,106,ols
BRKW,BRK-B,1.0,1.17968,194,ols
COIW,COIN,1.0,1.21702,277,ols
COSW,COST,1.0,1.248313,106,ols
GOOW,GOOGL,1.0,1.224481,170,ols
HOOW,HOOD,1.0,1.207978,194,ols
METW,META,1.0,1.183134,194,ols
MSFW,MSFT,1.0,1.216714,170,ols
MSTW,MSTR,1.0,1.218254,170,ols
NFLW,NFLX,1.0,1.191385,194,ols
NVDW,NVDA,1.0,1.199178,277,ols
PLTW,PLTR,1.0,1.193213,277,ols
TSLW,TSLA,1.0,1.196737,277,ols
UBEW,UBER,1.0,1.220641,106,ols
UNHW,UNH,1.0,1.20638,78,ols
TSYW,TLT,1.0,1.149511,91,ols
GLDW,GOLD,1.0,0.334384,101,ols
GDXW,GDX,1.0,1.198179,101,ols
TOPW,TOP,1.0,1.0,0,imputed_no_overlap
SDS,SPY,-2.0,-1.935289,500,ols
QID,QQQ,-2.0,-1.993767,500,ols
DXD,DIA,-2.0,-1.990154,500,ols
TWM,IWM,-2.0,-2.003426,500,ols
SCO,USO,-2.0,-1.449473,500,ols
MSTZ,MSTR,-2.0,-1.982408,381,ols
NVDQ,NVDA,-2.0,-1.992082,500,ols
BTCZ,IBIT,-2.0,-1.992695,430,ols
ETHD,ETHA,-2.0,-1.981495,421,ols
CRCD,CRCL,-2.0,-2.009408,125,ols
CORD,CRWV,-2.0,-2.003986,125,ols
TSLQ,TSLA,-2.0,-1.856739,500,ols
ZSL,SLV,-2.0,-2.024045,500,ols
SQQQ,QQQ,-3.0,-2.977437,500,ols
SPXS,SPY,-3.0,-2.900001,500,ols
