ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
AAPU,AAPL,1.986555,500,ols,0.108082,85000,0.108082,False,False,27.940000534057617,0.108082,1.0,False,True,False,False,False,False,False,False,False,0.565343,0.173422,0.28442,0.079271,0.173422,0.06534,0.06534,0.49663875,0.5959665,0.5,0.5959665,0.108082,ETF_LS,834.9364676051059,-420.2936579179061,core_leveraged
AMUU,AMD,2.007393,252,ols,0.043197,10000,0.043197,False,False,50.20500183105469,0.043197,1.0,False,True,False,False,False,False,False,False,False,1.288361,0.490692,0.55878,0.315706,0.490692,0.447495,0.447495,0.50184825,0.6022179,0.50184825,0.6022179,0.043197,ETF_LS,6352.0438386047335,-3164.3249919695513,core_leveraged
AMZU,AMZN,1.988483,500,ols,0.070968,10000,0.070968,False,False,28.21999931335449,0.070968,1.0,False,True,False,False,False,False,False,False,False,0.636041,0.209778,0.319721,0.100462,0.209778,0.13881,0.13881,0.49712075,0.5965448999999999,0.5,0.5965448999999999,0.070968,ETF_LS,835.2076172728356,-420.02250825017643,core_leveraged
ASMU,ASML,1.993393,37,ols,0.067128,9000,0.067128,False,False,20.299999237060547,0.067128,1.0,False,True,False,False,False,False,False,False,False,0.874121,0.289721,0.437696,0.189683,0.204371,0.222593,0.137243,0.49834825,0.5980179,0.5,0.5980179,0.067128,ETF_LS,881.5628239464947,-442.2423596082131,core_leveraged
AVL,AVGO,1.986734,371,ols,0.043181,85000,0.043181,False,False,38.09000015258789,0.043181,1.0,False,True,False,False,False,False,False,False,False,1.074563,0.375365,0.53744,0.28312,0.375365,0.332184,0.332184,0.4966835,0.5960202,0.5,0.5960202,0.043181,ETF_LS,4595.252954025887,-2312.968396386173,core_leveraged
BOEU,BA,1.992882,239,ols,0.062428,10000,0.062428,False,False,33.74760055541992,0.062428,1.0,False,True,False,False,False,False,False,False,False,0.601186,0.19288,0.354301,0.124192,0.189337,0.130452,0.126909,0.4982205,0.5978646,0.5,0.5978646,0.062428,ETF_LS,867.2132590286146,-435.1553473956886,core_leveraged
BABU,BABA,2.032822,36,ols,0.050064,25000,0.050064,False,False,12.306300163269045,0.050064,1.0,False,True,False,False,False,False,False,False,False,0.69402,0.207534,0.445586,0.208429,0.208301,0.15747,0.158237,0.5082055,0.6098465999999999,0.5082055,0.6098465999999999,0.050064,ETF_LS,1726.8176768517965,-849.4682155406605,core_leveraged
CONX,COIN,2.003191,93,ols,0.139556,5000,0.139556,False,False,8.489999771118164,0.139556,1.0,False,True,False,False,False,False,False,False,False,1.521292,0.669923,0.792435,0.630962,0.64534,0.530367,0.505784,0.50079775,0.6009573,0.50079775,0.6009573,0.139556,ETF_LS,4299.874258025874,-2146.512368528949,core_leveraged
CSCL,CSCO,2.023966,196,ols,0.094207,15000,0.094207,False,False,31.17530059814453,0.094207,1.0,False,True,False,False,False,False,False,False,False,0.532503,0.194831,0.239499,0.059438,0.164744,0.100624,0.070537,0.5059915,0.6071898,0.5059915,0.6071898,0.094207,ETF_LS,840.1361312376888,-415.09399428532333,core_leveraged
FRDU,F,1.984397,177,ols,0.1030219999999999,10000,0.1030219999999999,False,False,24.14240074157715,0.1030219999999999,1.0,False,True,False,False,False,False,False,False,False,0.616449,0.197464,0.3438,0.115446,0.173054,0.094442,0.070032,0.49609925,0.5953191,0.5,0.5953191,0.1030219999999999,ETF_LS,834.6325557214702,-420.59756980154185,core_leveraged
