ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986685,500,ols,0.122507,100000,0.122507,False,False,29.469999313354492,0.122507,1.0,False,,True,False,False,False,False,False,False,False,0.565822,0.173809,0.284642,0.07941,0.173809,0.051301999999999987,0.051301999999999987,0.49667125,0.5960055,0.5,0.5960055
AMUU,AMD,2.007557,254,ols,0.046161,25000,0.046161,False,False,57.178001403808594,0.046161,1.0,False,,True,False,False,False,False,False,False,False,1.286561,0.493207,0.559641,0.316757,0.493207,0.447046,0.447046,0.50188925,0.6022670999999999,0.50188925,0.6022670999999999
AMZU,AMZN,1.988552,500,ols,0.131829,40000,0.131829,False,False,33.529998779296875,0.131829,1.0,False,,True,False,False,False,False,False,False,False,0.642709,0.211993,0.323065,0.102586,0.211993,0.08016399999999999,0.08016399999999999,0.497138,0.5965656,0.5,0.5965656
ASMU,ASML,2.006724,39,ols,0.090975,9000,0.090975,False,False,24.760000228881836,0.090975,1.0,False,,True,False,False,False,False,False,False,False,0.976584,0.339932,0.442018,0.197355,0.21942,0.248957,0.128445,0.501681,0.6020172,0.501681,0.6020172
AVL,AVGO,1.986658,373,ols,0.047369,200000,0.047369,False,False,42.959999084472656,0.047369,1.0,False,,True,False,False,False,False,False,False,False,1.074584,0.375665,0.53847,0.284173,0.375665,0.32829600000000003,0.32829600000000003,0.4966645,0.5959974,0.5,0.5959974
BOEU,BA,1.993667,241,ols,0.06232,10000,0.06232,False,False,37.0,0.06232,1.0,False,,True,False,False,False,False,False,False,False,0.603722,0.194347,0.354755,0.124658,0.191305,0.132027,0.12898500000000002,0.49841675,0.5981001,0.5,0.5981001
BABU,BABA,2.032398,38,ols,0.050137,20000,0.050137,False,False,13.979999542236328,0.050137,1.0,False,,True,False,False,False,False,False,False,False,0.743865,0.229787,0.446529,0.209182,0.212289,0.17964999999999998,0.16215200000000002,0.5080995,0.6097194,0.5080995,0.6097194
BRKU,BRK-B,1.946181,330,ols,0.128472,30000,0.128472,False,False,22.295000076293945,0.128472,1.0,False,,True,False,False,False,False,False,False,False,0.354781,0.134445,0.172541,0.02741,0.134445,0.005973000000000006,0.005973000000000006,0.48654525,0.5838542999999999,0.5,0.5838542999999999
CONX,COIN,2.003156,95,ols,0.147567,35000,0.147567,False,False,7.876999855041504,0.147567,1.0,False,,True,False,False,False,False,False,False,False,1.508561,0.678363,0.791521,0.629474,0.647904,0.530796,0.500337,0.500789,0.6009468,0.500789,0.6009468
CSCL,CSCO,2.023769,198,ols,0.093835,20000,0.093835,False,False,33.141998291015625,0.093835,1.0,False,,True,False,False,False,False,False,False,False,0.536478,0.195216,0.239302,0.059323,0.166096,0.101381,0.07226099999999999,0.50594225,0.6071307,0.50594225,0.6071307
FRDU,F,1.982796,179,ols,0.107286,10000,0.107286,False,False,27.160999298095703,0.107286,1.0,False,,True,False,False,False,False,False,False,False,0.627002,0.200738,0.345199,0.116105,0.176221,0.093452,0.06893499999999998,0.495699,0.5948388,0.5,0.5948388
GGLL,GOOGL,1.994667,500,ols,0.06733600000000001,5000,0.06733600000000001,False,False,95.23999786376953,0.06733600000000001,1.0,False,,True,False,False,False,False,False,False,False,0.602281,0.192401,0.301827,0.090372,0.192401,0.12506499999999998,0.12506499999999998,0.49866675,0.5984001,0.5,0.5984001
HODU,HOOD,2.007028,95,ols,0.099801,25000,0.099801,False,False,7.171999931335449,0.099801,1.0,False,,True,False,False,False,False,False,False,False,1.391241,0.621569,0.707158,0.505357,0.549167,0.521768,0.44936599999999993,0.501757,0.6021084,0.501757,0.6021084
LINT,INTC,1.990702,95,ols,0.238796,35000,0.238796,False,False,62.02000045776367,0.238796,1.0,False,,True,False,False,False,False,False,False,False,1.475689,0.638516,0.633292,0.395483,0.487103,0.39971999999999996,0.248307,0.4976755,0.5972105999999999,0.5,0.5972105999999999
ELIL,LLY,1.992978,259,ols,0.08683500000000001,5000,0.08683500000000001,False,False,20.840999603271484,0.08683500000000001,1.0,False,,True,False,False,False,False,False,False,False,0.841056,0.277325,0.375058,0.13919,0.277325,0.19049,0.19049,0.4982445,0.5978933999999999,0.5,0.5978933999999999
LMTL,LMT,1.998301,169,ols,0.211272,40000,0.211272,False,False,47.62099838256836,0.211272,1.0,False,,True,False,False,False,False,False,False,False,0.484745,0.162556,0.243763,0.059269,0.128537,-0.04871599999999998,-0.08273499999999998,0.49957525,0.5994903,0.5,0.5994903
METU,META,1.998322,460,ols,0.068891,650000,0.068891,False,False,26.81999969482422,0.068891,1.0,False,,True,False,False,False,False,False,False,False,0.724801,0.240689,0.363534,0.131825,0.240689,0.171798,0.171798,0.4995805,0.5994965999999999,0.5,0.5994965999999999
MRVU,MRVL,2.008428,38,ols,0.338357,15000,0.338357,False,False,48.61000061035156,0.338357,1.0,False,,True,False,False,False,False,False,False,False,1.483685,0.594016,0.643402,0.419214,0.445573,0.25565899999999997,0.10721599999999998,0.502107,0.6025284,0.502107,0.6025284
MSFU,MSFT,1.991788,500,ols,0.036116,300000,0.036116,False,False,23.31999969482422,0.036116,1.0,False,,True,False,False,False,False,False,False,False,0.481519,0.16149,0.241524,0.057617,0.16149,0.12537399999999999,0.12537399999999999,0.497947,0.5975364,0.5,0.5975364
MUU,MU,1.994215,373,ols,0.051495,60000,0.051495,False,False,184.21499633789062,0.051495,1.0,False,,True,False,False,False,False,False,False,False,1.275753,0.519914,0.613692,0.373356,0.519914,0.468419,0.468419,0.49855375,0.5982645,0.5,0.5982645
NFXL,NFLX,1.995852,378,ols,0.053232999999999996,85000,0.053232999999999996,False,False,33.77000045776367,0.053232999999999996,1.0,False,,True,False,False,False,False,False,False,False,0.6945,0.22741,0.330082,0.108277,0.22741,0.174177,0.174177,0.498963,0.5987555999999999,0.5,0.5987555999999999
NVDU,NVDA,1.9871,500,ols,0.050385,20000,0.050385,False,False,106.93000030517578,0.050385,1.0,False,,True,False,False,False,False,False,False,False,0.982818,0.355299,0.494336,0.23966,0.355299,0.30491399999999996,0.30491399999999996,0.496775,0.59613,0.5,0.59613
ORCU,ORCL,2.003548,95,ols,0.060967,200000,0.060967,False,False,8.390000343322754,0.060967,1.0,False,,True,False,False,False,False,False,False,False,1.062318,0.370476,0.515541,0.267199,0.306133,0.30950900000000003,0.245166,0.500887,0.6010643999999999,0.500887,0.6010643999999999
PALU,PANW,2.00544,259,ols,0.047973999999999996,100000,0.047973999999999996,False,False,13.567000389099121,0.047973999999999996,1.0,False,,True,False,False,False,False,False,False,False,0.740269,0.245501,0.348774,0.122638,0.245501,0.197527,0.197527,0.50136,0.6016320000000001,0.50136,0.6016320000000001
PLTU,PLTR,1.991963,330,ols,0.067613,65000,0.067613,False,False,34.93000030517578,0.067613,1.0,False,,True,False,False,False,False,False,False,False,1.289627,0.504103,0.632308,0.395006,0.504103,0.43648999999999993,0.43648999999999993,0.49799075,0.5975889,0.5,0.5975889
QCMU,QCOM,2.00268,198,ols,0.039671,10000,0.039671,False,False,14.25100040435791,0.039671,1.0,False,,True,False,False,False,False,False,False,False,0.640606,0.220908,0.383216,0.147445,0.205166,0.18123699999999998,0.165495,0.50067,0.6008039999999999,0.50067,0.6008039999999999
SHPU,SHOP,2.011154,169,ols,0.060071000000000006,30000,0.060071000000000006,False,False,12.289999961853027,0.060071000000000006,1.0,False,,True,False,False,False,False,False,False,False,1.021547,0.349517,0.580295,0.342397,0.347172,0.28944600000000004,0.287101,0.5027885,0.6033461999999999,0.5027885,0.6033461999999999
SOFA,SOFI,1.983909,39,ols,0.046082,900,0.046082,False,False,13.979999542236328,0.046082,1.0,False,,True,False,False,False,False,False,True,False,0.831314,0.289355,0.571837,0.319147,0.314536,0.24327299999999996,0.26845399999999997,0.49597725,0.5951727,0.5,0.5951727
