ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
AAPU,AAPL,1.986253,499,ols,0.10593,350000,0.10593,False,False,32.220001220703125,0.10593,1.0,False,True,False,False,False,False,False,False,False,0.472289,0.1723,0.235669,0.0544,0.1723,0.06637,0.06637,0.49656325,0.5958759,0.5,0.5958759,bucket_1,,False,0.10593,ETF_LS,569.0294407488967,-286.4838672358943,569.0294407488967,-286.4838672358943,2143.635321439479,0.0,-0.0,2143.635321439479,core_leveraged
AMUU,AMD,2.007358,261,ols,0.040747,20000,0.040747,False,False,76.4800033569336,0.040747,1.0,False,True,False,False,False,False,False,False,False,1.161513,0.48486,0.579768,0.33985,0.48486,0.444113,0.444113,0.5018395,0.6022074,0.5018395,0.6022074,bucket_1,,False,0.040747,ETF_LS,4187.895269104147,-2086.272238984848,4187.895269104147,-2086.272238984848,11758.813162961893,0.0,-0.0,11758.813162961893,core_leveraged
AMZU,AMZN,1.988875,499,ols,0.111211,80000,0.111211,False,False,37.720001220703125,0.111211,1.0,False,True,False,False,False,False,False,False,False,0.624916,0.20989,0.313441,0.096612,0.20989,0.0986789999999999,0.0986789999999999,0.49721875,0.5966625,0.5,0.5966625,bucket_1,,False,0.111211,ETF_LS,569.280759623019,-286.2325483617719,569.280759623019,-286.2325483617719,7076.556687020457,0.0,-0.0,7076.556687020457,core_leveraged
ASMU,ASML,2.004045,46,ols,0.132791,2000,0.132791,False,False,25.559999465942383,0.132791,1.0,False,True,False,False,False,False,False,False,False,0.956562,0.304692,0.385206,0.149285,0.177653,0.171901,0.044862,0.50101125,0.6012135,0.50101125,0.6012135,bucket_1,,False,0.132791,ETF_LS,570.7261932828504,-284.78711470194054,570.7261932828504,-284.78711470194054,1139.6058023852138,0.0,-0.0,1139.6058023852138,core_leveraged
AVL,AVGO,1.986367,380,ols,0.053771,100000,0.053771,False,False,54.09000015258789,0.053771,1.0,False,True,False,False,False,False,False,False,False,0.852922,0.369622,0.426972,0.178594,0.369622,0.315851,0.315851,0.49659175,0.5959101,0.5,0.5959101,bucket_1,,False,0.053771,ETF_LS,2650.4037095069825,-1334.29709087343,2650.4037095069825,-1334.29709087343,8091.210146508847,0.0,-0.0,8091.210146508847,core_leveraged
BOEU,BA,1.991796,248,ols,0.0553479999999999,10000,0.0553479999999999,False,False,38.48699951171875,0.0553479999999999,1.0,False,True,False,False,False,False,False,False,False,0.599865,0.191998,0.306538,0.092812,0.190424,0.13665,0.135076,0.497949,0.5975387999999999,0.5,0.5975387999999999,bucket_1,,False,0.0553479999999999,ETF_LS,813.0481555811999,-408.19850807070605,813.0481555811999,-408.19850807070605,1382.4878941507452,0.0,-0.0,1382.4878941507452,core_leveraged
BABU,BABA,2.03282,45,ols,0.0517809999999999,20000,0.0517809999999999,False,False,16.770000457763672,0.0517809999999999,1.0,False,True,False,False,False,False,False,False,False,0.743916,0.223729,0.429356,0.193521,0.198915,0.171948,0.147134,0.508205,0.609846,0.508205,0.609846,bucket_1,,False,0.0517809999999999,ETF_LS,1007.1024495627204,-495.4213602595018,1007.1024495627204,-495.4213602595018,3675.8776828233063,0.0,-0.0,3675.8776828233063,core_leveraged
CONX,COIN,2.004358,102,ols,0.124628,30000,0.124628,False,False,12.210000038146973,0.124628,1.0,False,True,False,False,False,False,False,False,False,1.496352,0.644804,0.729705,0.535955,0.580013,0.5201760000000001,0.455385,0.5010895,0.6013073999999999,0.5010895,0.6013073999999999,bucket_1,,False,0.124628,ETF_LS,2627.2541808070764,-1310.7709205676215,2627.2541808070764,-1310.7709205676215,19282.915033706617,-6244.8875,6244.8875,13038.027533706616,core_leveraged
CSCL,CSCO,2.022107,205,ols,0.0987069999999999,3000,0.0987069999999999,False,False,36.67900085449219,0.0987069999999999,1.0,False,True,False,False,False,False,False,False,False,0.533489,0.193045,0.252776,0.06603,0.169356,0.094338,0.070649,0.50552675,0.6066321,0.50552675,0.6066321,bucket_1,,False,0.0987069999999999,ETF_LS,572.4282590488033,-283.0850489359877,572.4282590488033,-283.0850489359877,572.4282590488033,0.0,-0.0,572.4282590488033,core_leveraged
GGLL,GOOGL,1.994662,499,ols,0.086353,200000,0.086353,False,False,106.4000015258789,0.086353,1.0,False,True,False,False,False,False,False,False,False,0.573415,0.187032,0.286502,0.081427,0.187032,0.1006789999999999,0.1006789999999999,0.4986655,0.5983986,0.5,0.5983986,bucket_1,,False,0.086353,ETF_LS,569.8338864057309,-285.67942157906,569.8338864057309,-285.67942157906,3229.728474345937,0.0,-0.0,3229.728474345937,core_leveraged
HODU,HOOD,2.008074,102,ols,0.110784,5000,0.110784,False,False,11.81999969482422,0.110784,1.0,False,True,False,False,False,False,False,False,False,1.439794,0.634585,0.664169,0.446477,0.522616,0.523801,0.411832,0.5020185,0.6024222,0.5020185,0.6024222,bucket_1,,False,0.110784,ETF_LS,2468.7364267455837,-1229.405104964052,2468.7364267455837,-1229.405104964052,12960.720902946134,0.0,-0.0,12960.720902946134,core_leveraged
LINT,INTC,1.989745,102,ols,0.14542,10000,0.14542,False,False,69.87000274658203,0.14542,1.0,False,True,False,False,False,False,False,False,False,1.446982,0.591353,0.636904,0.399428,0.477112,0.445933,0.331692,0.49743625,0.5969235,0.5,0.5969235,bucket_1,,False,0.14542,ETF_LS,977.430777594708,-491.2341921174362,977.430777594708,-491.2341921174362,4726.69903164945,0.0,-0.0,4726.69903164945,core_leveraged
ELIL,LLY,1.993071,266,ols,0.124355,2000,0.124355,False,False,19.23699951171875,0.124355,1.0,False,True,False,False,False,False,False,False,False,0.825662,0.27213,0.414447,0.169985,0.27213,0.147775,0.147775,0.49826775,0.5979213,0.5,0.5979213,bucket_1,,False,0.124355,ETF_LS,569.6820303489477,-285.8312776358432,569.6820303489477,-285.8312776358432,4008.946260842056,0.0,-0.0,4008.946260842056,core_leveraged
LMTL,LMT,1.999761,176,ols,0.1030219999999999,6000,0.1030219999999999,False,False,41.04999923706055,0.1030219999999999,1.0,False,True,False,False,False,False,False,False,False,0.486497,0.164546,0.261516,0.068366,0.135539,0.061524,0.032517,0.49994025,0.5999283,0.5,0.5999283,bucket_1,,False,0.1030219999999999,ETF_LS,570.3194848819534,-285.1938231028375,570.3194848819534,-285.1938231028375,570.3194848819534,0.0,-0.0,570.3194848819534,core_leveraged
METU,META,1.998323,467,ols,0.070888,150000,0.070888,False,False,30.399999618530277,0.070888,1.0,False,True,False,False,False,False,False,False,False,0.713798,0.238719,0.356301,0.126631,0.238719,0.1678309999999999,0.1678309999999999,0.49958075,0.5994969,0.5,0.5994969,bucket_1,,False,0.070888,ETF_LS,830.2578222884812,-415.47728885094205,830.2578222884812,-415.47728885094205,10838.086354305025,0.0,-0.0,10838.086354305025,core_leveraged
MRVU,MRVL,2.011254,45,ols,0.430478,25000,0.430478,False,False,73.18000030517578,0.430478,1.0,False,False,True,False,False,True,True,False,False,1.422196,0.547528,0.578159,0.339932,0.377003,0.1170499999999999,-0.053475,0.5028135,0.6033762,0.5028135,0.6033762,bucket_1,,False,0.430478,ETF_LS,0.0,0.0,0.0,0.0,1755.0750452536322,0.0,-0.0,1755.0750452536322,
MSFU,MSFT,1.991863,499,ols,0.036019,80000,0.036019,False,False,29.09000015258789,0.036019,1.0,False,True,False,False,False,False,False,False,False,0.490426,0.161178,0.244529,0.059067,0.161178,0.125159,0.125159,0.49796575,0.5975589,0.5,0.5975589,bucket_1,,False,0.036019,ETF_LS,1100.0937171653925,-552.2938661772383,1100.0937171653925,-552.2938661772383,2411.322974586144,0.0,-0.0,2411.322974586144,core_leveraged
MUU,MU,1.993822,380,ols,0.06615,250000,0.06615,False,False,206.3999938964844,0.06615,1.0,False,True,False,False,False,False,False,False,False,1.173675,0.512856,0.588034,0.342586,0.512856,0.446706,0.446706,0.4984555,0.5981466,0.5,0.5981466,bucket_1,,False,0.06615,ETF_LS,3709.2598883560545,-1860.3766476425953,3709.2598883560545,-1860.3766476425953,7902.121765779764,0.0,-0.0,7902.121765779764,core_leveraged
NFXL,NFLX,1.995361,385,ols,0.056782,10000,0.056782,False,False,28.709999084472656,0.056782,1.0,False,True,False,False,False,False,False,False,False,0.675093,0.231901,0.336924,0.112729,0.231901,0.175119,0.175119,0.49884025,0.5986083,0.5,0.5986083,bucket_1,,False,0.056782,ETF_LS,1184.4802397446397,-593.6170145375397,1184.4802397446397,-593.6170145375397,4132.998577121352,0.0,-0.0,4132.998577121352,core_leveraged
NVDU,NVDA,1.9867,499,ols,0.052569,60000,0.052569,False,False,128.57000732421875,0.052569,1.0,False,True,False,False,False,False,False,False,False,0.679944,0.342256,0.340865,0.113881,0.342256,0.289687,0.289687,0.496675,0.5960099999999999,0.5,0.5960099999999999,bucket_1,,False,0.052569,ETF_LS,2412.9815440816105,-1214.5676468926413,2412.9815440816105,-1214.5676468926413,9279.49391435437,0.0,-0.0,9279.49391435437,core_leveraged
ORCU,ORCL,2.004198,102,ols,0.118855,100000,0.118855,False,False,13.59000015258789,0.118855,1.0,False,True,False,False,False,False,False,False,False,1.140295,0.395652,0.615412,0.38112,0.387002,0.276797,0.268147,0.5010495,0.6012594,0.5010495,0.6012594,bucket_1,,False,0.118855,ETF_LS,874.4072092548666,-436.28783645870647,874.4072092548666,-436.28783645870647,3566.471513100657,0.0,-0.0,3566.471513100657,core_leveraged
PALU,PANW,2.004981,266,ols,0.055411,10000,0.055411,False,False,13.822999954223633,0.055411,1.0,False,True,False,False,False,False,False,False,False,0.693328,0.247824,0.345843,0.120503,0.247824,0.192413,0.192413,0.50124525,0.6014942999999999,0.50124525,0.6014942999999999,bucket_1,,False,0.055411,ETF_LS,1384.7859398847345,-690.6728492114063,1384.7859398847345,-690.6728492114063,2735.984449577357,0.0,-0.0,2735.984449577357,core_leveraged
PLTU,PLTR,1.991977,337,ols,0.055444,300000,0.055444,False,False,43.2599983215332,0.055444,1.0,False,True,False,False,False,False,False,False,False,1.059506,0.496013,0.530669,0.27823,0.496013,0.440569,0.440569,0.49799425,0.5975931,0.5,0.5975931,bucket_1,,False,0.055444,ETF_LS,3862.1180148485814,-1938.8366506483665,3862.1180148485814,-1938.8366506483665,12661.973511308192,-30141.037791473733,12661.973511308192,-17479.06428016554,core_leveraged
QCMU,QCOM,2.002173,205,ols,0.063753,7000,0.063753,False,False,16.43899917602539,0.063753,1.0,False,True,False,False,False,False,False,False,False,0.634175,0.216462,0.322379,0.104267,0.195537,0.1527089999999999,0.1317839999999999,0.50054325,0.6006519,0.50054325,0.6006519,bucket_1,,False,0.063753,ETF_LS,613.2369445362824,-306.28569286284574,613.2369445362824,-306.28569286284574,1181.1177829397793,0.0,-0.0,1181.1177829397793,core_leveraged
SHPU,SHOP,2.010393,176,ols,0.097713,35000,0.097713,False,False,17.56999969482422,0.097713,1.0,False,True,False,False,False,False,False,False,False,1.033222,0.349707,0.551887,0.309344,0.337534,0.251994,0.239821,0.50259825,0.6031179,0.50259825,0.6031179,bucket_1,,False,0.097713,ETF_LS,1014.0217499819639,-504.3898133260332,1014.0217499819639,-504.3898133260332,1014.0217499819639,0.0,-0.0,1014.0217499819639,core_leveraged
