symbol,underlying,bucket,leg_class,total_pnl
AALG,AAL,bucket_1,core_levered_etf,134.8435742274311
AAOX,AAOI,bucket_1,core_levered_etf,-10256.733042046513
AAPB,AAPL,bucket_1,core_levered_etf,-365.20748833624697
AAPU,AAPL,bucket_1,core_levered_etf,-307.68270843503836
AAPX,AAPL,bucket_1,core_levered_etf,-285.34401598000005
ABNG,ABNB,bucket_1,core_levered_etf,-282.4833445933683
ABNY,ABNB,bucket_2,yieldboost_etf,420.66797475000004
ADBG,ADBE,bucket_1,core_levered_etf,219.23880581438033
AFRU,AFRM,bucket_1,core_levered_etf,-840.2347995136819
AIYY,AI,bucket_2,yieldboost_etf,686.9660137200001
ALBG,ALB,bucket_1,core_levered_etf,41.426353999999996
AMDG,AMD,bucket_1,core_levered_etf,-2622.1416669538894
AMDL,AMD,bucket_1,core_levered_etf,-2944.295037025268
AMDY,AMD,bucket_2,yieldboost_etf,762.54158561
AMUU,AMD,bucket_1,core_levered_etf,-2916.715998414638
AMZO,AMZN,bucket_3,flow_inverse,3478.6155083438375
AMZU,AMZN,bucket_1,core_levered_etf,-1314.1507357613639
AMZW,AMZN,bucket_2,yieldboost_etf,808.3839427500001
AMZY,AMZN,bucket_2,yieldboost_etf,603.20038009
AMZZ,AMZN,bucket_1,core_levered_etf,-1537.4653896788504
APHU,APH,bucket_1,core_levered_etf,-276.85715535869303
APLY,AAPL,bucket_2,yieldboost_etf,-103.76495595
APPX,APP,bucket_1,core_levered_etf,1364.003162674686
ARCX,ACHR,bucket_1,core_levered_etf,241.71621798273353
ARMG,ARM,bucket_1,core_levered_etf,-310.9794609336906
ARMW,ARM,bucket_2,yieldboost_etf,-394.01817473
ASMG,ASML,bucket_1,core_levered_etf,-480.20748736
ASMU,ASML,bucket_1,core_levered_etf,-133.11871930439116
ASTX,ASTS,bucket_1,core_levered_etf,3295.260037836256
AVGG,AVGO,bucket_1,core_levered_etf,-2323.224480647862
AVL,AVGO,bucket_1,core_levered_etf,-1952.4650096553241
AZYY,AMZN,bucket_3,flow_low_delta,99.42178575000001
BABO,BABA,bucket_2,yieldboost_etf,143.84432341000002
BABU,BABA,bucket_1,core_levered_etf,261.93998575
BABX,BABA,bucket_1,core_levered_etf,1837.4113019346591
BAIG,BBAI,bucket_1,core_levered_etf,-609.174905451832
BEX,BE,bucket_1,core_levered_etf,-1749.5651847928937
BIDG,BIDU,bucket_1,core_levered_etf,-74.68288662405405
BITU,IBIT,bucket_1,core_levered_etf,783.7197645286682
BITX,IBIT,bucket_1,core_levered_etf,646.0687134311368
BLSG,BLSH,bucket_1,core_levered_etf,-390.2898796237399
BMNG,BMNR,bucket_1,core_levered_etf,46.64902048197965
BOEG,BA,bucket_1,core_levered_etf,979.0756566272399
BOEU,BA,bucket_1,core_levered_etf,1090.125898398927
BTCL,IBIT,bucket_1,core_levered_etf,670.5086780126646
BULG,BULL,bucket_1,core_levered_etf,-318.39589318212546
CEGX,CEG,bucket_1,core_levered_etf,871.9996610924736
CHAU,ASHR,bucket_1,core_levered_etf,-45.47964593258749
CHNU,CHNL,bucket_1,core_levered_etf,-4.017698339145974
CIFG,CIFR,bucket_1,core_levered_etf,-806.9063199835122
CLSX,CLSK,bucket_1,core_levered_etf,-1025.2687092948593
CLSZ,CLSK,bucket_4,inverse_b4_etf,341.43757941
