underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
MSTR,2505.71456033,12360.217511000003,-0.37,0.0,-8906.490000000002,-1060.4,102.07731508286194,0.0,0.0,5000.749386412862
CRML,0.0,3481.206966,0.0,0.0,0.0,-207.88,31.590909135472376,0.0,0.0,3304.9178751354725
MARA,979.7263744200001,8719.650035,-9.29,0.0,-6014.79,-555.38,112.1527074630728,0.0,0.0,3232.069116883073
GDX,-170.39822705,3232.7787749999998,0.0,0.0,-10.84,-35.59,14.674468673530884,0.0,0.0,3030.625016623531
BLSH,1753.26777316,2.6261779999999817,0.0,0.0,0.0,-51.339999999999996,7.524908674910276,0.0,0.0,1712.0788598349102
META,666.85666068,1805.9721180000001,12.6,0.0,-1296.24,-156.01999999999998,48.097693598848295,0.0,0.0,1081.2664722788484
SLV,950.869985,0.0,0.0,0.0,0.0,-0.5800000000000001,0.0,0.0,0.0,950.289985
TSLA,1020.4489595800001,333.94019000000003,0.0,0.0,-402.9,-205.18,27.86368036866841,0.0,0.0,774.1728299486684
RCAT,0.0,805.450542,0.0,0.0,0.0,-85.7,14.432871664838501,0.0,0.0,734.1834136648386
XRPZ,-1439.7644517400004,2151.92141,0.0,0.0,-11.16,-84.13,23.344218163203912,0.0,0.0,640.2111764232031
CRWV,181.83653006,530.8202640000002,0.0,0.0,0.0,-130.64,33.77567600382385,0.0,0.0,615.7924700638243
SOXX,1023.0216799,-503.85920499999975,0.0,0.0,4.16,-6.17,10.66758443345967,0.0,0.0,527.8200593334595
NVDA,71.14948496,784.2922699999998,1.44,0.0,-167.34,-233.89999999999998,40.684303258534186,0.0,0.0,496.32605821853383
TER,-3.350405,610.4813770000001,3.12,0.0,0.0,-151.71,10.678388504768654,0.0,0.0,469.21936050476825
PLUG,0.0,555.4769719999995,0.0,0.0,0.0,-138.34,17.458031168553298,0.0,0.0,434.59500316855247
UEC,-18.90443527,472.782522,0.0,0.0,0.0,-45.15,8.632785108268695,0.0,0.0,417.3608718382686
URA,0.0,468.735572,0.0,0.0,-42.69,-20.22,9.276340458933992,0.0,0.0,415.101912458934
EWJ,388.675936,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,388.275936
WULF,0.0,482.7489129999999,0.0,0.0,0.0,-119.14,16.683146763025455,0.0,0.0,380.29205976302546
