underlying,pnl_total,pnl_share_b1,pnl_share_b2,pnl_share_b4,exp_net_total,exp_share_b1,exp_share_b2,exp_share_b4,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,diff_exp_b1,diff_exp_b2,diff_exp_b4,diff_pnl_b1,diff_pnl_b2,diff_pnl_b4,max_diff
CVNA,-1290.25844,0.19600527240108578,0.8039947275989142,0.0,3012.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19600527240108578,0.8039947275989142,0.0,0.8039947275989142
MSTR,6520.24417613,0.06387931412334397,0.9361206858766561,0.0,31429.800000000003,0.42388700484062897,0.4598508193975144,0.0,0.42388700484062897,0.4598508193975144,0.0,0.0,0.0,0.0,0.360007690717285,0.4762698664791417,0.0,0.4762698664791417
HIMS,23.040167679999996,0.4135198757864694,0.5864801242135306,0.0,13144.14,0.7990974224681113,0.12871801840211683,0.0,0.7990974224681113,0.12871801840211683,0.0,0.0,0.0,0.0,0.3855775466816419,0.45776210581141374,0.0,0.45776210581141374
META,-1155.2586182100001,0.1572451178662177,0.8427548821337824,0.0,18922.71,0.37960382723457686,0.5314492932825161,0.0,0.37960382723457686,0.5314492932825161,0.0,0.0,0.0,0.0,0.22235870936835916,0.31130558885126625,0.0,0.31130558885126625
RDW,-653.823996,1.0,0.0,0.0,5529.6,0.6907955118815103,0.0,0.0,0.6907955118815103,0.0,0.0,0.0,0.0,0.0,0.30920448811848966,0.0,0.0,0.30920448811848966
IBIT,-242.2443408800002,0.5567913608715015,0.44320863912849867,0.0,42312.799999999996,0.8259968534996502,0.15031328102512714,0.0,0.8259968534996502,0.15031328102512714,0.0,0.0,0.0,0.0,0.26920549262814875,0.29289535810337153,0.0,0.29289535810337153
RBLX,-3468.6739322500002,1.0,0.0,0.0,6279.24,0.7348913173648404,0.0,0.0,0.7348913173648404,0.0,0.0,0.0,0.0,0.0,0.26510868263515963,0.0,0.0,0.26510868263515963
LMND,-140.477257,1.0,0.0,0.0,715.65,0.7596796585872984,0.0,0.0,0.7596796585872984,0.0,0.0,0.0,0.0,0.0,0.24032034141270164,0.0,0.0,0.24032034141270164
FCX,-127.480514,1.0,0.0,0.0,2556.22,0.7755354978945083,0.0,0.0,0.7755354978945083,0.0,0.0,0.0,0.0,0.0,0.22446450210549174,0.0,0.0,0.22446450210549174
FLY,-1887.620534,1.0,0.0,0.0,10845.25,0.7821603936285471,0.0,0.0,0.7821603936285471,0.0,0.0,0.0,0.0,0.0,0.21783960637145294,0.0,0.0,0.21783960637145294
KTOS,-724.495657,1.0,0.0,0.0,1672.11,0.8020135951821352,0.0,0.0,0.8020135951821352,0.0,0.0,0.0,0.0,0.0,0.19798640481786478,0.0,0.0,0.19798640481786478
ASTS,-4855.546504,1.0,0.0,0.0,11701.53,0.8047345322329643,0.0,0.0,0.8047345322329643,0.0,0.0,0.0,0.0,0.0,0.19526546776703568,0.0,0.0,0.19526546776703568
NOW,-457.054257,1.0,0.0,0.0,1839.4,0.8214076091116669,0.0,0.0,0.8214076091116669,0.0,0.0,0.0,0.0,0.0,0.17859239088833312,0.0,0.0,0.17859239088833312
NVTS,12881.296566,1.0,0.0,0.0,60241.28,0.8271435749970785,0.0,0.0,0.8271435749970785,0.0,0.0,0.0,0.0,0.0,0.17285642500292153,0.0,0.0,0.17285642500292153
MRNA,-263.29436,1.0,0.0,0.0,7615.299999999999,0.8277482576688378,0.0,0.0,0.8277482576688378,0.0,0.0,0.0,0.0,0.0,0.17225174233116225,0.0,0.0,0.17225174233116225
RCAT,-4203.478859,1.0,0.0,0.0,15653.0,0.8306411282131221,0.0,0.0,0.8306411282131221,0.0,0.0,0.0,0.0,0.0,0.16935887178687792,0.0,0.0,0.16935887178687792
GDX,-1106.173243,1.0,0.0,0.0,17301.300000000003,0.8332482095611311,0.0,0.0,0.8332482095611311,0.0,0.0,0.0,0.0,0.0,0.1667517904388689,0.0,0.0,0.1667517904388689
MARA,1947.701764,0.0,1.0,0.0,18253.69,0.0,0.8350136998013006,0.0,0.0,0.8350136998013006,0.0,0.0,0.0,0.0,0.0,0.16498630019869942,0.0,0.16498630019869942
SOFI,-2041.9135849999998,1.0,0.0,0.0,12976.199999999999,0.8357569774131102,0.0,0.0,0.8357569774131102,0.0,0.0,0.0,0.0,0.0,0.16424302258688983,0.0,0.0,0.16424302258688983
TER,2678.234048,1.0,0.0,0.0,12485.28,0.8375680106493406,0.0,0.0,0.8375680106493406,0.0,0.0,0.0,0.0,0.0,0.1624319893506594,0.0,0.0,0.1624319893506594
ONDS,-126.629325,1.0,0.0,0.0,14089.04,0.8524863532618262,0.0,0.0,0.8524863532618262,0.0,0.0,0.0,0.0,0.0,0.1475136467381738,0.0,0.0,0.1475136467381738
COPX,-1798.147228,1.0,0.0,0.0,7741.650000000001,0.8571034670912402,0.0,0.0,0.8571034670912402,0.0,0.0,0.0,0.0,0.0,0.1428965329087598,0.0,0.0,0.1428965329087598
RKLB,-755.906757,1.0,0.0,0.0,6826.35,0.8729994622602121,0.0,0.0,0.8729994622602121,0.0,0.0,0.0,0.0,0.0,0.12700053773978792,0.0,0.0,0.12700053773978792
EOSE,3274.504184,1.0,0.0,0.0,10214.38,0.8736211501556043,0.0,0.0,0.8736211501556043,0.0,0.0,0.0,0.0,0.0,0.12637884984439574,0.0,0.0,0.12637884984439574
HOOD,-4719.13821945,1.0,0.0,0.0,17759.6,0.8757191328974977,0.0,0.0,0.8757191328974977,0.0,0.0,0.0,0.0,0.0,0.1242808671025023,0.0,0.0,0.1242808671025023
RKT,-1909.431921,1.0,0.0,0.0,7089.0599999999995,0.8846250442230704,0.0,0.0,0.8846250442230704,0.0,0.0,0.0,0.0,0.0,0.11537495577692958,0.0,0.0,0.11537495577692958
GRAB,-112.358178,1.0,0.0,0.0,4572.06,0.890286014750025,0.0,0.0,0.890286014750025,0.0,0.0,0.0,0.0,0.0,0.109713985249975,0.0,0.0,0.109713985249975
