underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
NVTS,NVTS,72842.0,72842.0,1
AMD,AMD,69412.96182481752,69412.96182481752,1
NBIS,NBIS,49792.58,49792.58,1
NVDA,NVDA,40990.615094991364,40990.615094991364,1
CRCL,CRCL,37589.6,37589.6,1
TSLA,TSLA,32409.996445921715,32409.996445921715,1
IONQ,"IONQ, IOYY",31873.6203777,51931.379622299995,2
CRWV,CRWV,31441.786149599317,31441.786149599317,1
ETHA,ETHA,30738.125072046107,30738.125072046107,1
QUBT,QUBT,30463.079999999998,30463.079999999998,1
IBIT,"IBIT, XBTY",30179.401378756007,43675.763947799205,2
CRML,CRML,29847.09,29847.09,1
IREN,IREN,27484.12,27484.12,1
PLTR,PLTR,27064.55967078189,27064.55967078189,1
XRPZ,XRPZ,26949.3,26949.3,1
INTC,INTC,26792.81027906977,26792.81027906977,1
OPEN,OPEN,25709.82359987746,25709.82359987746,1
AVGO,AVGO,25292.775,25292.775,1
NFLX,NFLX,25268.915948204176,25268.915948204176,1
COIN,COIN,24160.450302099336,24160.450302099336,1
PANW,PANW,24078.69158878505,24078.69158878505,1
AMZN,AMZN,22884.13623966942,22884.13623966942,1
ALAB,ALAB,20720.06099338269,20720.06099338269,1
CRDO,CRDO,20452.71,20452.71,1
KEEL,KEEL,20093.59,20093.59,1
PLUG,PLUG,19768.68,19768.68,1
MSFT,MSFT,19317.983545610357,19317.983545610357,1
GDX,GDX,18942.3,18942.3,1
SNDK,SNDK,18876.26,18876.26,1
HUT,HUT,18350.010000000002,18350.010000000002,1
QBTS,"QBTS, QBY",18339.471753974998,20102.528246025002,2
HOOD,HOOD,17845.559999999998,17845.559999999998,1
MU,MU,17474.54112978428,17474.54112978428,1
USAR,USAR,17195.15,17195.15,1
WULF,WULF,16894.8,16894.8,1
GOOGL,GOOGL,16610.649438104865,16610.649438104865,1
AAPL,AAPL,16140.71595273997,16140.71595273997,1
RCAT,RCAT,15695.689999999999,15695.689999999999,1
TSM,TSM,15635.805714285714,15635.805714285714,1
BE,BE,14876.57,14876.57,1
SRPT,SRPT,14347.5,14347.5,1
FIGR,FIGR,14180.5,14180.5,1
MSTR,"MSTR, MTYY",13958.142856422546,48401.600890422545,2
SOXX,SOXX,13931.730000000001,13931.730000000001,1
CORZ,CORZ,13901.9,13901.9,1
ONDS,ONDS,13089.919999999998,13089.919999999998,1
