symbol,net_notional_usd,gross_notional_usd,n_legs
AMZO,15334.895095027201,15334.895095027201,1
FAZ,10189.922515080001,10189.922515080001,1
DUST,10045.23239344,10045.23239344,1
SDS,9242.48710119,9242.48710119,1
LABD,8359.01737929,8359.01737929,1
ZSL,7480.060426800001,7480.060426800001,1
TSLQ,7317.642230039999,7317.642230039999,1
SQQQ,7275.594928,7275.594928,1
NVDQ,5534.718224640001,5534.718224640001,1
SOXS,2605.6740915,2605.6740915,1
EWV,1955.225025,1955.225025,1
TSYY,-62.819411200000005,62.819411200000005,1
NVYY,-82.539214,82.539214,1
TQQY,-431.59392756,431.59392756,1
