underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMD,"AMD, AMDY",899.33798094,35526.225138,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,36291.95311894
NVTS,NVTS,0.0,32747.296566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32747.296566
NBIS,NBIS,48.03875064,19840.167125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19888.20587564
INTC,INTC,0.0,18478.090604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18478.090604
MU,MU,23.55844995,13874.173047,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.73149695
MRVL,MRVL,10900.71241416,305.012843,8.76,0.0,0.0,0.0,0.0,0.0,0.0,11214.48525716
PLUG,PLUG,0.0,10663.287292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10663.287292
SNDK,SNDK,3050.74042851,6465.604043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9516.344471510001
QUBT,QUBT,0.0,9419.428491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9419.428491
HUT,HUT,1.9e-07,9102.440499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.440499190001
ALAB,ALAB,0.0,8433.910978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8433.910978
IONQ,"IONQ, IOYY",0.0,10602.383848,0.0,0.0,-2091.64,-216.60000000000002,135.23769328994715,0.0,0.0,8429.381541289948
NVDA,"NVDA, NVDY",107.79913599,8196.479764,1.44,0.0,-122.42,-11.57,0.0,0.0,0.0,8171.728899989999
PANW,PANW,3.33739533,7427.022399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7430.35979433
CRCL,CRCL,0.0,7326.085756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7326.085756
MSTR,"MSTR, MSTW, MSTY, MTYY",2374.8826647,16075.249737000002,-0.37,0.0,-10639.91,-1163.51,162.9198347758892,0.0,0.0,6809.262236475892
VRT,VRT,111.27785712,6500.965026,2.06,0.0,0.0,0.0,0.0,0.0,0.0,6614.30288312
EOSE,EOSE,4527.13070235,1789.273481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6316.4041833500005
CRDO,CRDO,0.0,5975.292272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.292272
GOOGL,"GOOGL, GOOY",459.75651363000003,5183.000245,11.34,0.0,-118.94,-13.03,0.0,0.0,0.0,5522.126758630001
KEEL,KEEL,0.0,5422.2944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5422.2944
AVGO,AVGO,0.0,5371.819603,34.45,0.0,0.0,0.0,0.0,0.0,0.0,5406.269603
WULF,WULF,0.0,5188.675635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5188.675635
USAR,USAR,0.0,4874.298967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4874.298967
BE,BE,0.0,4871.081715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4871.081715
SOXX,SOXX,4.4e-07,4677.969445,0.0,0.0,4.16,0.0,0.0,0.0,0.0,4682.1294454399995
MARA,"MAAY, MARA, MARO",979.7263744200001,12233.150032000001,-9.29,0.0,-8177.860000000001,-748.3700000000001,200.1999150130861,0.0,0.0,4477.556321433085
AMZN,"AMZN, AMZW, AMZY",1376.58003908,3051.642631,0.0,0.0,-196.53,-18.11,0.0,0.0,0.0,4213.58267008
CORZ,CORZ,-11.88782572,3845.444584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3833.55675828
QCOM,QCOM,0.0,3780.954279,52.51,0.0,0.0,0.0,0.0,0.0,0.0,3833.4642790000003
CRML,CRML,0.0,3737.088909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3737.088909
TER,TER,-3.35040458,3638.244453,3.12,0.0,0.0,0.0,0.0,0.0,0.0,3638.0140484199997
IREN,IREN,0.0,3565.5369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3565.5369
AAPL,"AAPL, APLY",88.30485712000001,3102.397513,21.84,0.0,-116.11,-25.32,0.0,0.0,0.0,3071.11237012
GLXY,GLXY,420.68337375,2613.840343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034.52371675
RKLB,RKLB,0.0,2970.493243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.493243
FIGR,FIGR,264.31496143,2663.96472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2928.27968143
CNC,CNC,-728.29222275,3624.498141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896.20591825
UNH,UNH,8e-08,2721.241098,64.09,0.0,0.0,0.0,0.0,0.0,0.0,2785.33109808
OSCR,OSCR,222.43973434,2554.143859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.58359334
CIFR,CIFR,0.0,2631.258708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2631.258708
GEV,GEV,57.9493062,2567.551071,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2630.5003772
TSLA,"TSLA, TSLW, TSLY",966.0499054000001,1976.005745,0.0,0.0,-347.66999999999996,-45.71,0.0,0.0,0.0,2548.6756504
LITE,LITE,0.0,2285.270486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285.270486
KLAC,KLAC,0.0,2192.963929,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2204.363929
QBTS,"QBTS, QBY",0.0,2414.41008,0.0,0.0,-200.5,-27.07,13.462259276267021,0.0,0.0,2200.302339276267
WDC,WDC,0.0,2076.870229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.870229
