symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,4672.736183,0.0,0.0,0.0,-183.24,22.51617839648189,0.0,0.0,4512.012361396482
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,2537.807821,0.0,0.0,-25.53,-55.300000000000004,2.39384796162287,0.0,0.0,2459.371668961622
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1991.263862,0.0,0.0,0.0,-133.35999999999999,7.20061254500495,0.0,0.0,1865.1044745450051
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1603.848082,0.0,0.0,-29.37,-24.64,6.8632852614663244,0.0,0.0,1556.7013672614662
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,1141.900642,0.0,0.0,0.0,-55.19,10.402894108746084,0.0,0.0,1097.113536108746
SDS,PROSHARES ULTRASHORT S&P500,0.0,887.809892,0.0,0.0,-26.99,-53.91,13.487093218403503,0.0,0.0,820.3969852184035
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,832.762916,0.0,0.0,-15.54,-87.36,8.333004479580337,0.0,0.0,738.1959204795804
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,9.641186,0.0,0.0,-11.97,-0.89,0.36740742347200506,0.0,0.0,-2.8514065765279963
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-21.431611,0.0,0.0,-127.43,-24.95,1.4889669267023362,0.0,0.0,-12.438129123297664
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,3.595803,0.0,0.0,-158.52,-7.5,0.42792580024273497,0.0,0.0,-57.57240893975727
FAZ,DIREX DLY FIN BEA 3X ETF-USD,0.0,21.695122,0.0,0.0,-26.13,-66.0,10.314623221917772,0.0,0.0,-60.12025477808223
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,100.277871,0.0,0.0,-1.46,-10.54,2.917773573537912,0.0,0.0,-288.48358464646213
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-262.617632,0.0,0.0,0.0,-408.19,11.787117691037544,0.0,0.0,-659.0205143089624
DUST,DIR DLY GOL MN IDX BR 2X ETF,-3.4059583,-1199.295048,0.0,0.0,-90.65,-177.21,17.452210711824208,0.0,0.0,-1453.108795588176
