etf,underlying,beta,partial_hedge_ratio
DAMD,AMD,-2.02889,0.75
APLZ,APLD,-2.00667,0.75
ASTN,ASTS,-1.998569,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.005353,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.99102,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.01507,0.75
CONI,COIN,-1.925058,0.75
CRCD,CRCL,-2.014449,0.75
CORD,CRWV,-2.008855,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002289,0.75
SDOW,DIA,-2.999435,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.995904,0.75
BTCZ,IBIT,-1.999995,0.75
IONZ,IONQ,-2.019886,0.75
IREZ,IREN,-2.006734,0.75
TWM,IWM,-2.000673,0.75
TZA,IWM,-2.996191,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.993027,0.75
MSTZ,MSTR,-2.004772,0.75
SMST,MSTR,-1.978859,0.75
NBIZ,NBIS,-2.033087,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004802,0.75
NVDS,NVDA,-1.489147,0.75
OKLS,OKLO,-1.999532,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.999001,0.75
QID,QQQ,-1.996708,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.985857,0.75
RKLZ,RKLB,-2.016671,0.75
SMCZ,SMCI,-2.024552,0.75
SMZ,SMR,-1.998691,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.00455,0.75
SPXS,SPY,-2.996447,0.75
SPXU,SPY,-2.994367,0.75
UVIX,SVIX,-1.98135,0.75
TBT,TLT,-1.997295,0.75
TBX,TLT,-1.370116,0.75
TMV,TLT,-2.989317,0.75
TSDD,TSLA,-2.011981,0.75
STSM,TSM,-2.005347,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.748078,0.75
DUG,XLE,-1.99061,0.75
SKF,XLF,-1.999035,0.75
FNGD,XLK,-2.917672,0.75
REW,XLK,-2.0042,0.75
TECS,XLK,-2.995975,0.75
WEBS,XLK,-2.798111,0.75
DRIP,XOP,-1.996934,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
