underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
IBIT,"BITU, BITX, BTCL, IBIT, XBTY",27213.73490029,56330.745099709995,5
AMD,"AMD, AMDG, AMDL, AMUU, AMYY",26642.140849011204,47999.459150988805,5
QBTS,"QBTS, QBTX, QBTZ, QBY",22927.8420483073,46177.6686116927,4
MSTR,"MSDD, MSTR, MSTU, MSTX, MSTZ, MTYY",16770.758597461496,56011.02631788149,6
SMR,"SMR, SMU, SMUP, SMZ",7499.450690610003,62015.33026101,4
IREN,"IRE, IREG, IREN, IREX, IREZ",7195.687269419992,97886.92762438,5
META,"FBL, FBYY, META",6770.845315279999,31311.414684720003,3
CRWV,"CORD, CRWG, CRWU, CRWV, CWVX",6258.84290666,86437.39359338,5
CLSK,"CLSK, CLSX, CLSZ",4863.193393419997,33918.100602579994,3
GRAB,GRAB,4483.65,4483.65,1
CRCL,"CCUP, CRCA, CRCD, CRCG, CRCL",4212.963783700001,63131.29800530001,5
NOK,NOK,4198.95,4198.95,1
NBIS,"NBIG, NBIL, NBIS, NBIZ, NEBX",3997.4675314800043,98646.66147204,5
ASTS,"ASTN, ASTS, ASTX",3753.127381080005,42088.2626766,3
AAL,AAL,2597.4100000000003,2597.4100000000003,1
CRML,"CRML, CRMU",1746.5173540188007,54667.7626459812,2
IONQ,"IONL, IONQ, IONX, IOYY, QPUX",1735.1027886500005,76189.89721135,5
EOSE,"EOSE, EOSU",1692.602777279997,54746.637222720005,2
SMCI,"SMCI, SMCL, SMYY",1636.8471768477993,7054.3528231522,3
LUNR,"LUNL, LUNR",1370.3353291799995,33400.80467082,2
LLY,LLY,1004.92,1004.92,1
CIFR,"CIFG, CIFR, CIFU",900.5670195639987,34310.992980436,3
AI,AI,787.15,787.15,1
DJT,DJT,780.3,780.3,1
GEV,"GEV, GEVG, GEVX",675.9780122800003,5619.40198772,3
ALAB,"ALAB, LABX",646.7991599999987,27740.16084,2
LCID,LCID,622.12,622.12,1
PAAS,"PAAS, PAAU",588.6553139999996,5502.544686,2
SBET,"SBET, SBTU",512.7624535599998,15252.357546439998,2
SHOP,"SHOP, SHPU",487.4803195999998,3323.1596804,2
KTOS,"KTOS, KTUP",483.70438815,2329.1556118500002,2
GLXY,"GLGG, GLXU, GLXY",240.34023851279926,23210.7797614872,3
BMNR,"BMNG, BMNR, BMNU",225.39724736000062,28148.96275264,3
SNAP,"SNAG, SNAP",214.18717241600052,5282.632827584001,2
GDXJ,"GDXJ, JNUG",178.38124349999975,3778.1987565,2
CLS,"CLS, CSEX",172.4166079200004,12735.38339208,2
NFLX,"NFLU, NFLX",161.33918579999977,1579.0608142,2
TDOG,"TDOG, TXXD",149.91305636159996,9138.533343638399,2
BE,"BE, BEG, BEX",145.94884076379822,64978.2511592362,3
OKLO,"OKLL, OKLO",114.19817819999844,28022.8018218,2
AVAV,"AVAV, AVXX",99.10591036000005,5904.89408964,2
QCOM,"QCMU, QCOM",93.61666367999999,1518.3033363200002,2
KEEL,"KEEL, KEEX",91.3609547470005,39664.479045253,2
B,"B, BU",79.53540473639998,2113.4045952636,2
APP,"APP, APPX",76.35572703999969,11947.64427296,2
GME,"GME, GMEU",70.55354147999992,1440.74645852,2
ALB,"ALB, ALBG",64.23199782000006,2821.8480021799996,2
FLY,"FLY, FLYT",53.41128720000415,42478.9487128,2
LITE,"LITE, LITX",52.9877398000026,32950.8122602,2
TSUI,"TSUI, TXXS",37.75815900000089,20185.690041,2
QUBT,"QUBT, QUBX",36.92712980000033,18451.8728702,2
VST,"VST, VSTL",29.307438320000074,2764.2925616800003,2
TER,"TER, TERG",28.387110500000063,4026.1728894999997,2
GLW,"GLW, GLWG",25.30115999999998,3043.65884,2
DKNG,"DKNG, DKNX",8.111772164799959,2441.8882278352003,2
CRDO,"CRDO, CRDU",6.9161419499996555,23408.20385805,2
AAPL,"AAPB, AAPL",2.701925387200049,1198.2180746128001,2
BBAI,"BAIG, BBAI",-5.696773307499825,13714.496773307501,2
ZETA,"ZETA, ZETX",-13.527494299999944,4448.547494300001,2
UUUU,"UUUG, UUUU",-33.86906249999811,24445.529062499998,2
SRPT,"SRPT, SRPU",-41.244275519999974,9167.244275519999,2
UNH,"UNH, UNHG",-43.65394559999993,1619.0539456000001,2
ANET,"ANEL, ANET",-57.43488920000004,3748.6548892,2
USAR,"USAR, USGG",-60.45472179030003,20060.254721790297,2
CRM,"CRM, CRMG",-71.58349872999997,2500.72349873,2
RKT,"RKT, RKTL",-74.97305535000032,8378.673055349998,2
ETOR,"ETOR, ETRL",-93.78596653999978,2123.28596654,2
XOP,"GUSH, XOP",-96.96911539999985,1490.0091153999997,2
AVGO,"AVGG, AVGO, AVL",-97.50981589000003,6050.16981589,3
COHR,"COHR, COHX",-124.08312001999957,7773.083120019999,2
JOBY,"JOBX, JOBY",-130.30336349999993,3051.8233634999997,2
SPOT,"SPOG, SPOT",-134.08046386,1881.84046386,2
DELL,"DELL, DLLL",-156.90699200000017,4996.706992,2
QQQ,"QQQ, TQQQ",-160.02984458000014,2995.74984458,2
DNN,"DNN, DNNG",-160.6812707132001,3571.8812707132,2
RDW,"RDW, RDWU",-160.99885600000016,18157.798856,2
UEC,"UEC, UECG",-162.51015726679998,8352.510157266799,2
RKLB,"RKLB, RKLX, RKLZ",-163.77873245,13647.28895335,3
UPS,UPSG,-167.56897896720002,167.56897896720002,1
SATS,"SATG, SATS",-174.34827804999998,1821.1082780499996,2
CEG,"CEG, CEGX",-175.82489400000054,3916.6248940000005,2
MP,"MP, MPG, MPL",-176.26045891909985,5813.1004589191,3
WULF,"WULF, WULX",-178.2777930000011,25265.957793,2
PONY,"PONX, PONY",-196.91734988000053,4938.79734988,2
ARM,"ARM, ARMG",-203.84568952000018,4805.36568952,2
NEM,"NEM, NEMG",-204.86557961199992,3258.5455796120004,2
CVNA,"CVNA, CVNX",-208.77099892600017,2895.5709989260004,2
OSCR,"OSCR, OSCX",-212.38163443200028,8234.461634432,2
LMND,"LMND, LMNX",-212.70271852320002,4731.5027185232,2
NVO,"NVO, NVOX",-219.1684613599998,2456.16846136,2
XYZ,"XYZ, XYZG",-222.0456623552002,3740.0456623552,2
KLAC,"KLAC, KLAG",-222.51366491700014,3831.1536649170002,2
PLTR,"PLTA, PLTR, PLTU, PTIR",-228.64026556999943,9607.94026557,4
FIG,"FIG, FIGG",-231.95928636000008,10545.959286360001,2
CMG,"CMG, CMGG",-232.01650232230003,1080.9165023223,2
PYPL,"PYPG, PYPL",-232.38017022000008,942.94017022,2
OKTA,"OKTA, OKTG",-234.52633217400012,3048.7063321739997,2
UBER,"UBER, UBRL",-238.54107783680013,2040.7010778368003,2
MRNA,"MRNA, MRNX",-239.8388053608005,6713.1188053608,2
SNOW,"SNOU, SNOW",-240.46945024000024,6539.269450240001,2
U,"U, UNX",-240.76288485999976,12354.12288486,2
LAC,"LAC, LACG",-241.2343097185999,6193.1143097185995,2
NIO,"NIO, NIOG",-243.85457520060004,2415.4545752005997,2
RBLX,"RBLU, RBLX",-246.7232419200002,3589.02324192,2
AFRM,"AFRM, AFRU",-246.9352113599998,4591.05521136,2
RDDT,"RDDT, RDTL",-253.0916905600002,7845.2516905600005,2
PL,"PL, PLU",-258.8889882600015,22483.96898826,2
TEM,"TEM, TEMT",-259.25582150000037,5970.1558215000005,2
LRCX,"LRCU, LRCX",-260.39130152000007,4815.91130152,2
MRVL,"MRVL, MVLL",-262.3239297,3092.5639297,2
TTD,"TTD, TTDU",-271.36488239999994,1455.7648823999998,2
DUOL,"DUOG, DUOL",-272.25697096600015,8340.576970966,2
URA,"URA, URAA",-272.5960112,3967.4160112,2
NU,"NU, NUG",-275.97995129400005,909.859951294,2
ADBE,"ADBE, ADBG",-276.8143512199998,2257.6143512199997,2
ARKK,"ARKK, TARK",-296.1743437120001,2243.574343712,2
KWEB,"CWEB, KWEB",-298.24090021999996,1650.40090022,2
CORZ,"CORZ, COZX",-312.8292864,4767.469286400001,2
QS,"QS, QSU",-315.0244967000003,6210.3844967,2
BULL,"BULG, BULL, BULX",-326.7003766344003,3447.2203766344,3
HUT,"HUT, HUTG",-329.07628934720015,30250.316289347196,2
ONDS,"ONDG, ONDL, ONDS",-354.2725110400015,31109.79251104,3
SOEZ,"SOEZ, SOLT",-363.73628499999904,10950.422284999999,2
SOXX,"SOXL, SOXX",-368.8997566400003,7488.17975664,2
COPX,"COPX, COPZ",-369.30802368000013,4355.708023679999,2
IWM,"IWM, URTY",-369.39005803999976,2590.1900580399997,2
MSFT,"MSFT, MSFU, MSFX",-379.52985844149987,2067.2098584415,3
NET,"NET, NETG",-408.02074825,2383.62074825,2
OPEN,"OPEG, OPEN, OPEX",-443.4167841599992,21038.176784159998,3
FIGR,"FGRU, FIGR",-462.19519215999935,16908.59519216,2
FXI,"FXI, YINN",-472.40927112999975,2861.60927113,2
GEMI,"GEMG, GEMI",-475.50953089979885,15106.269530899799,2
RGTI,"RGTI, RGTU, RGTX",-475.9838343199981,22717.08383432,3
LEU,"LEU, LEUX",-478.5991650000003,3765.399165,2
FCX,"FCX, FCXG",-536.6775746200001,4443.29757462,2
ACHR,"ACHR, ARCX",-547.6102660000006,9525.810266,2
VRT,"VRT, VRTL",-551.7658944000002,2777.4058944,2
INTC,"INTC, INTW",-599.8177405199995,9083.877740519998,2
NOW,"NOW, NOWL",-647.0119860000001,2548.411986,2
SOUN,"SOUN, SOUX",-664.4579553800004,5138.57795538,2
UPST,"UPST, UPSX",-673.0000393999994,8758.7400394,2
RCAT,"RCAT, RCAX",-722.041146120795,53979.9211461208,2
BA,"BA, BOEG, BOEU",-728.2150650749999,2051.155065075,3
XPEV,"XPEG, XPEV",-730.2378145904,2479.6778145904,2
SOFI,"SOFA, SOFI, SOFX",-736.9442863799998,5857.0242863799995,3
ORCL,"ORCL, ORCU, ORCX",-795.1339813,6969.533981299999,3
PANW,"PALU, PANG, PANW",-809.1879741399999,2751.82797414,3
BLSH,"BLSG, BLSH",-810.8827450394001,10011.162745039399,2
SPY,"SPXL, SPY",-855.6557272000001,2333.9957272,2
TSM,"TSM, TSMG, TSMU",-859.45231,2476.85231,3
EWY,"EWY, KORU",-902.3206362799997,8056.720636280001,2
XRPZ,"UXRP, XRPT, XRPZ, XXRP",-924.0806221399998,29373.16062214,4
WDC,"WDC, WDCX",-1124.4299200399992,10764.82992004,2
CRWD,"CRWD, CRWL",-1324.818762119999,7265.618762119999,2
BABA,"BABA, BABX, BBYY",-1431.8730397999998,5939.9330398,3
TSLA,"TSLA, TSLI, TSLL, TSLR, TSLT",-1495.2526949600003,8251.09269496,5
GDX,"GDX, GDXU, NUGT",-1523.8251886100002,7638.325188610001,3
MU,"MU, MULL, MUU",-1560.3906509600001,11705.63065096,3
APH,"APH, APHU",-1595.7370956,2345.7370956,2
ETHA,"ETHA, ETHT, ETHU, ETU",-1718.0276742499982,27930.667674250002,4
COIN,"COIA, COIG, COIN, CONL, CONX, COYY",-1736.2815475699972,121339.44154757,6
HIMS,"HIMS, HIMZ, HMYY",-1990.6516046000004,16770.1516046,3
EWW,"EWW, MEXX",-2133.6666968399995,4449.96669684,2
HOOD,"HODU, HOOD, HOOG, HOOX, HOYY, ROBN",-2267.067583107097,41608.4675831071,6
NVTS,"NVTS, NVTX",-2701.442091500001,70712.2420915,2
PLUG,"PLUG, PLUL",-2810.5031883600022,46620.70318836,2
SNDK,"SNDK, SNDU, SNXX",-2970.3635588800043,50829.10355888,3
CNC,"CNC, CNCG",-4504.2600477951,26646.860047795104,2
ASML,"ASML, ASMU",-8129.324008539999,11132.944008539998,2
RIOT,"RIOT, RIOX, RTYY",-10957.49253336,17675.63253336,3
NVDA,"NVDA, NVDB, NVDL, NVDU",-13066.11292605,14868.672926050001,4
MARA,"MAAY, MARA, MRAL",-15243.865143802499,19548.105143802495,3
AMZN,"AMZN, AMZU, AMZZ",-25752.263176469998,27337.10317647,3
GOOGL,"GGLL, GOOGL, GOOX",-27771.15685712,29358.27685712,3
