symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,14632.393159800002,14632.393159800002,1
DUST,flow_program,13684.434890240002,13684.434890240002,1
FAZ,flow_program,10538.73883296,10538.73883296,1
ZSL,flow_program,9788.8160448,9788.8160448,1
SDS,flow_program,9529.95322188,9529.95322188,1
LABD,flow_program,8568.66547746,8568.66547746,1
SQQQ,flow_program,7099.5005328,7099.5005328,1
TSLQ,flow_program,7020.11384235,7020.11384235,1
NVDQ,flow_program,5937.859930590001,5937.859930590001,1
EWV,flow_program,2405.2302200831996,2405.2302200831996,1
SOXS,flow_program,2020.6338882200002,2020.6338882200002,1
