underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
ASTS,ASTS,underlying,-4525.06,4525.06
ASTS,ASTN,etf,16200.017491200002,16200.017491200002
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,-14500.5,14500.5
BE,BEZ,etf,18538.801919999998,18538.801919999998
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
CLSK,CLSK,underlying,-2909.680087514826,2909.680087514826
CLSK,CLSZ,etf,4242.6994,4242.6994
COIN,COIN,underlying,-534.3664875,534.3664875
COIN,CONI,etf,534.3664875,534.3664875
CRCL,CRCL,underlying,-6085.880580780001,6085.880580780001
CRCL,CRCD,etf,6085.880580780001,6085.880580780001
CRWV,CRWV,underlying,-18003.399723000002,18003.399723000002
CRWV,CORD,etf,18003.399723000002,18003.399723000002
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-16454.18739646,16454.18739646
IREN,IREZ,etf,16454.18739646,16454.18739646
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,-5664.539328000001,5664.539328000001
MSTR,MSDD,etf,1866.498,1866.498
MSTR,MSTZ,etf,3798.0413280000002,3798.0413280000002
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-18732.86038323,18732.86038323
NBIS,NBIZ,etf,18732.86038323,18732.86038323
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-1189.427872400849,1189.427872400849
QBTS,QBTZ,etf,19614.33012132,19614.33012132
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-2368.48,2368.48
RKLB,RKLZ,etf,5120.6047522,5120.6047522
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-7245.111860763501,7245.111860763501
SVIX,UVIX,etf,4459.4648604,4459.4648604
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
