underlying,net_notional_usd,gross_notional_usd,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,ratio_spot_source,net_bucket_1,net_bucket_2,net_bucket_4
CRML,93263.12999999999,93263.12999999999,0.975390723916223,0.0,0.0,sleeve_balance,90967.9918853928,0.0,0.0
RCAT,54166.200000000004,54166.200000000004,1.0,0.0,0.0,sleeve_balance,54166.200000000004,0.0,0.0
AAOI,52058.16,52058.16,0.9649873905032369,0.0,0.0,sleeve_balance,50235.46797279999,0.0,0.0
IONQ,51132.06,51132.06,0.27722186538074156,0.6409266740962519,0.0,sleeve_balance,14174.92505396,32771.90115549,0.0
COIN,51030.0,51030.0,0.2215369080619244,0.6941322611269841,0.0,sleeve_balance,11305.028418400001,35421.56928531,0.0
MSTR,40639.52,40639.52,0.0623491310879164,0.8567235344315092,0.0,sleeve_balance,2533.83875983,34816.833212000005,0.0
IREN,40543.65,40543.65,1.0,0.0,0.0,sleeve_balance,40543.65,0.0,0.0
SMCI,40515.299999999996,40515.299999999996,0.1577128811251552,0.62024663244325,0.0,sleeve_balance,6389.78469265,25129.478387428004,0.0
IBIT,36448.12,36448.12,0.09281883630842962,0.8578018526190102,0.0,sleeve_balance,3383.07208403,31265.26486048,0.0
AMD,33675.85,33675.85,0.259405023755148,0.654181494707697,0.0,sleeve_balance,8735.6846692248,22030.1178885522,0.0
NVTS,32815.01,32815.01,0.981253894452569,0.0,0.0,sleeve_balance,32199.856359,0.0,0.0
NBIS,31687.600000000002,31687.600000000002,1.0,0.0,0.0,sleeve_balance,31687.600000000002,0.0,0.0
META,30493.92,30493.92,0.03763359456901573,0.8811003978825944,0.0,sleeve_balance,1147.5958221,26868.205045000002,0.0
CRWV,29920.8,29920.8,0.8647183565234579,0.13528164347654215,0.0,sleeve_balance,25873.06500186708,4047.734998132922,0.0
BABA,29647.6,29647.6,0.07114977683589901,0.8815216287321741,0.0,sleeve_balance,2109.4201237199995,26135.000640000002,0.0
HOOD,28760.760000000002,28760.760000000002,0.4652247225862355,0.46535581464061443,0.0,sleeve_balance,13380.2165923693,13383.9868994832,0.0
CRCL,28683.6,28683.6,1.0,0.0,0.0,sleeve_balance,28683.6,0.0,0.0
RIOT,28433.5,28433.5,0.12252555725640529,0.8313946418836935,0.0,sleeve_balance,3483.83043225,23639.45955,0.0
SNDK,27907.88,27907.88,0.9652210953565804,0.0,0.0,sleeve_balance,26937.274502680004,0.0,0.0
LUNR,25454.9,25454.9,1.0,0.0,0.0,sleeve_balance,25454.9,0.0,0.0
ONDS,24035.5,24035.5,1.0,0.0,0.0,sleeve_balance,24035.5,0.0,0.0
FLY,23598.86,23598.86,0.8975459302631569,0.0,0.0,sleeve_balance,21181.060751850004,0.0,0.0
BMNR,23157.75,23157.75,1.0,0.0,0.0,sleeve_balance,23157.75,0.0,0.0
MARA,19838.7,19838.7,0.046757707208637665,0.8197399493149752,0.0,sleeve_balance,927.6121260000001,16262.574932475,0.0
KEEL,18871.96,18871.96,1.0,0.0,0.0,sleeve_balance,18871.96,0.0,0.0
EOSE,17773.23,17773.23,0.9922435134997971,0.0,0.0,sleeve_balance,17635.372181439998,0.0,0.0
LITE,16351.78,16351.78,0.9344767738240117,0.0,0.0,sleeve_balance,15280.35862068,0.0,0.0
CIFR,15491.7,15491.7,0.9617620422259984,0.0,0.0,sleeve_balance,14899.3290295525,0.0,0.0
OKLO,14911.710000000001,14911.710000000001,0.9819512503153562,0.0,0.0,sleeve_balance,14642.572278840002,0.0,0.0
BE,14500.5,14500.5,1.0,0.0,0.0,sleeve_balance,14500.5,0.0,0.0
ALAB,14315.970000000001,14315.970000000001,0.9931250398540931,0.0,0.0,sleeve_balance,14217.548276800002,0.0,0.0
GLXY,14130.97,14130.97,0.9841530664207765,0.0,0.0,sleeve_balance,13907.037456999999,0.0,0.0
CLSK,13985.94,13985.94,1.0,0.0,0.0,sleeve_balance,13985.94,0.0,0.0
RGTI,13596.09,13596.09,0.991425380538081,0.0,0.0,sleeve_balance,13479.508702079998,0.0,0.0
HIMS,13375.26,13375.26,0.5025769149100653,0.42443222706698785,0.0,sleeve_balance,6722.09690692,5676.8913894,0.0
QBTS,13358.97,13358.97,0.5192679102405596,0.4807320897594403,0.0,sleeve_balance,6936.884434866329,6422.08556513367,0.0
XRPZ,13037.64,13037.64,0.9645107479635886,0.0,0.0,sleeve_balance,12574.94390808,0.0,0.0
ETHA,12744.41,12744.41,0.9442081364151028,0.0,0.0,sleeve_balance,12033.37561581,0.0,0.0
CRDO,12451.6,12451.6,0.985075562093225,0.0,0.0,sleeve_balance,12265.766868960001,0.0,0.0
USAR,12347.220000000001,12347.220000000001,1.0,0.0,0.0,sleeve_balance,12347.220000000001,0.0,0.0
HUT,11554.32,11554.32,1.0,0.0,0.0,sleeve_balance,11554.32,0.0,0.0
WULF,11323.455,11323.455,0.9819291691449297,0.0,0.0,sleeve_balance,11118.830759999999,0.0,0.0
UUUU,11193.08,11193.08,1.0,0.0,0.0,sleeve_balance,11193.08,0.0,0.0
MU,11082.24,11082.24,0.6682773186828656,0.2942126546618734,0.0,sleeve_balance,7406.0096322,3260.53525,0.0
QUBT,10452.960000000001,10452.960000000001,0.9940445438363871,0.0,0.0,sleeve_balance,10390.707854940001,0.0,0.0
RDW,10385.9,10385.9,1.0,0.0,0.0,sleeve_balance,10385.9,0.0,0.0
OPEN,9906.78,9906.78,1.0,0.0,0.0,sleeve_balance,9906.78,0.0,0.0
PL,9868.8,9868.8,1.0,0.0,0.0,sleeve_balance,9868.8,0.0,0.0
TSUI,9357.4985,9357.4985,0.9593317883470674,0.0,0.0,sleeve_balance,8976.94577046,0.0,0.0
GEMI,8465.6,8465.6,1.0,0.0,0.0,sleeve_balance,8465.6,0.0,0.0
BBAI,8215.220000000001,8215.220000000001,1.0,0.0,0.0,sleeve_balance,8215.220000000001,0.0,0.0
SBET,7229.12,7229.12,0.9293116550838829,0.0,0.0,sleeve_balance,6718.105471999999,0.0,0.0
FIGR,6702.889999999999,6702.889999999999,1.0,0.0,0.0,sleeve_balance,6702.889999999999,0.0,0.0
CLS,6669.379999999999,6669.379999999999,0.9684467336394089,0.0,0.0,sleeve_balance,6458.9392764,0.0,0.0
PLTR,6593.64,6593.64,1.0,0.0,0.0,sleeve_balance,6593.64,0.0,0.0
WDC,6374.16,6374.16,0.9891965705034076,0.0,0.0,sleeve_balance,6305.29721184,0.0,0.0
EWY,6192.3,6192.3,1.0,0.0,0.0,sleeve_balance,6192.3,0.0,0.0
APP,5998.9,5998.9,0.9693451408358198,0.0,0.0,sleeve_balance,5815.004565359999,0.0,0.0
FIG,5841.54,5841.54,1.0,0.0,0.0,sleeve_balance,5841.54,0.0,0.0
U,5389.2,5389.2,1.0,0.0,0.0,sleeve_balance,5389.2,0.0,0.0
TSLA,5305.200000000001,5305.200000000001,0.9998201376818968,0.0,0.0,sleeve_balance,5304.2457944299995,0.0,0.0
AVAV,4930.969999999999,4930.969999999999,1.0,0.0,0.0,sleeve_balance,4930.969999999999,0.0,0.0
SOEZ,4855.84,4855.84,0.9649548771067414,0.0,0.0,sleeve_balance,4685.666490449999,0.0,0.0
PLUG,4841.0,4841.0,1.0,0.0,0.0,sleeve_balance,4841.0,0.0,0.0
INTC,4835.6,4835.6,1.0,0.0,0.0,sleeve_balance,4835.6,0.0,0.0
ACHR,4664.849999999999,4664.849999999999,1.0,0.0,0.0,sleeve_balance,4664.849999999999,0.0,0.0
BLSH,4656.6,4656.6,1.0,0.0,0.0,sleeve_balance,4656.6,0.0,0.0
UEC,4539.25,4539.25,1.0,0.0,0.0,sleeve_balance,4539.25,0.0,0.0
ASTS,4525.06,4525.06,1.0,0.0,0.0,sleeve_balance,4525.06,0.0,0.0
SNOW,4305.599999999999,4305.599999999999,1.0,0.0,0.0,sleeve_balance,4305.599999999999,0.0,0.0
UPST,4282.389999999999,4282.389999999999,1.0,0.0,0.0,sleeve_balance,4282.389999999999,0.0,0.0
TSM,4248.6,4248.6,0.4595723814406913,0.5404276185593088,0.0,sleeve_balance,1952.5392197889212,2296.0607802110794,0.0
TDOG,4086.8748,4086.8748,0.9508608259819705,0.0,0.0,sleeve_balance,3886.049148012901,0.0,0.0
ORCL,4074.0,4074.0,1.0,0.0,0.0,sleeve_balance,4074.0,0.0,0.0
CORZ,4052.96,4052.96,1.0,0.0,0.0,sleeve_balance,4052.96,0.0,0.0
RDDT,4024.56,4024.56,1.0,0.0,0.0,sleeve_balance,4024.56,0.0,0.0
ARM,4023.24,4023.24,1.0,0.0,0.0,sleeve_balance,4023.24,0.0,0.0
SOXX,3986.29,3986.29,1.0,0.0,0.0,sleeve_balance,3986.29,0.0,0.0
RKT,3974.4,3974.4,1.0,0.0,0.0,sleeve_balance,3974.4,0.0,0.0
OSCR,3907.7499999999995,3907.7499999999995,0.9742074924954771,0.0,0.0,sleeve_balance,3806.9593287992,0.0,0.0
GDX,3835.92,3835.92,1.0,0.0,0.0,sleeve_balance,3835.92,0.0,0.0
SOFI,3818.2499999999995,3818.2499999999995,1.0,0.0,0.0,sleeve_balance,3818.2499999999995,0.0,0.0
DUOL,3803.4500000000003,3803.4500000000003,0.9814672058347027,0.0,0.0,sleeve_balance,3732.961444032,0.0,0.0
COHR,3769.5,3769.5,1.0,0.0,0.0,sleeve_balance,3769.5,0.0,0.0
SVIX,-3449.16,3449.16,0.0,0.0,0.0,sleeve_balance,-0.0,-0.0,-0.0
QS,3387.2300000000005,3387.2300000000005,1.0,0.0,0.0,sleeve_balance,3387.2300000000005,0.0,0.0
TEM,3333.85,3333.85,1.0,0.0,0.0,sleeve_balance,3333.85,0.0,0.0
LAC,3223.9,3223.9,1.0,0.0,0.0,sleeve_balance,3223.9,0.0,0.0
CNC,3063.3199999999997,3063.3199999999997,1.0,0.0,0.0,sleeve_balance,3063.3199999999997,0.0,0.0
AVGO,2986.06,2986.06,1.0,0.0,0.0,sleeve_balance,2986.06,0.0,0.0
ZETA,2966.46,2966.46,1.0,0.0,0.0,sleeve_balance,2966.46,0.0,0.0
PAAS,2923.48,2923.48,1.0,0.0,0.0,sleeve_balance,2923.48,0.0,0.0
SNAP,2819.07,2819.07,1.0,0.0,0.0,sleeve_balance,2819.07,0.0,0.0
SOUN,2790.56,2790.56,1.0,0.0,0.0,sleeve_balance,2790.56,0.0,0.0
MP,2740.0299999999997,2740.0299999999997,1.0,0.0,0.0,sleeve_balance,2740.0299999999997,0.0,0.0
PONY,2619.48,2619.48,0.9896901925573013,0.0,0.0,sleeve_balance,2592.4736655999995,0.0,0.0
MRNA,2521.21,2521.21,1.0,0.0,0.0,sleeve_balance,2521.21,0.0,0.0
AFRM,2482.0,2482.0,1.0,0.0,0.0,sleeve_balance,2482.0,0.0,0.0
SHOP,2415.63,2415.63,1.0,0.0,0.0,sleeve_balance,2415.63,0.0,0.0
KTOS,2412.0299999999997,2412.0299999999997,1.0,0.0,0.0,sleeve_balance,2412.0299999999997,0.0,0.0
LMND,2379.64,2379.64,1.0,0.0,0.0,sleeve_balance,2379.64,0.0,0.0
RKLB,2368.48,2368.48,1.0,0.0,0.0,sleeve_balance,2368.48,0.0,0.0
NVDA,2356.75,2356.75,1.0,0.0,0.0,sleeve_balance,2356.75,0.0,0.0
BULL,2202.84,2202.84,0.4143853748161464,0.0,0.0,sleeve_balance,912.82467906,0.0,0.0
JOBY,2164.8,2164.8,1.0,0.0,0.0,sleeve_balance,2164.8,0.0,0.0
MRVL,2048.3,2048.3,1.0,0.0,0.0,sleeve_balance,2048.3,0.0,0.0
LEU,2040.0600000000002,2040.0600000000002,1.0,0.0,0.0,sleeve_balance,2040.0600000000002,0.0,0.0
URA,2030.0,2030.0,1.0,0.0,0.0,sleeve_balance,2030.0,0.0,0.0
GLW,2012.67,2012.67,0.9257094266422214,0.0,0.0,sleeve_balance,1863.1475917199998,0.0,0.0
GEV,1992.0,1992.0,1.0,0.0,0.0,sleeve_balance,1992.0,0.0,0.0
COPX,1945.6799999999998,1945.6799999999998,1.0,0.0,0.0,sleeve_balance,1945.6799999999998,0.0,0.0
KLAC,1927.63,1927.63,0.981350508634956,0.0,0.0,sleeve_balance,1891.6806809600002,0.0,0.0
LRCX,1908.0,1908.0,1.0,0.0,0.0,sleeve_balance,1908.0,0.0,0.0
DELL,1902.3000000000002,1902.3000000000002,1.0,0.0,0.0,sleeve_balance,1902.3000000000002,0.0,0.0
