underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
NBIS,software,override,1.0,letf,3.0323531827247105,computed,3195.759349234999,97620.011501595
BE,clean,override,1.0,letf,3.95731387446445,computed,3187.655325379992,62946.48221062
MSTR,crypto-equity,override,1.0,letf,2.916487436137828,computed,2806.4313615239957,93557.081458744
FLY,evtol,override,1.0,letf,2.967451522862068,computed,2488.3173043399984,44709.40269566
COIN,crypto-equity,override,1.0,letf,3.337049920329934,computed,2440.6781511200024,100687.66465888
IREN,crypto-equity,override,1.0,letf,3.523477294346691,computed,2422.39545041,111738.08509915
CRML,metals,override,1.0,letf,3.740041405202128,computed,2358.0082233239955,184168.251776676
AAOI,other,default,0.1,letf,3.945233118488996,computed,1818.0756545600088,102298.24434544
SMCI,semis,override,1.0,letf,3.2163585436712205,computed,1265.2269137836993,79765.37308621629
QBTS,quantum,override,1.0,letf,4.062690659787716,computed,1128.5829528414051,64998.4086508386
LITE,semis,override,1.0,letf,2.6286241577597322,computed,1094.8488458800002,31608.71115412
CRWV,software,override,1.0,letf,2.9936196714279544,computed,1078.706919616603,94794.4619807834
SVIX,other,default,0.1,volatility_etp,3.827258609664949,computed,990.6269273999995,7888.946927399999
SNDK,semis,override,1.0,letf,3.5939523603971093,computed,943.6750682000038,54872.0849318
MARA,crypto-equity,override,1.0,letf,3.3023201030397584,computed,849.6156759250031,38827.784324075
CLSK,crypto-equity,override,1.0,letf,3.697727197595155,computed,778.6090917395959,44379.88614133961
NVTS,semis,override,1.0,letf,4.1846478013131065,computed,738.1427045000019,64891.8772955
ETHA,crypto,override,1.0,letf,3.0015345334340418,computed,713.39992343,24775.42007657
CIFR,crypto-equity,override,1.0,letf,4.12856725263919,computed,598.7240587800015,30384.67594122
RKLB,space,override,1.0,letf,3.289953922855538,computed,531.6528610399992,14537.574390639998
SBET,crypto-equity,override,1.0,letf,5.096665181303062,computed,516.2810060799993,13941.95899392
TSUI,industrials,override,1.0,letf,2.462261527314037,computed,459.269484800001,18255.7275152
XRPZ,crypto,override,1.0,letf,2.7822917734598698,computed,450.98272457000166,25624.29727543
META,mega-cap-tech,override,1.0,letf,1.5032979695711257,computed,417.2570174999965,60570.5829825
HIMS,healthcare,override,1.0,letf,2.444813443173691,computed,378.42115877000015,26372.09884123
OKLO,nuclear,override,1.0,letf,3.851595969043002,computed,279.57194166000045,29543.84805834
IONQ,quantum,override,1.0,letf,3.275008220533877,computed,242.5069755000068,102021.6130245
HOOD,fintech,override,1.0,letf,3.297781132161505,computed,241.1811992524017,57280.3388007476
EOSE,clean,override,1.0,letf,3.877552425111934,computed,228.2173606799988,35318.24263932
GLXY,crypto-equity,override,1.0,letf,4.021147275944519,computed,215.10141499999736,28046.838585
TDOG,software,override,1.0,letf,2.314517885366403,computed,210.8030595920991,7962.946540407901
WULF,crypto-equity,override,1.0,letf,3.3737478783573036,computed,206.78928000000087,22440.12072
CLS,semis,override,1.0,letf,2.9362961882989573,computed,204.1754812399995,13134.58451876
BULL,crypto-equity,override,1.0,letf,2.819782114273985,computed,199.70575967000013,4205.974240330001
APP,software,override,1.0,letf,2.3013289731859983,computed,186.25049836000017,11811.549501639998
CRDO,semis,override,1.0,letf,3.1170864664279794,computed,177.1443749200007,24726.05562508
RGTI,quantum,override,1.0,letf,3.6897289270018385,computed,166.31245968000076,27025.86754032
SOEZ,broad,override,1.0,letf,2.6823957532636515,computed,163.9431771999998,9547.7368228
AMD,semis,override,1.0,letf,2.7591496136123763,computed,148.26447730659856,67203.4355226934
GLW,semis,override,1.0,letf,2.1791665277684555,computed,145.18518875999985,3880.154811240001
MU,semis,override,1.0,letf,2.726729573837484,computed,123.63145259999963,22040.8485474
GDXJ,metals,override,1.0,letf,1.6428035429946328,computed,107.64127599999983,3566.918724
OSCR,healthcare,override,1.0,letf,1.6901726881135513,computed,95.61689989599928,7719.883100104
AMZN,mega-cap-tech,override,1.0,letf,1.4550904821725732,computed,92.09930470080008,2099.9006952992
SRPT,healthcare,override,1.0,letf,2.225355375887832,computed,84.62397111999962,8911.37602888
ALAB,semis,override,1.0,letf,3.095908486737064,computed,79.32762509999884,28552.612374900003
WDC,semis,override,1.0,letf,2.4499287016208773,computed,73.11039007999989,12675.20960992
DUOL,software,override,1.0,letf,0.9632380004286072,computed,71.09958003200063,7535.800419968
QUBT,quantum,override,1.0,letf,3.7275391489466214,computed,60.613950540002406,20845.30604946
CRWD,software,override,1.0,letf,1.36012259337976,computed,47.811735291199966,1294.1882647088
OKTA,software,override,1.0,letf,1.110939248331607,computed,41.67591619519999,2610.4840838048
KLAC,semis,override,1.0,letf,2.312370032276632,computed,34.23500223999986,3821.0249977600006
ASML,semis,override,1.0,letf,2.090570811323237,computed,28.58118217999981,3182.95881782
PONY,china,override,1.0,letf,3.2804157080932863,computed,28.58023400000002,5210.379766
NU,fintech,override,1.0,letf,1.488983372156451,computed,16.833113035200007,87.5668869648
XPEV,china,override,1.0,letf,1.613911565595969,computed,6.3549390000000585,2624.045061
ACHR,evtol,override,1.0,letf,3.0874584566584033,computed,2.876617919999262,9326.82338208
DKNG,software,override,1.0,letf,0.997028281401335,computed,0.4735764199999721,2305.34642358
NVO,healthcare,override,1.0,letf,1.5730232282056145,computed,-8.956081660000109,2739.55608166
ZETA,software,override,1.0,letf,2.8246824187664488,computed,-14.873097710000366,5947.79309771
SBUX,other,default,0.1,letf,0.8142896523182955,computed,-16.119939150199983,217.6199391502
TEM,software,override,1.0,letf,2.5341244911573364,computed,-18.15109436000012,6685.85109436
PYPL,fintech,override,1.0,letf,1.4057228813433944,computed,-18.41203845000007,1352.21203845
GEMI,crypto-equity,override,1.0,letf,3.34349105414554,computed,-19.237818339399382,16950.4378183394
AAPL,mega-cap-tech,override,1.0,letf,0.9499523779768945,computed,-19.4601613264,1269.5001613263998
BA,industrials,override,1.0,letf,1.113281446001613,computed,-21.37135372000023,3224.29135372
JOBY,evtol,override,1.0,letf,3.1760408603083996,computed,-27.7457129999998,4357.345713000001
HUT,crypto-equity,override,1.0,letf,4.9425588950926675,computed,-28.624210281601336,23137.264210281603
ADBE,mega-cap-tech,override,1.0,letf,0.5963006170085541,computed,-30.888361509999868,2445.28836151
KWEB,china,override,1.0,letf,1.266872216652805,computed,-31.013025279999965,2163.81302528
RKT,fintech,override,1.0,letf,1.8900549785007223,computed,-32.833367558399914,7981.6333675584
ORCL,mega-cap-tech,override,1.0,letf,1.711589394164371,computed,-33.74754565999956,8181.74754566
EWW,intl,override,1.0,letf,0.9078195786581962,computed,-34.491960699999936,2083.5519607
SOXX,semis,override,1.0,letf,2.158924315722855,computed,-42.01551410000002,8014.595514099999
