underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
AAOI,AAOI,spot,53859.4,53859.4,1.0,0.0,0.0
AAOI,AAOX,core_levered_etf,-49114.674972999994,49114.674972999994,1.0,0.0,0.0
AAPL,AAPL,spot,624.12,624.12,1.0,0.0,0.0
AAPL,AAPB,core_levered_etf,-642.1753296672,642.1753296672,1.0,0.0,0.0
ACHR,ACHR,spot,4664.849999999999,4664.849999999999,1.0,0.0,0.0
ACHR,ARCX,core_levered_etf,-4665.8778824,4665.8778824,1.0,0.0,0.0
ADBE,ADBE,spot,1296.05,1296.05,1.0,0.0,0.0
ADBE,ADBG,core_levered_etf,-1418.2259291199998,1418.2259291199998,1.0,0.0,0.0
AFRM,AFRM,spot,2504.1000000000004,2504.1000000000004,1.0,0.0,0.0
AFRM,AFRU,core_levered_etf,-2560.17885565,2560.17885565,1.0,0.0,0.0
ALAB,ALAB,spot,14056.85,14056.85,1.0,0.0,0.0
ALAB,LABX,core_levered_etf,-13710.293430900001,13710.293430900001,1.0,0.0,0.0
ALB,ALB,spot,1234.9399999999998,1234.9399999999998,1.0,0.0,0.0
ALB,ALBG,core_levered_etf,-1387.344185188,1387.344185188,1.0,0.0,0.0
AMD,AMD,spot,34578.700000000004,34578.700000000004,0.2554102118729161,0.7445897881270839,0.0
AMD,AMDG,core_levered_etf,-2828.6603852400003,2828.6603852400003,1.0,0.0,0.0
AMD,AMUU,core_levered_etf,-2912.02120602,2912.02120602,1.0,0.0,0.0
AMD,AMDL,core_levered_etf,-2919.1097275200004,2919.1097275200004,1.0,0.0,0.0
AMD,AMYY,yieldboost_etf,-25746.94690671,25746.94690671,0.0,1.0,0.0
AMZN,AMZN,spot,1082.56,1082.56,1.0,0.0,0.0
AMZN,AMZU,core_levered_etf,-87.88950612,87.88950612,1.0,0.0,0.0
AMZN,AMZZ,core_levered_etf,-886.8316958600001,886.8316958600001,1.0,0.0,0.0
ANET,ANET,spot,1594.7,1594.7,1.0,0.0,0.0
ANET,ANEL,core_levered_etf,-1771.494446475,1771.494446475,1.0,0.0,0.0
APH,APH,spot,446.28,446.28,1.0,0.0,0.0
APH,APHU,core_levered_etf,-675.5427703500001,675.5427703500001,1.0,0.0,0.0
APP,APP,spot,6130.900000000001,6130.900000000001,1.0,0.0,0.0
APP,APPX,core_levered_etf,-6064.177957649999,6064.177957649999,1.0,0.0,0.0
ARKK,ARKK,spot,1720.95,1720.95,1.0,0.0,0.0
ARKK,TARK,core_levered_etf,-1795.7133833598002,1795.7133833598002,1.0,0.0,0.0
ARM,ARM,spot,4239.4800000000005,4239.4800000000005,1.0,0.0,0.0
ARM,ARMG,core_levered_etf,-4579.53582944,4579.53582944,1.0,0.0,0.0
ASML,ASML,spot,1612.76,1612.76,1.0,0.0,0.0
ASML,ASMU,core_levered_etf,-1590.66445707,1590.66445707,1.0,0.0,0.0
ASTS,ASTN,inverse_b4_etf,20883.11441904,20883.11441904,0.0,0.0,1.0
ASTS,ASTS,spot_b4_structural,9526.44,9526.44,2.5658372592489953,0.0,-1.565837259248995
ASTS,ASTX,core_levered_etf,-21571.595739999997,21571.595739999997,1.0,0.0,0.0
AVAV,AVAV,spot,4766.52,4766.52,1.0,0.0,0.0
AVAV,AVXX,core_levered_etf,-4808.324048799999,4808.324048799999,1.0,0.0,0.0
AVGO,AVGO,spot,3127.39,3127.39,1.0,0.0,0.0
AVGO,AVL,core_levered_etf,-1441.5958218199999,1441.5958218199999,1.0,0.0,0.0
AVGO,AVGG,core_levered_etf,-1935.3461385599999,1935.3461385599999,1.0,0.0,0.0
