bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
<<<<<<< Updated upstream
bucket_2,55130.63636044254,72895.27202401316,9.051907219649376,0.0,-50680.31,-7028.26,2855.014125555859,0.0,0.0,73181.40441723121
bucket_1,-34914.07278640255,76838.53215526536,668.6780927803507,-15.7,-732.16,-19379.147900691518,1613.2232531832024,-1.82,0.0,24077.532814134844
bucket_3,30.564975440000012,11426.398846,0.0,0.0,-574.13,-1544.98,101.17265885975755,0.0,0.0,9439.026480299757
bucket_4,587.99365399,-4081.334082278528,0.0,0.0,0.0,-1178.3520993084824,191.51996240118171,0.0,0.0,-4480.172565195827
=======
bucket_2,60565.73627382221,73966.05665783733,9.051851943137311,0.0,-50680.31,-7028.26,2855.014125555859,0.0,0.0,79687.28890915854
bucket_3,30.564975440000012,11426.398846,0.0,0.0,-574.13,-1544.98,101.17265885975755,0.0,0.0,9439.026480299757
bucket_4,-8150.762276591214,16217.34156999208,0.0,0.0,0.0,-1178.3519467182425,191.52708525791755,0.0,0.0,7079.754431940542
bucket_1,-31610.416769200998,55469.071869170584,668.6781480568627,-15.7,-732.16,-19379.14805328176,1613.2161303264666,-1.82,0.0,6011.721325071155
>>>>>>> Stashed changes
