ETF,Underlying,Leverage,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_n_obs,Delta_source,Delta_se,Delta_resid_sigma_annual,Delta_horizon_chosen,Delta_quality,Delta_prior_mu,Delta_prior_tau,Delta_prior_source
AAPU,AAPL,2.0,False,,letf_long,1.997245,501,posterior.nominal_L,0.012151503717158459,0.02675443742605598,1,ok,2.0,240.0,nominal_L
AMUU,AMD,2.0,False,,letf_long,1.987101,299,posterior.nominal_L,0.013938859165283854,0.08423292429140412,1,ok,2.0,240.0,nominal_L
AMZU,AMZN,2.0,False,,letf_long,1.996311,501,posterior.nominal_L,0.006590409394882762,0.025707548260050856,1,ok,2.0,240.0,nominal_L
ASMU,ASML,2.0,False,,letf_long,1.993917,84,posterior.nominal_L,0.011045582520677864,0.0909440880619998,1,ok,2.0,240.0,nominal_L
AVL,AVGO,2.0,False,,letf_long,1.995065,418,posterior.nominal_L,0.018918731461601137,0.07233298017689642,1,ok,2.0,240.0,nominal_L
BOEU,BA,2.0,False,,letf_long,1.995109,286,posterior.nominal_L,0.0099993681993793,0.05267811311176626,1,ok,2.0,240.0,nominal_L
BABU,BABA,2.0,False,,letf_long,2.008509,83,posterior.nominal_L,0.012737969943394935,0.05772795087429792,1,ok,2.0,240.0,nominal_L
BRKU,BRK-B,2.0,False,,letf_long,1.981682,375,posterior.nominal_L,0.009124467547009907,0.037147866488310706,1,ok,2.0,240.0,nominal_L
CONX,COIN,2.0,False,,letf_long,2.002905,140,posterior.nominal_L,0.00972486864697835,0.08294962157906138,1,ok,2.0,240.0,nominal_L
CSCL,CSCO,2.0,False,,letf_long,1.999411,243,posterior.nominal_L,0.030563830893195785,0.05756752324058151,1,ok,2.0,240.0,nominal_L
GGLL,GOOGL,2.0,False,,letf_long,1.996465,501,posterior.nominal_L,0.008702670980172947,0.02641039971558225,1,ok,2.0,240.0,nominal_L
HODU,HOOD,2.0,False,,letf_long,2.001686,140,posterior.nominal_L,0.00968826827550268,0.07515540769497747,1,ok,2.0,240.0,nominal_L
LINT,INTC,2.0,False,,letf_long,1.989234,140,posterior.nominal_L,0.013660406114122088,0.11028692678929408,1,ok,2.0,240.0,nominal_L
