symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
QBY,-190701.83057209747,-71425.8737,119275.95687209748,119275.95687209748,190701.83057209747,71425.8737,-119275.95687209748,True
MAAY,0.0,-115044.2535,-115044.2535,115044.2535,0.0,115044.2535,115044.2535,False
MUYY,-266829.31196262414,-172269.5887,94559.72326262415,94559.72326262415,266829.31196262414,172269.5887,-94559.72326262415,True
SMYY,-193244.5854752377,-122493.06,70751.5254752377,70751.5254752377,193244.5854752377,122493.06,-70751.5254752377,True
TMYY,0.0,-62358.475,-62358.475,62358.475,0.0,62358.475,62358.475,False
FBYY,0.0,-59189.52,-59189.52,59189.52,0.0,59189.52,59189.52,False
IOYY,-189345.43817384695,-131181.8688,58163.569373846956,58163.569373846956,189345.43817384695,131181.8688,-58163.569373846956,True
RTYY,-67616.12332302192,-122752.62000000001,-55136.49667697809,55136.49667697809,67616.12332302192,122752.62000000001,55136.49667697809,False
BBYY,0.0,-47787.75,-47787.75,47787.75,0.0,47787.75,47787.75,False
HMYY,0.0,-37666.74,-37666.74,37666.74,0.0,37666.74,37666.74,False
CRY,0.0,-29138.655000000002,-29138.655000000002,29138.655000000002,0.0,29138.655000000002,29138.655000000002,False
CWY,0.0,-28993.800000000003,-28993.800000000003,28993.800000000003,0.0,28993.800000000003,28993.800000000003,False
AMYY,-134446.63996255535,-107260.5037,27186.136262555345,27186.136262555345,134446.63996255535,107260.5037,-27186.136262555345,True
BEX,-9253.144474995614,-28082.72,-18829.575525004388,18829.575525004388,9253.144474995614,28082.72,18829.575525004388,False
MTYY,-140199.22027238473,-156874.7712,-16675.55092761526,16675.55092761526,140199.22027238473,156874.7712,16675.55092761526,False
ASTN,-3941.4051659888223,-17862.84,-13921.434834011177,13921.434834011177,3941.4051659888223,17862.84,13921.434834011177,False
CRMU,-38172.34544084734,-25405.31,12767.03544084734,12767.03544084734,38172.34544084734,25405.31,-12767.03544084734,True
NBIG,-5515.294892313875,-17568.5,-12053.205107686124,12053.205107686124,5515.294892313875,17568.5,12053.205107686124,False
XBTY,-81941.67444646575,-71312.64,10629.034446465754,10629.034446465754,81941.67444646575,71312.64,-10629.034446465754,True
AMZO,0.0,-9607.65,-9607.65,9607.65,0.0,9607.65,9607.65,False
AAOX,-35066.09355396761,-25518.5,9547.593553967607,9547.593553967607,35066.09355396761,25518.5,-9547.593553967607,True
IREZ,0.0,-8818.2,-8818.2,8818.2,0.0,8818.2,8818.2,False
QBTZ,-3284.505150436687,-11110.77,-7826.264849563313,7826.264849563313,3284.505150436687,11110.77,7826.264849563313,False
DUST,0.0,-7097.6,-7097.6,7097.6,0.0,7097.6,7097.6,False
FLYT,-16347.253347998269,-9280.92,7066.333347998268,7066.333347998268,16347.253347998269,9280.92,-7066.333347998268,True
