leg_type,symbol,underlying,pair,gross_usd,matched_usd,f_hedged,f_source,daily_pnl,hedged_daily,unhedged_daily,ytd_pnl
etf,DAMD,AMD,DAMD|AMD,5989.907560000001,5989.907560000001,0.49374718564104186,book,0.002783330743454826,0.001374261721289009,0.001409069022165817,302.0869179061095
underlying,AMD,AMD,AMD (spot),5989.907560000001,5989.907560000001,1.0,book,0.0,0.0,0.0,0.0
etf,ASTN,ASTS,ASTN|ASTS,20897.82136449,20897.82136449,0.49861609103932036,book,0.009806349455175223,0.004889603632705039,0.004916745822470184,3805.428205963663
underlying,ASTS,ASTS,ASTS (spot),20897.82136449,20897.82136449,1.0,book,0.0,0.0,0.0,437.2897160519913
etf,BEZ,BE,BEZ|BE,,,0.496781353609961,carry,0.0,0.0,0.0,708.12144603
etf,BKNU,BKNG,BKNU|BKNG,,,0.0,carry,0.0,0.0,0.0,-42.80836925
etf,CONI,COIN,CONI|COIN,12315.8437038,12315.843703800005,0.5180327189465289,book,0.006004286720781238,0.0031104169753008427,0.002893869745480395,2187.3028260414567
underlying,COIN,COIN,COIN (spot),12315.843703800005,12315.843703800005,1.0,book,0.0,0.0,0.0,0.0
etf,CRCD,CRCL,CRCD|CRCL,,,0.5018430184853876,carry,0.0,0.0,0.0,-4281.42007207
etf,CORD,CRWV,CORD|CRWV,95654.0093355,1.0785845898039066,5.644353968292298e-06,book,0.04506158359981782,2.5434352820916687e-07,0.04506132925628961,-14290.853331854794
underlying,CRWV,CRWV,CRWV (spot),1.0785845898039066,1.0785845898039066,1.0,book,0.0002087546638556148,0.0002087546638556148,0.0,9.495943256559844
etf,DXD,DIA,DXD|DIA,,,0.48393330325895,carry,0.0,0.0,0.0,-26.10723037
etf,SDOW,DIA,SDOW|DIA,,,0.3220005223329034,carry,0.0,0.0,0.0,-27.79841554
underlying,DIA,DIA,DIA (spot),,,1.0,carry,0.0,0.0,0.0,-0.525
etf,IREZ,IREN,IREZ|IREN,35283.5405676,35283.5405676,0.4998477963460127,book,0.01659777999157086,0.008296363753022635,0.008301416238548225,-7725.838177026269
underlying,IREN,IREN,IREN (spot),35283.5405676,35283.5405676,1.0,book,0.0,0.0,0.0,0.0
etf,LITZ,LITE,LITZ|LITE,77106.9544425,22023.37486940584,0.14310327893562066,book,0.03635740488789452,0.0052028638530476675,0.03115454103484685,-10031.015413358316
underlying,LITE,LITE,LITE (spot),22023.37486940584,22023.37486940584,1.0,book,0.0,0.0,0.0,2854.979663404251
etf,MSTZ,MSTR,MSTZ|MSTR,20005.39902669,2621.9929139329324,0.06572625485545522,book,0.009441519025585876,0.0006205556856982865,0.00882096333988759,1399.9653570719695
underlying,MSTR,MSTR,MSTR (spot),2621.9929139329324,2621.9929139329324,1.0,book,-289.7976625708925,-289.7976625708925,0.0,2293.5238830255494
etf,MUZ,MU,MUZ|MU,,,0.0,carry,0.0,0.0,0.0,4.4114826
etf,NBIZ,NBIS,NBIZ|NBIS,44165.72795354501,6047.80044246191,0.06762301627777556,book,0.020526167826574238,0.0013880413810567827,0.019138126445517455,1698.4658003234556
underlying,NBIS,NBIS,NBIS (spot),6047.80044246191,6047.80044246191,1.0,book,1020.8657701562216,1020.8657701562216,0.0,-134.05407865906898
etf,QBTZ,QBTS,QBTZ|QBTS,29267.1091944,28965.55911531653,0.4959590113753411,book,0.013802685381961055,0.006845566196362277,0.006957119185598778,5504.289540617469
underlying,QBTS,QBTS,QBTS (spot),28965.55911531653,28965.55911531653,1.0,book,0.0,0.0,0.0,2504.4694779404253
etf,QID,QQQ,QID|QQQ,,,0.0,carry,0.0,0.0,0.0,71.65317078
etf,RGTZ,RGTI,RGTZ|RGTI,13963.61637294,13963.61637294,0.5036847054628133,book,0.006619066368330095,0.0033339224941711576,0.003285143874158938,-2582.527577393568
underlying,RGTI,RGTI,RGTI (spot),13963.61637294,13963.61637294,1.0,book,0.0,0.0,0.0,0.0
etf,RKLZ,RKLB,RKLZ|RKLB,10269.85855815,2347.8364696118497,0.11415400968133918,book,0.004826055526336859,0.0005509135892761382,0.00427514193706072,-1289.1545579515894
underlying,RKLB,RKLB,RKLB (spot),2347.8364696118497,2347.8364696118497,1.0,book,0.0,0.0,0.0,-13.58415458809937
etf,SNDQ,SNDK,SNDQ|SNDK,54198.25885264001,17838.485350558374,0.1629395196826942,book,0.025251035280234646,0.004114391560052199,0.021136643720182445,-8273.097369266567
underlying,SNDK,SNDK,SNDK (spot),17838.485350558374,17838.485350558374,1.0,book,2649.4649287000248,2649.4649287000248,0.0,1285.195063760504
etf,SPCG,SPCX,SPCG|SPCX,1355.7599999999998,640.8232630839365,0.23633359262846543,book,0.0006379591696941134,0.00015077118252408264,0.00048718798717003076,119.95197817355655
etf,SSPC,SPCX,SSPC|SPCX,1699.36,803.2317079382179,0.23633359262846543,book,0.0007996417466529238,0.00018898220680218665,0.0006106595398507371,-2760.8601991435457
underlying,SPCX,SPCX,SPCX (spot),1444.0549710221546,1444.0549710221544,0.9999999999999999,book,19.17012460935375,19.170124609353746,3.552713678800501e-15,-74.82192420594426
etf,UVIX,SVIX,UVIX|SVIX,18728.996151216,22120.56,0.592739823310146,book,0.0,0.0,0.0,0.0
underlying,SVIX,SVIX,SVIX (spot),22120.56,22120.56,1.0,book,0.0,0.0,0.0,0.0
etf,WEBS,XLK,WEBS|XLK,,,0.445622099527117,carry,0.0,0.0,0.0,312.20477971
underlying,XLK,XLK,XLK (spot),,,1.0,carry,0.0,0.0,0.0,-0.51
