underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
CRWV,CORD,90586.40960996,90586.40960996,1
LITE,LITZ,83090.50888176,83090.50888176,1
SNDK,SNDQ,62216.264398759995,62216.264398759995,1
QBTS,QBTZ,55471.2308787,55471.2308787,1
NBIS,NBIZ,52816.295191770005,52816.295191770005,1
IREN,IREZ,30967.38744931,30967.38744931,1
ASTS,ASTN,26384.404604280004,26384.404604280004,1
MSTR,MSTZ,21317.89656864,21317.89656864,1
SVIX,UVIX,21118.325236316,21118.325236316,1
RKLB,RKLZ,19716.52085994,19716.52085994,1
RGTI,RGTZ,15901.188268680002,15901.188268680002,1
COIN,CONI,12572.39608338,12572.39608338,1
AMD,DAMD,5817.2475269999995,5817.2475269999995,1
SPCX,"SPCG, SSPC",3532.08,3532.08,2
