ETF,Underlying,source,weight_solved,weight_capped,weight_smoothed,gross_decay_score_usd,gross_after_caps_usd,gross_after_smooth_usd,crash_cap_usd,gross_after_crash_usd,gross_final_usd,inverse_short_final_usd,underlying_short_final_usd,L,C,crash_l_source,rho_effective,book_cap_mult
DAMD,AMD,opt2,0.10030097745505606,0.12729733928061884,0.12857824,5.4431960056934265,27.56916722786097,27.846575745073263,27.569167227860973,27.846575466607515,27.569167227860973,-14.468920340893513,-13.100246886967458,0.38078503463411817,0.5146332127040436,signal,0.04847292174680154,0.990037976516028
RKLZ,RKLB,opt2,0.10427906805225527,0.12141202138588947,0.12225817,16.61038935072593,26.29456624919291,26.477819196771115,26.294566249192915,26.47781893199293,26.294566249192915,-12.50143255070261,-13.793133698490303,0.3992431819641467,0.6983443597666478,signal,0.048472921746801546,0.9930790114068425
QBTZ,QBTS,opt2,0.10034346052631395,0.0974332717556548,0.09738779,43.31460089214671,21.101416398561287,21.091566278090976,21.101416398561287,21.091566067175318,21.09156606717531,-10.398416035480155,-10.693150031695156,0.4974986559864576,0.759494365711243,signal,0.04845029414998842,0.9999999999999997
LITZ,LITE,opt2,0.16647541517664458,0.09208023487094966,0.0921848,36.57699654971548,19.94209311745157,19.964739101611826,19.94209311745157,19.964738901964438,19.94209311745157,-11.46729424307473,-8.474798874376837,0.5264204833397339,0.5659860999448534,signal,0.04847292174680154,0.9988657109605055
CONI,COIN,opt2,0.06424112677968279,0.08513060717631252,0.08528384,1.66744044655075,18.436991367740482,18.47017746074848,18.436991367740482,18.470177276046712,18.436991367740482,-10.627923804430393,-7.809067563310086,0.5693947612332909,0.6295862724251657,signal,0.048472921746801546,0.9982032707206732
NBIZ,NBIS,opt2,0.09657480130718737,0.08278313429037788,0.08264622,43.31460089214671,17.92859211194351,17.898940172722764,17.92859211194351,17.898939993733364,17.898939993733357,-9.404831975090591,-8.494108018642764,0.5855410303356403,0.7275035341804994,signal,0.04839275232821847,0.9999999999999996
SNDQ,SNDK,opt2,0.1272892951817926,0.07805070084313111,0.07795687,43.31460089214671,16.903674781862808,16.88335355425482,16.903674781862808,16.883353385421287,16.88335338542128,-9.093080081917797,-7.790273303503481,0.6210440293703965,0.728667115351079,signal,0.048414648177757674,0.9999999999999996
MSTZ,MSTR,opt2,0.11879246311458001,0.07340411599538024,0.07349579,5.116773993508157,15.897349940903684,15.917204055515134,15.897349940903684,15.917203896343096,15.897349940903684,-9.296313683213251,-6.601036257690434,0.6603569989161402,0.6616067306093181,signal,0.04847292174680154,0.998752673172455
CORD,CRWV,opt2,0.09344556728878044,0.07367655806010316,0.07331584,19.035689201205095,15.956353537402213,15.878231743362422,15.956353537402213,15.878231584580107,15.878231584580101,-8.895173068021702,-6.9830585165584,0.657915122843534,0.7102172617420006,signal,0.04823559939762087,0.9999999999999997
MUZ,MU,opt2,0.013855622622948526,0.08954966815405291,0.08781385,0.8971184504859951,19.394040680584904,19.018109327764183,21.677599261835066,19.01810913758309,9.50905456879154,-5.164269728046117,-4.344784840745425,0.48427531900071474,0.593476556125903,signal,0.021263039898085045,0.49999999999999983
SSPC,SPCX,opt2,0.014402202494758593,0.07918234818752938,0.0790786,1.2815977864085644,17.148759047229152,17.12628999054856,17.148759047229156,17.126289819285663,8.563144909642828,-3.425257963857131,-5.137886945785697,0.6121682781117075,,book_quantile,0.02420470495669518,0.4999999999999998
