etf,underlying,delta
AAOZ,AAOI,-2.0
DAMD,AMD,-2.021405
ASTN,ASTS,-1.987084
AURU,AUR,-1.0
AXUP,AXON,-1.0
BEZ,BE,-1.994356
BKNU,BKNG,-1.0
BLSX,BLSH,-1.0
BMNZ,BMNR,-1.994361
CELT,CELH,-1.0
CONI,COIN,-1.928377
CRCD,CRCL,-1.98826
CORD,CRWV,-1.99675
DASX,DASH,-1.0
DXD,DIA,-2.001945
SDOW,DIA,-2.998329
DKUP,DKNG,-1.0
EWV,EWJ,-1.9986
HOOZ,HOOD,-2.007841
BTCZ,IBIT,-1.995964
IONZ,IONQ,-2.000557
IREZ,IREN,-2.000111
TWM,IWM,-2.002205
TZA,IWM,-2.996484
BTFL,KEEL,-1.0
LITZ,LITE,-1.996556
LYFX,LYFT,-1.0
MSTZ,MSTR,-1.993434
SMST,MSTR,-1.972912
MUZ,MU,-2.0
NBIZ,NBIS,-2.015032
NWMX,NEM,-1.0
NETX,NET,-1.0
NVDQ,NVDA,-1.997353
NVDS,NVDA,-1.501595
OKLS,OKLO,-1.991996
OKTX,OKTA,-1.0
ORCZ,ORCL,-2.0
QBTZ,QBTS,-1.987007
QID,QQQ,-1.995832
QSX,QS,-1.0
RGTZ,RGTI,-1.976231
RKLZ,RKLB,-1.989119
SKDD,SKHY,-2.0
SKHZ,SKHY,-1.0
SMCZ,SMCI,-2.003246
SNDQ,SNDK,-2.005259
SNK,SPCX,-2.0
SPCG,SPCX,-2.0
SSPC,SPCX,-2.0
HIBS,SPHB,-3.004595
SDS,SPY,-1.989734
SPXS,SPY,-2.994374
SPXU,SPY,-2.991227
UVIX,SVIX,-1.988329
TBT,TLT,-1.998671
TBX,TLT,-1.371352
TMV,TLT,-2.991125
TSDD,TSLA,-2.007304
STSM,TSM,-1.999063
PXIU,UPXI,-1.0
SCO,USO,-1.76178
DUG,XLE,-1.994022
FAZ,XLF,-2.995074
SKF,XLF,-1.99749
FNGD,XLK,-2.871624
REW,XLK,-2.006181
TECS,XLK,-2.997314
WEBS,XLK,-2.71955
DRIP,XOP,-1.997297
GXRP,XRPZ,-1.0
XRP,XRPZ,-1.0
