source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-17,ASTN,ASTS,42313.20514608,19308.51
2026-07-17,CONI,COIN,12844.9174614607,12844.9174614607
2026-07-17,CORD,CRWV,113478.73691,0.5252104920824173
2026-07-17,DAMD,AMD,6046.6287765,1288.8054235214186
2026-07-17,EWV,EWJ,3276.0991242,1639.197
2026-07-17,FAZ,XLF,8139.053693519999,0.0
2026-07-17,IREZ,IREN,38328.637121305,38328.637121305
2026-07-17,LITZ,LITE,74990.40377328,13418.37
2026-07-17,MSTZ,MSTR,22374.88131186,14574.65
2026-07-17,MUZ,MU,5747.000000000001,5747.000000000001
2026-07-17,NBIZ,NBIS,60664.57354232001,28513.820000000003
2026-07-17,NVDQ,NVDA,5910.80667996,2076.92434
2026-07-17,QBTZ,QBTS,80962.34878115999,0.0
2026-07-17,RKLZ,RKLB,28368.835069190005,9092.25
2026-07-17,SDS,SPY,10556.25517424,1501.44
2026-07-17,SNDQ,SNDK,69890.77581866001,35277.0
2026-07-17,SPCG,SPCX,2003.76,2687.113618364393
2026-07-17,SSPC,SPCX,2508.0,2687.113618364393
2026-07-17,UVIX,SVIX,20280.91603342,20743.03
