date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2022-03-30,999880.0,1199880.0,-100000.0,-100000.0,0.0,120.0
2022-03-31,995088.4103333362,1199854.5499559382,-109837.1335504886,-94929.00607211339,25.45004406165163,0.0
2022-04-01,999124.6777732831,1199829.4612714322,-101921.82410423452,-98782.9593939145,25.08868450606783,0.0
2022-04-04,1003384.8887769446,1199804.7337887927,-92768.7296416938,-103651.11537015428,24.727482639557373,0.0
2022-04-05,998278.2443251129,1199779.6567452536,-106775.24429967426,-94726.16812046655,25.077043539249757,0.0
2022-04-06,995981.6866160859,1199754.3744425527,-111074.91856677523,-92697.76925969146,25.282302700824246,0.0
2022-04-07,998135.5783290133,1199729.2684058817,-106123.77850162865,-95469.91157523978,25.10603667105982,0.0
2022-04-08,999095.1852351013,1199704.2784026682,-105342.01954397393,-95267.07362359294,24.9900032134426,0.0
2022-04-11,993271.0568058277,1199678.7684405246,-116482.08469055373,-89925.62694414312,25.509962143545604,0.0
2022-04-12,995106.8901345875,1199653.4935773865,-115635.17915309446,-88911.42428970446,25.27486313809773,0.0
2022-04-13,1001898.5274565582,1199628.8364602677,-102801.30293159609,-94929.00607211339,24.657117118887555,0.0
2022-04-14,998612.7363539,1199603.8541134605,-107752.44299674267,-93238.67476281784,24.982346807052664,0.0
2022-04-18,1000582.836591952,1199579.0796824847,-105081.43322475569,-93914.80986577696,24.77443097589493,0.0
2022-04-19,1006640.0350737554,1199554.8722931382,-94267.10097719869,-98647.73624218402,24.2073893466517,0.0
2022-04-20,1008800.4821239611,1210561.9513628168,-100880.73461942784,-100880.73461942784,24.02128153234722,6.864070317106729
2022-04-21,1003764.7699376742,1210536.3879915061,-116350.09145423835,-90421.52659959359,25.563371310739154,0.0
2022-04-22,983646.8229036015,1210508.7730296103,-144942.74152805874,-81919.20859795014,27.61496189581642,0.0
2022-04-25,991686.680120867,1210482.0941451655,-137955.87088181495,-80839.54314248356,26.678884444792555,0.0
2022-04-26,967130.5060470385,1210452.8046338996,-168623.32094817155,-74698.97763868952,29.289511265835706,0.0
2022-04-27,963819.9701513551,1210423.182482061,-173388.7626271416,-73214.4497035643,29.6221518385893,0.0
2022-04-28,974953.8837767586,1210394.7069738428,-157772.77681759355,-77668.04637949073,28.47550821820629,0.0
2022-04-29,960574.7667277493,1210364.7779709296,-178667.40571769307,-71122.6055254873,29.92900291316227,0.0
