date,ratio,rho,gross_frac,sleeve_equity,base_equity,put_mtm,put_cash_cum,realized_cum,redeploy_extra,combined_equity,combined_ret,drawdown
2022-03-30,0.8201103170973212,1.0,0.2,999880.0,1000000.0,27175.0,-27175.0,0.0,0.0,1000000.0,0.0,0.0
2022-03-31,0.8405560194396731,1.0,0.2,995088.4103333362,995479.2256721708,27175.0,-27175.0,0.0,0.0,995479.2256721708,-0.004520774327829269,-0.004520774327829269
2022-04-01,0.8108219703881159,1.0,0.2,999124.6777732831,999652.8195632311,27175.0,-27175.0,0.0,0.0,999652.8195632311,0.004192547451949302,-0.0003471804367689568
2022-04-04,0.8063395198069826,1.0,0.2,1003384.8887769446,1004052.4667907975,27175.0,-27175.0,0.0,0.0,1004052.4667907975,0.0044011752295050055,0.0
2022-04-05,0.8445783537681358,1.0,0.2,998278.2443251129,999079.1691127779,27175.0,-27175.0,0.0,0.0,999079.1691127779,-0.004953224898610609,-0.004953224898610609
2022-04-06,0.856589187402923,1.0,0.2,995981.6866160859,996916.3677833895,27175.0,-27175.0,0.0,0.0,996916.3677833895,-0.0021647947392487987,-0.0071072969226566585
2022-04-07,0.854141879827811,1.0,0.2,998135.5783290133,999208.032660511,27175.0,-27175.0,0.0,0.0,999208.032660511,0.0022987533871239307,-0.004824881458406871
2022-04-08,0.8406833445877259,1.0,0.2,999095.1852351013,1000304.935623797,27175.0,-27175.0,0.0,0.0,1000304.935623797,0.0010977723631437897,-0.00373240571678346
2022-04-11,0.902592623675311,1.188271863960925,0.17552465768507974,993271.0568058277,994608.9722477735,27175.0,-27175.0,0.0,0.0,994608.9722477735,-0.005694227003360197,-0.009405379554723647
2022-04-12,0.8928965830238952,1.1074715251991265,0.18602870172411357,995106.8901345875,996582.1080995976,27175.0,-27175.0,0.0,0.0,996582.1080995976,0.0019838307383903686,-0.007440207497400042
