pair,static_h_0.5,static_h_1,v6_dynamic
APLZ/APLD,-0.19728947514147643,-0.16765103660399494,-0.19176954120611012
BEZ/BE,-0.4817041072612688,-0.2814251607328364,-0.48601307133901583
CLSZ/CLSK,-0.3490809701170513,-0.3689257140932991,-0.3516074873474172
CORD/CRWV,-0.5663970758138857,-0.510041233856906,-0.5663836097818027
CRCD/CRCL,-0.6104389698085403,-0.5700566325214269,-0.6103932883000909
ETHD/ETHA,-0.2541071330298461,-0.22585930617917982,-0.25396771132309304
IREZ/IREN,-0.4975925383359887,-0.4706327236253317,-0.4985989289673983
MSTZ/MSTR,-0.31775640975861985,-0.2274351834162065,-0.31861908998424604
NBIZ/NBIS,-0.2173332104762411,-0.16977625276074182,-0.22018666028574507
SMZ/SMR,-0.34204251280393605,-0.2739667926421978,-0.34361435654834294
UVIX/SVIX,-0.3655571090064963,-0.3710136202648854,-0.36591578403519054
