date,nav,cash,long_notional,short_notional,gross_notional,net_notional,leverage,net_leverage,n_positions,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit
2024-09-27,9937998.179553524,-476332.0659991432,20208472.14777633,9794141.902223665,30002614.049999997,10414330.245552666,3.018979628284446,1.047930383704351,42,21,62873.170446476724,0.0,0.0,871.35
2024-09-30,9685623.511683872,-476586.08059603145,19799050.09305297,9636840.50077306,29435890.593826026,10162209.59227991,3.03913223122055,1.0492055137205287,42,21,62873.170446476724,191.20715279311636,62.80744409513846,871.35
2024-10-01,9373902.47270593,-476841.8560952894,19574673.005487815,9723928.67668659,29298601.682174407,9850744.328801224,3.1255500862616596,1.0508690865393275,42,21,62873.170446476724,384.142245584517,125.64785056169785,871.35
2024-10-02,9532912.524103796,-477101.07154852786,19905632.30637432,9895618.710722001,29801251.01709632,10010013.595652318,3.1261433420000864,1.0500477760959392,42,21,62873.170446476724,580.483886670271,188.5216627143862,871.35
2024-10-03,9659932.792529043,-477357.1789339444,19874598.60478565,9737308.63332266,29611907.23810831,10137289.971462991,3.0654361551055564,1.0494162008355932,42,21,62873.170446476724,773.6844547917524,251.428480009421,871.35
2024-10-04,10017767.061745336,-477618.28398315585,20482880.31450281,9987494.968774315,30470375.283277124,10495385.345728494,3.0416334394152353,1.0476771201645354,42,21,62873.170446476724,971.8490375055285,314.3689465071236,871.35
2024-10-07,9936108.236678146,-477879.1568182714,20388084.360289663,9974096.966793248,30362181.32708291,10413987.393496415,3.0557418059320214,1.0480952044236218,42,21,62873.170446476724,1169.7477868466644,377.3430322815343,871.35
2024-10-08,10024174.906110512,-478133.02144055074,20121542.0753385,9619234.147787435,29740776.223125935,10502307.927551067,2.9669051569517833,1.0476979926945504,42,21,62873.170446476724,1360.6056072392723,440.34983416829544,871.35
2024-10-09,9999170.04059951,-478384.53516704025,19976669.95313453,9499115.37736798,29475785.33050251,10477554.575766549,2.947823190407037,1.0478424242436781,42,21,62873.170446476724,1549.0801186949861,503.3890492021096,871.35
2024-10-10,9961649.469435325,-478636.8639267855,19978840.470433317,9538554.137071209,29517394.607504524,10440286.333362108,2.9631031184213827,1.0480479528410784,42,21,62873.170446476724,1738.3371452241768,566.4607824181696,871.35
2024-10-11,10175264.470439745,-478894.9722133766,20482325.277402725,9828165.8347496,30310491.112152323,10654159.442653125,2.978840618856405,1.047064621622821,42,21,62873.170446476724,1933.3404355961925,629.5657786372699,871.35
2024-10-14,10539259.196556505,-479154.9158044363,20937390.91637357,9918976.804012636,30856367.720386207,11018414.112360934,2.9277548967073432,1.0454638136199348,42,21,62873.170446476724,2130.1455309139037,692.7042743792794,871.35
2024-10-15,10196786.921256205,-479410.228655458,20360126.3574638,9683929.207552135,30044055.565015934,10676197.149911664,2.9464237898691543,1.0470158131534633,42,21,62873.170446476724,2322.2869834447,755.8756728701774,871.35
2024-10-16,10549667.635973906,-479669.4754183282,20909851.626166925,9880514.514774686,30790366.140941612,11029337.11139224,2.918610064638227,1.0454677333893136,42,21,62873.170446476724,2518.328938102928,819.0804810821479,871.35
2024-10-17,10344779.160663959,-479925.2847976252,20530313.30457332,9705608.859111734,30235922.163685054,10824704.445461586,2.92281949127123,1.0463929947023465,42,21,62873.170446476724,2710.900542450383,882.3182560317372,871.35
2024-10-18,10952647.439646956,-480189.44451001374,21557586.77072977,10124749.886572799,31682336.657302566,11432836.88415697,2.8926647033864357,1.0438423173169804,42,21,62873.170446476724,2911.78843702524,945.5900738453985,871.35
2024-10-21,10955145.396411877,-957103.7860367349,22335102.82438992,10422853.641941309,32757956.46633123,11912249.18244861,2.9901891103207445,1.0873656853838025,44,22,66041.54216650486,3109.1588100521008,1008.8954855414348,871.35
2024-10-22,10782638.081423217,-957435.902094978,22190030.241628032,10449956.258109834,32639986.499737866,11740073.983518198,3.0270872724525,1.0887942166717524,44,22,66041.54216650486,3316.4992119987246,1133.671141837976,871.35
2024-10-23,10328148.702515783,-957761.1860641439,21389416.08484231,10103506.196262386,31492922.281104695,11285909.888579924,3.0492320732595077,1.0927330941537319,44,22,66041.54216650486,3516.9656047817084,1258.4887182208429,871.35
2024-10-24,10588335.898165517,-958087.7158364007,21710597.422007427,10164173.808005506,31874771.23001293,11546423.61400192,3.0103664576352736,1.0904852023066625,44,22,66041.54216650486,3718.6357200199127,1383.3483752395189,871.35
2024-10-25,10647594.317135632,-958413.4156372669,21726235.50944475,10120227.776671842,31846463.286116593,11606007.73277291,2.990953856578167,1.0900122024836034,44,22,66041.54216650486,3919.433890191973,1508.2500059336994,871.35
2024-10-28,11057716.310551176,-958744.0174007994,22381599.71071033,10365139.382758358,32746739.09346869,12016460.327951973,2.9614378026882493,1.0867036185840626,44,22,66041.54216650486,4125.091417627655,1633.1942420304833,871.35
2024-10-29,11222459.55044713,-959076.8213877875,22655506.200661562,10473969.828826638,33129476.0294882,12181536.371834924,2.9520690968467993,1.0854604836913475,44,22,66041.54216650486,4332.908279310723,1758.1813673354254,871.35
2024-10-30,10979895.008295355,-959406.4227791663,22249719.62648341,10310418.195408886,32560137.8218923,11939301.431074524,2.965432528935202,1.0873784696533377,44,22,66041.54216650486,4537.480068902169,1883.210969122732,871.35
2024-10-31,10256012.482861208,-959726.7895669999,21058652.614705916,9842913.342277711,30901565.956983626,11215739.272428205,3.0130195345045787,1.0935769911718414,44,22,66041.54216650486,4732.775968550536,2008.2818573080015,871.35
2024-11-01,10271222.745766383,-960049.1330380637,21171716.38254293,9940444.503738487,31112160.886281416,11231271.878804443,3.0290610627741765,1.0934697997308818,44,22,66041.54216650486,4930.007010291379,2133.3942866309058,871.35
2024-11-04,10329064.376562282,-960371.8548501622,21246852.99258265,9957416.761170205,31204269.753752854,11289436.231412444,3.0210160975042983,1.0929776231261898,44,22,66041.54216650486,5127.57480317174,2258.5483058491163,871.35
2024-11-05,10549245.218790112,-960699.9649989051,21736802.98298721,10226857.799198192,31963660.7821854,11509945.183789019,3.029947652108072,1.0910681233656154,44,22,66041.54216650486,5330.488648393926,2383.744609369855,871.35
2024-11-06,12110115.379897932,-961039.3786046776,23865502.245356765,10794347.486854155,34659849.73221092,13071154.75850261,2.862057762863614,1.0793583998547154,44,22,66041.54216650486,5544.662209641033,2508.9846538953857,871.35
2024-11-07,12388017.87075876,-961385.0628266456,24457544.201368086,11108141.267782686,35565685.469150774,13349402.9335854,2.8709746660199476,1.0776060442321396,44,22,66041.54216650486,5765.0618379700545,2634.2692475343065,871.35
2024-11-08,12833812.251248939,-961729.371745084,24832131.250391275,11036589.62739725,35868720.87778853,13795541.622994024,2.7948609638027015,1.0749371545194215,44,22,66041.54216650486,5984.041790894603,2759.598213048118,871.35
2024-11-11,14284867.404425446,-962083.5783649066,26780084.13028048,11533133.147490129,38313217.27777061,15246950.98279035,2.6820842079290976,1.0673498430980781,44,22,66041.54216650486,6212.873797789248,2884.972825976151,871.35
2024-11-12,14342008.442241607,-962431.6140753666,26524298.82331815,11219858.767001178,37744157.59031933,15304440.056316972,2.631720497329455,1.0671057765689713,44,22,66041.54216650486,6435.490043166255,3010.392291059254,871.35
2024-11-13,13704445.779724572,-962772.9871176452,25549061.783992324,10881843.017150098,36430904.801142424,14667218.766842226,2.6583274790317426,1.0702526028846826,44,22,66041.54216650486,6651.399626839869,3135.855749664197,871.35
2024-11-14,13506837.360102741,-963109.7554579881,25117525.789940428,10647578.6743797,35765104.46432013,14469947.115560727,2.6479258993645036,1.071305349267244,44,22,66041.54216650486,6862.661108474386,3261.3626083725485,871.35
2024-11-15,13793793.860813173,-963446.0409987292,25378301.24691213,10621061.34510023,35999362.59201236,14757239.9018119,2.609823153460561,1.0698463418201272,44,22,66041.54216650486,7073.3964526232,3386.912804964824,871.35
2024-11-18,14254483.165325262,-963789.3006039932,26188597.13595225,10970324.670022996,37158921.80597524,15218272.465929253,2.6068235077344766,1.067613065266965,44,22,66041.54216650486,7291.0616246474665,3512.50723820461,871.35
2024-11-19,14616269.685504228,-964134.1138212353,26626790.895039964,11046387.095714495,37673177.990754455,15580403.79932547,2.577482408395697,1.065963076391333,44,22,66041.54216650486,7510.235971784659,3638.1461083094223,871.35
2024-11-20,14609158.318742335,-964480.3493950624,26689463.679310925,11115825.011173524,37805288.69048445,15573638.668137401,2.5877800668354323,1.066018885438302,44,22,66041.54216650486,7730.78805533969,3763.8295985815953,871.35
2024-11-21,14366706.253809128,-964823.8897372535,26309284.129796933,10977753.986250555,37287038.11604749,15331530.143546378,2.5953783321881003,1.067156930244985,44,22,66041.54216650486,7948.600634431963,3889.5573616804863,871.35
2024-11-22,14578406.541104577,-965169.4705333641,26621924.271878567,11078348.260240627,37700272.53211919,15543576.01163794,2.586035203903891,1.0662054160591568,44,22,66041.54216650486,8168.409131658959,4015.3296605640417,871.35
2024-11-25,14332862.327404,-965514.4535345308,26344355.455239896,11045978.67430137,37390334.12954126,15298376.780938527,2.6087136871504075,1.0673636871323666,44,22,66041.54216650486,8387.575375196684,4141.146418193064,871.35
2024-11-26,13909259.42956846,-965855.9445577358,25742880.319347728,10867764.945221532,36610645.26456926,14875115.374126196,2.6321060046332834,1.0694397821428585,44,22,66041.54216650486,8603.205632046318,4267.007184548398,871.35
2024-11-27,14185002.728451546,-966204.5738762704,26376477.927969072,11225270.625641262,37601748.55361033,15151207.30232781,2.6508101037013327,1.0681145144891866,44,22,66041.54216650486,8825.929255570945,4392.912879558427,871.35
2024-11-29,14138586.061180944,-966551.5152333827,26243081.505751323,11137943.929337,37381025.43508832,15105137.576414322,2.643901255283375,1.0683626715607124,44,22,66041.54216650486,9046.920206549854,4518.8632856917175,871.35
2024-12-02,14488567.304852135,-966898.7674012629,26606819.404919494,11151353.332666097,37758172.73758559,15455466.072253397,2.6060666968044934,1.066735291837824,44,22,66041.54216650486,9268.177217118626,4644.85844300316,871.35
2024-12-03,14924788.545144718,-967246.8167510176,27081306.023833062,11189270.661937322,38270576.685770385,15892035.36189574,2.5642290723254795,1.0648080750909992,44,22,66041.54216650486,9490.186555649128,4770.898454227399,871.35
2024-12-04,15820227.11678766,-967599.2364215747,28195072.160434645,11407245.807225404,39602317.96766005,16787826.353209242,2.5032711398710568,1.061162158373492,44,22,66041.54216650486,9716.520797855981,4896.983882577637,871.35
2024-12-05,15553777.048434833,-967948.0312663616,27744014.188792624,11222289.109091418,38966303.29788404,16521725.079701206,2.5052630738207213,1.0622323457673437,44,22,66041.54216650486,9939.185264306208,5023.114260914315,871.35
2024-12-06,16369886.164322061,-968304.0280259225,28921143.549123846,11582953.356775861,40504096.9058997,17338190.192347985,2.4743053494274028,1.0591515431632217,44,22,66041.54216650486,10169.00576741684,5149.290517364603,871.35
2024-12-09,15187793.981416615,-968656.9255479153,27580910.563432742,11424459.656468207,39005370.21990095,16156450.906964535,2.5682051170582705,1.0637786453209164,44,22,66041.54216650486,10395.681554251527,5275.512252522692,871.35
