etf,weight
NVTX,0.0999999999670999
QBTX,0.09999999996342264
ASTX,0.09999999996237986
IRE,0.09999999996214064
SMU,0.09999999996054153
NBIG,0.09999999975182217
CWVX,0.04000000000887992
IOYY,0.039999999996306185
MAAY,0.039999999995239593
MTYY,0.039999999992004424
SMYY,0.03999999999067651
XBTY,0.03999999998759074
NEBX,0.035000000137222737
QBTZ,0.025000000003535923
CORD,0.025000000002525256
ETHD,0.02500000000178527
MSDD,0.025000000000025814
PLTZ,0.024999999963528117
CRWG,1.029932308888497e-10
CLSX,3.78421960687846e-11
CONI,2.8364075204648312e-11
WULX,2.790095216610352e-11
FBYY,2.540378513071719e-11
NBIL,2.1032771326965737e-11
OKLL,2.0527448252336757e-11
LABX,2.0205290440457435e-11
RGTX,1.60845208462473e-11
COYY,1.2778831671631927e-11
IREX,1.1864077301484375e-11
CRDU,8.503353800345474e-12
GLXU,6.6028630063254495e-12
RKLX,5.354590337082235e-12
CRWU,4.350874280488258e-12
ETHU,1.7862006801323752e-12
IONX,9.63351456065389e-13
ETU,4.782742079624179e-13
MSTZ,2.3554953218285195e-13
RGTU,6.60751998352445e-16
ETHT,0.0
CONL,0.0
INTW,0.0
APPX,0.0
MUU,0.0
AMDL,0.0
COIA,0.0
RIOX,0.0
BAIG,0.0
IONL,0.0
ROBN,0.0
PTIR,0.0
HOOX,0.0
TEMT,0.0
UPSX,0.0
COIG,0.0
SOUX,0.0
AMUU,0.0
QUBX,0.0
AMDG,0.0
AVXX,0.0
OSCX,0.0
NUGT,0.0
MULL,0.0
RDTL,0.0
COZX,0.0
JNUG,0.0
PLTU,0.0
BABX,0.0
HOOG,0.0
KTUP,0.0
RBLU,0.0
LMNX,0.0
ARCX,0.0
SOFX,0.0
MPL,0.0
BITX,0.0
PLTA,0.0
ANEL,0.0
TSLI,0.0
UNX,0.0
QSU,0.0
SBTU,0.0
MPG,0.0
ORCX,0.0
TSLL,0.0
SNOU,0.0
VRTL,0.0
BITU,0.0
BTCL,0.0
AVGG,0.0
URAA,0.0
NVOX,0.0
BULX,0.0
GEVX,0.0
LRCU,0.0
TSLR,0.0
UBRL,0.0
AVL,0.0
PONX,0.0
CVNX,0.0
DKNX,0.0
GLGG,0.0
GDXU,0.0
FBL,0.0
VSTL,0.0
TSLT,0.0
XYZG,0.0
MVLL,0.0
OPEX,0.0
CWEB,0.0
LLYX,0.0
AVGX,0.0
PALU,0.0
SHPU,0.0
NVDG,0.0
MSTX,0.0
SOXL,0.0
QCMU,0.0
AMZZ,0.0
TSMU,0.0
AFRU,0.0
NVDU,0.0
TSMG,0.0
CEGX,0.0
GOOX,0.0
METU,0.0
NVDL,0.0
PLTG,0.0
CRMG,0.0
ETRL,0.0
NFLU,0.0
TSLG,0.0
SRPU,0.0
ARMG,0.0
PANG,0.0
HIMZ,0.0
AMZU,0.0
JOBX,0.0
YINN,0.0
BOEU,0.0
NVDB,0.0
DLLL,0.0
MSFU,0.0
NOWL,0.0
UNHG,0.0
MRAL,0.0
NFXL,0.0
AVGU,0.0
CRWL,0.0
BOEG,0.0
ASMG,0.0
QPUX,0.0
MSTU,0.0
SMCL,0.0
TARK,0.0
TTDU,0.0
NVDX,0.0
DJTU,0.0
GMEU,0.0
MSTP,0.0
LULG,0.0
