etf,underlying,pair_frac_merged
NVTX,NVTS,0.0999999999706727
QBTX,QBTS,0.09999999991630959
ASTX,ASTS,0.09999999989033938
IRE,IREN,0.09999999966050091
SMU,SMR,0.0999999996223186
NBIG,NBIS,0.09999817670093465
IOYY,IONQ,0.039999999949510534
MAAY,MARA,0.039999999944840575
MTYY,MSTR,0.039999999935726636
SMYY,SMCI,0.03999999993321534
XBTY,IBIT,0.039999999919343165
CWVX,CRWV,0.03999998016907037
NEBX,NBIS,0.035001822791704225
QBTZ,QBTS,0.024999999992514624
CORD,CRWV,0.0249999999890217
ETHD,ETHA,0.024999999984639202
MSDD,MSTR,0.024999999947498002
PLTZ,PLTR,0.024999999337714112
CRWG,CRWV,1.8593223877183837e-08
CONI,COIN,7.19030119237006e-10
FBYY,META,2.0294813178330912e-10
NBIL,NBIS,1.8271458984876407e-10
COYY,COIN,1.144155140345058e-10
WULX,WULF,1.111145822930062e-10
CLSX,CLSK,1.1082664234202608e-10
LABX,ALAB,1.069351325373566e-10
OKLL,OKLO,9.976336085764403e-11
IREX,IREN,8.008945875805923e-11
CRDU,CRDO,5.979084980058805e-11
RGTX,RGTI,5.377917728973513e-11
GLXU,GLXY,5.351019075201315e-11
CRWU,CRWV,4.472693836233433e-11
RKLX,RKLB,3.6340104502720454e-11
MSTZ,MSTR,2.9582161951809094e-11
RGTU,RGTI,2.5524445126146465e-11
ETHU,ETHA,2.4111148367361025e-11
RIOX,RIOT,2.3632059713056464e-11
INTW,INTC,2.3611423365698436e-11
COZX,CORZ,2.3046191524823893e-11
OSCX,OSCR,2.3008616001833926e-11
MUU,MU,2.2769854413633813e-11
LMNX,LMND,2.2615595535367915e-11
SOUX,SOUN,2.2579090524311995e-11
KTUP,KTOS,2.2560213532278363e-11
UPSX,UPST,2.2384043624986773e-11
ROBN,HOOD,2.2335429075021858e-11
AVXX,AVAV,2.231475663039939e-11
TEMT,TEM,2.2108133524874378e-11
HIMZ,HIMS,2.1863723785112623e-11
CONL,COIN,2.162577896682701e-11
COIA,COIN,2.1616118777715665e-11
HOOX,HOOD,2.1409608374129206e-11
APPX,APP,2.1404877083032218e-11
RDTL,RDDT,2.1371921233325508e-11
ARCX,ACHR,2.1202442390380296e-11
MPL,MP,2.0941223372397635e-11
IONL,IONQ,2.0703942701437312e-11
ETU,ETHA,2.0572625316063418e-11
SBTU,SBET,2.0255130295766115e-11
AMDL,AMD,2.0211787451299145e-11
QSU,QS,2.0057269894376995e-11
UNX,U,1.985307326083262e-11
COIG,COIN,1.9812958482662197e-11
AMUU,AMD,1.961183954046096e-11
