etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,haircut_factor,ema_applied,prev_w_book
AMUU,AMD,479.0,272.0,0.2748153392142456,0.09156558660561169,1.050453257502433,0.005726357772263952,1.0,True,0.002280286495325665
AMZU,AMZN,479.0,500.0,0.05729474531846235,0.07301989067273439,0.27462600500646417,0.0023412893870973146,1.0,True,0.0003128320623019082
AVL,AVGO,479.0,391.0,0.1413311508968339,0.08068106665188655,0.6131042246543627,0.0039992958221607405,1.0,True,0.0008965770603175053
BOEU,BA,479.0,259.0,0.055137942129139,0.07801059026916192,0.24738025540651984,0.0021837555045813952,1.0,True,0.00028001332467432884
METU,META,479.0,478.0,0.07101414248016169,0.07301989067273439,0.3403860186459773,0.002701521733562457,1.0,True,0.0004038896027956632
MSFU,MSFT,479.0,500.0,0.04801401738809715,0.07301989067273439,0.2301414851626031,0.0020810887328346003,1.0,True,0.0002550193061632732
MUU,MU,479.0,391.0,0.33713884514002523,0.08481648312617515,1.3912224540537848,0.006905975648905314,1.0,True,0.0036214826652011447
NFXL,NFLX,479.0,396.0,0.06752613286114806,0.11258380496719447,0.20992492222383596,0.001957356764009244,1.0,True,0.0002466512995654674
NVDU,NVDA,479.0,500.0,0.07708896070734375,0.07301989067273439,0.3695039255604509,0.002853470331693317,1.0,True,0.00044642600062802295
PALU,PANW,479.0,277.0,0.09065630942691791,0.07301989067273439,0.43453513839988717,0.00317914686425357,1.0,True,0.0005465976714598062
PLTU,PLTR,479.0,348.0,0.2297592814627173,0.08454104399148438,0.9512036368991509,0.005359730979719281,1.0,True,0.0018072982827216626
QCMU,QCOM,479.0,216.0,0.10915044821007686,0.09323693253980302,0.40973738445565133,0.003057016040624537,1.0,True,0.0005448012045906848
SHPU,SHOP,479.0,187.0,0.1382252343269848,0.11447289986960685,0.4226225776542026,0.003120774964799334,1.0,True,0.0006129812425260154
TSLL,TSLA,479.0,500.0,0.15637708752792445,0.07559891474630548,0.7239783906745607,0.00446797834320716,1.0,True,0.0011066490269264653
YINN,FXI,479.0,500.0,0.088083256101669,0.1195643050176153,0.25784568087475707,0.002244918424745052,1.0,True,0.000322130002606658
SOXL,SOXX,479.0,500.0,0.16677228042095493,0.14074566502559435,0.41472181851369766,0.0030817583388428097,1.0,True,0.0006552106668075271
CWEB,KWEB,479.0,500.0,0.09636249958192031,0.07301989067273439,0.4618861318874271,0.003311188757618149,1.0,True,0.0005909218835294909
NUGT,GDX,479.0,500.0,0.21488861006114596,0.07301989067273439,1.0300072052762586,0.005651809288661497,1.0,True,0.0018709209508481447
JNUG,GDXJ,479.0,500.0,0.2173321980968905,0.07712594712016706,0.9862604243341823,0.005490624302819622,1.0,True,0.0018053449586101086
URAA,URA,479.0,465.0,0.19805976663712183,0.09998019130362101,0.6933465261381432,0.0043410443183859535,1.0,True,0.0012008580116865558
MSTU,MSTR,479.0,407.0,0.04306919697835314,0.14482314838569088,0.10408708214434173,0.0012261921923375967,1.0,True,0.00011370800235756066
NVDX,NVDA,479.0,500.0,-0.0330393082768397,0.08331329695659806,0.0,0.0,1.0,True,0.0
TSLT,TSLA,479.0,500.0,0.11750324387020766,0.0819861584618686,0.5016229096000425,0.0034984760000696547,1.0,True,0.0006835387644945001
BTCL,IBIT,479.0,456.0,0.15507177613779183,0.07751286519746291,0.700207914001915,0.004369636733028895,1.0,True,0.0010663098548015881
ETU,ETHA,426.0,381.0,0.47820192005135387,0.0887923888524796,1.8849664276523166,0.008455962923122715,1.0,True,0.007379784368108301
CRWU,CRWV,255.0,194.0,0.6570749393405568,0.1428727891938139,1.6096573047035634,0.007611138184167612,1.0,True,0.010638231528917285
GOOX,GOOGL,479.0,500.0,0.07731011660228165,0.07788420000324313,0.34742015466130294,0.00273861298615167,1.0,True,0.00042006807592379747
NFLU,NFLX,479.0,400.0,0.06983147649988605,0.0765437539567327,0.31930778818054445,0.0025888109167760847,1.0,True,0.00037755726157634873
ROBN,HOOD,479.0,315.0,0.32938351385918574,0.09987623045520935,1.154270934388293,0.006097696861791556,1.0,True,0.0029428630524910827
DJTU,DJT,479.0,294.0,-0.12371309531123936,0.14106303981573687,0.0,0.0,1.0,True,0.0
RBLU,RBLX,479.0,294.0,0.24114376900405485,0.09751890798681107,0.8654764588097511,0.005032658906299569,1.0,True,0.0017019754029211106
SNOU,SNOW,479.0,258.0,0.24240343285032315,0.11848801320067584,0.7160319361075181,0.004435224275281651,1.0,True,0.0014151239338359221
SMUP,SMR,479.0,193.0,-2.265814984293445,2.8176129797752756,0.0,0.0,1.0,True,0.0
GLXU,GLXY,221.0,185.0,0.5892370081488366,0.12895979033299576,1.5992035371611943,0.007578149199530816,0.876984126984127,True,0.008689951392463553
AFRU,AFRM,479.0,159.0,0.1606828463092288,0.14809269009185583,0.3797553827494614,0.0029060067312000762,1.0,True,0.0005892552730326192
KTUP,KTOS,479.0,159.0,0.33215528410801953,0.13135922380276116,0.885010934689789,0.00510810420294066,1.0,True,0.0022815262548534156
TTDU,TTD,479.0,158.0,0.017359017775205002,0.1390579609331623,0.043691538266133444,0.0006874253559965844,1.0,True,4.420471512103297e-05
SBTU,SBET,479.0,134.0,0.45819501457025413,0.21376511933651943,0.7502077775707151,0.004575252129665648,1.0,True,0.002816679811361701
GMEU,GME,479.0,258.0,-0.1727628534034103,0.12628152664442782,0.0,0.0,1.0,True,0.0
APPX,APP,479.0,257.0,0.4391660157611988,0.1091290048905649,1.4084991031537288,0.006963031718816137,1.0,True,0.0049525017671150535
ARCX,ACHR,479.0,226.0,0.30662236708174584,0.12396434268712173,0.8657153029034692,0.00503358476670351,1.0,True,0.0020690515391696023
ASTX,ASTS,479.0,205.0,0.8982400211246813,0.11458330383878995,2.7437156798686217,0.010860589372729762,1.0,True,0.048019584628310186
CEGX,CEG,479.0,205.0,0.10580986311975854,0.10772031980463316,0.3437926303884092,0.0027195165046945205,1.0,True,0.00045272166950061457
CLSX,CLSK,479.0,159.0,0.7397864739821122,0.138969577728203,1.863179482347898,0.00839067923767484,1.0,True,0.015476943140597013
COZX,CORZ,479.0,123.0,0.4105642881481457,0.14375567255136731,0.9995953432759633,0.005540004785001898,1.0,True,0.0032475297356335748
CRDU,CRDO,479.0,159.0,0.681822739020806,0.14224219167543176,1.6776875823300461,0.00782410584587809,1.0,True,0.01188181426914566
CWVX,CRWV,255.0,205.0,0.7994357410764996,0.14004863486325025,1.9978953000861919,0.008790410176076745,1.0,True,0.022635581340929765
GEVX,GEV,479.0,205.0,0.1998093436417371,0.10390480058293844,0.6730513882155632,0.004255913638002349,1.0,True,0.0011716887354821573
IREX,IREN,479.0,132.0,0.704883335239822,0.17222718776241164,1.4324635415534646,0.007041789553430324,1.0,True,0.010913890185316714
JOBX,JOBY,479.0,164.0,0.11233525650458889,0.15419561131897688,0.25498352022012005,0.0022282747140932413,1.0,True,0.0003425679629671922
LABX,ALAB,479.0,183.0,0.7312180061168471,0.1468854643608584,1.742352813837003,0.008023885530674478,1.0,True,0.014180120872647368
LRCU,LRCX,479.0,178.0,0.20744252911473804,0.11017989776695261,0.658966714089069,0.004196330081675466,1.0,True,0.0011737419980542127
NEBX,NBIS,363.0,164.0,0.8165033867782027,0.11839452418101055,2.4137618470889293,0.009971418315370115,1.0,True,0.027654404541728895
NVTX,NVTS,479.0,164.0,1.0777538499189023,0.16893664830927235,2.232871619312882,0.009466799070424706,1.0,True,0.06305331423859342
OPEX,OPEN,479.0,132.0,0.2547997840423162,0.1852817030371645,0.4813207292083374,0.0034034316585913756,1.0,True,0.0009889361744570154
PONX,PONY,336.0,164.0,0.25843231683278156,0.15400084477392045,0.5873429527237969,0.0038864686168786564,1.0,True,0.0012188749486576748
QBTX,QBTS,479.0,257.0,0.9197609794585558,0.14558671258854763,2.2111656832329465,0.0094053475284145,1.0,True,0.042244367590075174
QUBX,QUBT,479.0,217.0,0.46893733927606784,0.15817907261181255,1.0376092490402355,0.005679584254723087,1.0,True,0.0040047888833398635
RGTU,RGTI,479.0,217.0,0.45964523367283683,0.16040776671028978,1.0029179701507127,0.00555227454085753,1.0,True,0.0037676737393239276
SMU,SMR,479.0,205.0,0.8457980837398777,0.13221933420810325,2.2389261833903156,0.00948390453796782,1.0,True,0.035238550032793706
SRPU,SRPT,479.0,131.0,0.2774161205527923,0.3156616867767554,0.30759400415339605,0.0025251037920144934,1.0,True,0.0006771998944480088
TARK,ARKK,479.0,500.0,0.016421516801473905,0.12286082680111973,0.046780825346549634,0.0007194587687883082,1.0,True,4.719619698381184e-05
TEMT,TEM,451.0,245.0,0.32261076202110084,0.10099045337596113,1.1180637667506728,0.005969505719528228,1.0,True,0.002795314863899331
UNX,U,479.0,159.0,0.45954351886617717,0.21146566026091917,0.7605974010376321,0.004617396985387867,1.0,True,0.0028668736330417183
UPSX,UPST,479.0,226.0,0.3261722227251564,0.10797888770929323,1.0572462855993978,0.005751018557881116,1.0,True,0.0026730274300729973
WULX,WULF,479.0,132.0,0.736392844531341,0.1666600320352093,1.546486535725126,0.007410680433201512,1.0,True,0.012850900587857424
OKLL,OKLO,479.0,217.0,0.7446619215231942,0.11448122566228418,2.2766324436634946,0.009590088258638885,1.0,True,0.018927999834030197
GDXU,GDX,479.0,500.0,0.260126091716469,0.1568931970124009,0.5802936891748594,0.0038553092652859606,1.0,True,0.0012103579803138035
BITX,IBIT,479.0,500.0,0.17014358798308754,0.07301989067273439,0.8155347158896349,0.004837143360532591,1.0,True,0.001298404682991133
ETHU,ETHA,426.0,447.0,0.5192129870010908,0.08604525834458748,2.111964667740611,0.00912189542791526,1.0,True,0.009279382914521447
MSTX,MSTR,479.0,430.0,0.14819273300028618,0.1281112269133363,0.4048626947050243,0.0030327212750507295,1.0,True,0.0006050681605533233
ORCX,ORCL,479.0,310.0,0.200163834554476,0.09508823905846936,0.7367613785653201,0.00452041761110835,1.0,True,0.0012835001633369843
IONX,IONQ,479.0,288.0,0.5187429328492708,0.11002858495094309,1.650116890789738,0.007738149753542693,1.0,True,0.0072979802077343635
HIMZ,HIMS,479.0,286.0,0.3156530660468852,0.3842681050305839,0.28750388510026564,0.002413921459179312,1.0,True,0.0007098128325086573
IRE,IREN,479.0,134.0,0.8646755371163328,0.1330190442283526,2.275136163744969,0.009585885844439406,1.0,True,0.03754615414999204
AVGX,AVGO,479.0,425.0,0.0971937240653438,0.07800632342185052,0.4360903312787272,0.0031867277503046,1.0,True,0.0005593795742309272
RKLX,RKLB,479.0,287.0,0.5666296206957606,0.09176523511117171,2.161171025206388,0.00926303733625182,1.0,True,0.010878173689327761
RGTX,RGTI,479.0,274.0,0.7036731946148591,0.11822216653383422,2.0832439916816763,0.009039007546239252,1.0,True,0.01552621582867602
SOFX,SOFI,479.0,325.0,0.19785519572999327,0.08236777963481919,0.8407330974868721,0.004936275840529254,1.0,True,0.0014533978764992858
NVOX,NVO,479.0,354.0,0.18267019836602383,0.09338265935915321,0.6846514103032082,0.004304674606531377,1.0,True,0.0011324313845874024
LLYX,LLY,479.0,435.0,0.09532969741771319,0.07361000707377705,0.4532725294097378,0.0032698933643232207,1.0,True,0.0005780969709892065
SOUX,SOUN,479.0,217.0,0.3313024685437735,0.1097302240800749,1.0567358716564972,0.005749167436820053,1.0,True,0.002712402836327389
QPUX,IONQ,479.0,186.0,0.18559617040940052,0.5216650707270575,0.12452177323805806,0.0013818392407342944,1.0,True,0.00020852723033301128
HOOX,HOOD,479.0,283.0,0.31281636146865255,0.09670356095742569,1.1321788508101591,0.00601964225836937,1.0,True,0.0027493681410844513
RIOX,RIOT,479.0,333.0,0.3901280006373154,0.11222902604041061,1.2166620796824372,0.006315493685696126,1.0,True,0.003711094926484059
QSU,QS,479.0,134.0,0.2839519373685207,0.13253788250891674,0.7498473357026513,0.004573786540570347,1.0,True,0.0016768335813385066
MPL,MP,479.0,134.0,0.29888047025097675,0.12463780418317096,0.8392972362872101,0.0049306539009697035,1.0,True,0.0019605208951168573
OSCX,OSCR,479.0,152.0,0.34234983535791297,0.11608565430512123,1.032189921248378,0.005659791071968266,1.0,True,0.00273838604136244
DKNX,DKNG,479.0,191.0,0.16882059173711345,0.10438803843026835,0.566034269792896,0.0037918906743538705,1.0,True,0.0008988833794419455
