etf,weight
NVTX,0.09999999825320183
ASTX,0.06803914431623427
QBTX,0.06295960998242567
IRE,0.04403794143410761
SMU,0.04314289288923232
IOYY,0.039999999242526216
MAAY,0.03999999837434961
NBIG,0.038454105384416716
MTYY,0.03309944770517236
NEBX,0.03283299381525129
XBTY,0.03265806534438574
SMYY,0.02981101655213654
CWVX,0.02569187643599039
QBTZ,0.02500000014615968
CORD,0.025000000116407215
ETHD,0.025000000109155575
CRWG,0.02489937971202996
NBIL,0.02400003919611912
MSDD,0.021838834000767905
OKLL,0.01973669569983817
PLTZ,0.017783939631742417
CLSX,0.015579686411748204
RGTX,0.01500920294423742
FBYY,0.014495295912192781
LABX,0.01422735289588792
WULX,0.013007087460451377
IREX,0.01086107010826031
CRDU,0.010783844693044891
COYY,0.00993617686923672
CRWU,0.009034288936724756
RKLX,0.007862710373516895
CONI,0.007216059933115788
GLXU,0.0064986645078464154
ETHU,0.00608133882498888
IONX,0.004824030168939791
ETU,0.004428538730456771
MSTZ,0.003161166062651377
BAIG,0.0030784895083603857
ETHT,0.0030015389059566936
APPX,0.0027763392139660377
QUBX,0.002470593744233074
CONL,0.00236764392248848
RGTU,0.0022043171799977276
IONL,0.0021526145608927504
INTW,0.0020178010453142515
COIA,0.0019386833013559724
AVXX,0.0019238003803477347
RIOX,0.0018429540320382479
COZX,0.0017203192785818174
UNX,0.00168023522813536
MUU,0.0016408415377442006
SBTU,0.0016034234275391348
ROBN,0.0013541168544100425
OSCX,0.0012696807215320394
SOUX,0.0012359975452158757
TEMT,0.0012349362274703566
AMDL,0.0012284347268773509
UPSX,0.0012163316733456596
HOOX,0.0012131232911010608
COIG,0.0011162007934937116
RDTL,0.0010442538629986068
KTUP,0.0010255027395729248
LMNX,0.001024624996189483
PTIR,0.001004883126183746
AMUU,0.0009253323302252031
ARCX,0.0008926668833498599
AMDG,0.0008925904793061308
MULL,0.0008834930560645918
MPL,0.0008278624606343387
HOOG,0.0007804505911088091
QSU,0.0007081670828486301
PLTU,0.000680312779549515
NUGT,0.0006634071820498589
JNUG,0.0006559121067877919
RBLU,0.0006491413725663042
MPG,0.000632647108805948
BABX,0.0005600230413539939
SNOU,0.0005562896691283814
SOFX,0.0005070335469073115
ANEL,0.0004838027005220259
PLTA,0.00048056493706667204
PONX,0.0004706275458743358
GDXU,0.00046080396837463745
VRTL,0.0004589048159581346
BULX,0.00044939486728915286
ORCX,0.0004480561487101079
GLGG,0.0004297196976885671
LRCU,0.000426380528134095
BITX,0.00042475429182886756
TSLI,0.00042359330958297237
URAA,0.0004116044903807777
GEVX,0.0004106369634997887
OPEX,0.00039295961010115104
NVOX,0.00038310021199651766
TSLL,0.00036172576346594435
AVGG,0.00036024985180642193
CVNX,0.00034346614373412314
BTCL,0.00033834797676407166
BITU,0.0003287467657962544
HIMZ,0.0003143934574326926
TSLR,0.0003082032798923693
DKNX,0.0003048370379837552
AVL,0.000276779129289724
SRPU,0.00027483472879605915
UBRL,0.000260300370036514
XYZG,0.00024894669783296237
VSTL,0.00024206334351478694
FBL,0.00022501765069468904
MVLL,0.00022351153299671707
SOXL,0.00021272171397980778
TSLT,0.00020544656989926694
MSTX,0.00020539168475866681
SHPU,0.00019489371566061992
AFRU,0.0001905976741648609
CWEB,0.0001669561948472955
LLYX,0.00016645645071194592
AVGX,0.00015919838724654501
NVDG,0.00015766538966331025
QCMU,0.00015556583747056732
PALU,0.00015276351963647202
AMZZ,0.00013491019977136402
CEGX,0.00013417080684335618
PLTG,0.00013271519978169593
TSMG,0.00012806327437427873
TSMU,0.00012700428329681955
NVDU,0.0001235050906039459
ETRL,0.00011826275190128054
GOOX,0.00011487505709589324
METU,0.00010972890787348629
NVDL,0.00010955389428763816
CRMG,0.00010882116523167708
TSLG,0.00010245346722016828
ARMG,0.00010178502647772494
JOBX,0.00010126885637631671
NFLU,9.934060126466509e-05
PANG,9.086752069994636e-05
YINN,8.806972684982085e-05
AMZU,8.217368093912263e-05
DLLL,7.962311698895507e-05
BOEU,7.408487876217593e-05
NOWL,7.367150956156305e-05
MRAL,7.271138784339591e-05
NVDB,7.134301556904399e-05
QPUX,6.990581966072015e-05
MSFU,6.576139414596403e-05
UNHG,6.541972047524079e-05
NFXL,6.413461066721941e-05
AVGU,4.258369684355174e-05
CRWL,3.856897631612833e-05
BOEG,3.679346581606831e-05
MSTU,3.334945811933088e-05
ASMG,3.246502975502417e-05
SMCL,1.9940725150074088e-05
TARK,1.1829443694035463e-05
TTDU,1.0754593677843567e-05
NVDX,0.0
DJTU,0.0
GMEU,0.0
MSTP,0.0
LULG,0.0
