etf,weight
MSFU,0.0999995642989907
CWEB,0.09999950416118314
TARK,0.05983011209176165
BITX,0.04570402861200058
BITU,0.04506435457934564
BTCL,0.04423089253195549
BOEU,0.0409916764151755
FBYY,0.04000032372045559
XBTY,0.04000016231876649
COYY,0.040000019171193855
MTYY,0.04000000622502381
GOOX,0.03299285000691827
SMYY,0.026684128506823782
NVDU,0.025540635479730373
PLTZ,0.025000274339863217
ETHD,0.025000059147828428
CONI,0.025000049827877915
NVDL,0.024585681802856536
CORD,0.020873969425507136
MSTU,0.020626378872492624
MSTX,0.020279449856093458
NFXL,0.01917388141507581
MSDD,0.01892543803773036
NVDG,0.018409765152954446
PALU,0.014261682939911077
PANG,0.013309903118307195
UBRL,0.012980509839260647
NUGT,0.009398652212620272
MAAY,0.006993677730008927
IOYY,0.006321682327727595
MSTZ,0.0060746386595604066
NFLU,0.005659045898275982
CONL,0.0056478547048016865
LLYX,0.005377067678354389
QBTZ,0.004125570561632541
TSMG,0.0037407151012684554
TSMU,0.0024737825136057295
BOEG,0.002434720274301265
COIG,0.002287288076994975
ASMG,2.147064495194297e-09
CRWL,2.1869967042372713e-10
ASTX,0.0
NBIL,0.0
NEBX,0.0
NBIG,0.0
OKLL,0.0
IRE,0.0
SMU,0.0
NVTX,0.0
QBTX,0.0
CRWG,0.0
RKLX,0.0
ETHU,0.0
RGTX,0.0
CWVX,0.0
ETU,0.0
CLSX,0.0
LABX,0.0
CRDU,0.0
ETHT,0.0
IONX,0.0
CRWU,0.0
GLXU,0.0
WULX,0.0
INTW,0.0
IREX,0.0
APPX,0.0
MUU,0.0
AMDL,0.0
COIA,0.0
RIOX,0.0
BAIG,0.0
IONL,0.0
PTIR,0.0
ROBN,0.0
HOOX,0.0
TEMT,0.0
UPSX,0.0
SOUX,0.0
AMUU,0.0
AMDG,0.0
AVXX,0.0
QUBX,0.0
OSCX,0.0
MULL,0.0
RDTL,0.0
RGTU,0.0
COZX,0.0
JNUG,0.0
PLTU,0.0
BABX,0.0
HOOG,0.0
KTUP,0.0
LMNX,0.0
ARCX,0.0
RBLU,0.0
SOFX,0.0
MPL,0.0
PLTA,0.0
ANEL,0.0
TSLI,0.0
UNX,0.0
SBTU,0.0
QSU,0.0
ORCX,0.0
MPG,0.0
TSLL,0.0
VRTL,0.0
SNOU,0.0
AVGG,0.0
URAA,0.0
NVOX,0.0
TSLR,0.0
BULX,0.0
GEVX,0.0
LRCU,0.0
AVL,0.0
CVNX,0.0
PONX,0.0
GDXU,0.0
VSTL,0.0
DKNX,0.0
FBL,0.0
GLGG,0.0
TSLT,0.0
XYZG,0.0
MVLL,0.0
OPEX,0.0
AVGX,0.0
SHPU,0.0
SOXL,0.0
QCMU,0.0
AMZZ,0.0
AFRU,0.0
CEGX,0.0
METU,0.0
PLTG,0.0
ETRL,0.0
TSLG,0.0
CRMG,0.0
SRPU,0.0
ARMG,0.0
HIMZ,0.0
AMZU,0.0
YINN,0.0
JOBX,0.0
NVDB,0.0
DLLL,0.0
NOWL,0.0
UNHG,0.0
MRAL,0.0
AVGU,0.0
QPUX,0.0
SMCL,0.0
TTDU,0.0
NVDX,0.0
DJTU,0.0
GMEU,0.0
MSTP,0.0
LULG,0.0
SMCZ,0.0
