etf,weight
NVTX,0.04788135860931453
IOYY,0.038574484375989704
MAAY,0.03707048307229632
ASTX,0.03515201690577033
XBTY,0.03238725942975144
QBTX,0.03186485086527681
MTYY,0.029217594107985148
SMYY,0.028109813057046792
IRE,0.027593876828643234
SMU,0.026194231319162372
NEBX,0.02559329732734676
NBIG,0.025173965079488367
QBTZ,0.025000000120325726
ETHD,0.025000000081810667
CORD,0.025000000075298318
NBIL,0.02251855614692746
CRWG,0.022515144269981524
CWVX,0.0212157175411823
OKLL,0.0199310659910704
FBYY,0.01960120907924936
MSDD,0.019301472870319112
CLSX,0.01693042867963686
RGTX,0.016732825155138017
PLTZ,0.016336793353363875
LABX,0.015762835697104592
COYY,0.015039156877681294
WULX,0.014514093815504767
CRDU,0.013294797638015264
IREX,0.012411865359333925
CRWU,0.011938002886231841
RKLX,0.011670777692573367
ETHU,0.010163027459028081
GLXU,0.009803526478495642
CONI,0.008663206332938028
IONX,0.008219068256624364
ETU,0.008215273816334181
ETHT,0.006248897378993747
BAIG,0.005801325805549173
APPX,0.005764194991630776
MSTZ,0.005698527165944306
CONL,0.0053128864085984955
QUBX,0.004882718760187241
INTW,0.0048692711235141985
IONL,0.0047245981098521924
RGTU,0.00461345804555568
COIA,0.004611414963320126
RIOX,0.00439291261844262
AVXX,0.004287377525920597
MUU,0.004230933829121173
COZX,0.0039932220895871045
UNX,0.0037022277290739178
SBTU,0.003652297331936737
ROBN,0.0035425970890366285
AMDL,0.0035222104126741175
TEMT,0.0033861422603305396
OSCX,0.003373881871918377
HOOX,0.003317928521596624
SOUX,0.0033014899136993097
UPSX,0.0032726444994019307
COIG,0.0031416654739481625
PTIR,0.003022728136718676
RDTL,0.0029922366266993414
KTUP,0.0028735533230511367
LMNX,0.002848268568441475
AMUU,0.002792971832151081
AMDG,0.002733556911277496
MULL,0.002681001464559272
ARCX,0.002619321982032808
MPL,0.002488314564398223
HOOG,0.002438978100839361
NUGT,0.0023291169936831783
PLTU,0.002262159842806912
JNUG,0.0022575068392434055
QSU,0.002172879042065929
RBLU,0.00216799686352989
BABX,0.0020457020000566057
MPG,0.002026792365318793
SNOU,0.0018750005325376266
SOFX,0.0018551821411923548
ANEL,0.0018202432394330296
PLTA,0.0018030746894898517
VRTL,0.0017250785172577099
BITX,0.0016857842190876088
ORCX,0.0016829740411180274
PONX,0.00165479747366616
GDXU,0.0016534012073306647
BULX,0.001644388175602158
TSLI,0.0016246038635799286
URAA,0.0015932458723325852
LRCU,0.0015662167547308868
GEVX,0.0015644877228678522
NVOX,0.0015112619661740443
GLGG,0.0014682367117777675
AVGG,0.001465883468128702
TSLL,0.0014606181319160355
BTCL,0.0014219606190482479
BITU,0.0014066424930604985
OPEX,0.0013940486331112363
CVNX,0.0013937524828760278
TSLR,0.0013434910481319301
DKNX,0.0012440368236034975
AVL,0.0012191344991327644
UBRL,0.0011909048240135941
VSTL,0.0011318751413555207
HIMZ,0.001109152996497409
XYZG,0.0010911506664564434
FBL,0.0010591809974105956
SRPU,0.0010421223672700613
MVLL,0.0010007214332236045
TSLT,0.0009649484269583884
SOXL,0.000954194238078666
SHPU,0.0008909554917517507
MSTX,0.0008886179054507345
AFRU,0.0008733055023823001
CWEB,0.0008556014712365825
LLYX,0.000838940557542156
AVGX,0.0008103051014428815
NVDG,0.0008082084123338229
QCMU,0.000801421314921373
PALU,0.0007976075127258535
AMZZ,0.0007138013000224518
TSMU,0.0006899529022641611
TSMG,0.0006866492441688095
CEGX,0.0006860914175522763
NVDU,0.0006693579725445523
PLTG,0.000667690114177065
ETRL,0.0006451744798369399
GOOX,0.0006451730420337761
METU,0.0006451633603617966
NVDL,0.0006451629244618512
TSLG,0.000645162561650217
CRMG,0.0006451623285197073
NFLU,0.0006451621624494435
ARMG,0.0006451618690549122
JOBX,0.0006451617341445389
PANG,0.0006451616193470519
YINN,0.0006451615675456726
AMZU,0.0006451614936060192
DLLL,0.0006451614279409212
NVDB,0.0006451614079285303
NOWL,0.0006451614059905873
BOEU,0.0006451613968575803
UNHG,0.0006451613486201195
MSFU,0.0006451613473635056
MRAL,0.0006451613436879052
NFXL,0.0006451613392394961
QPUX,0.0006451613134731568
CRWL,0.0006451612600814051
AVGU,0.0006451612592400273
BOEG,0.0006451612483132463
ASMG,0.0006451612429299497
MSTU,0.0006451612338968352
SMCL,0.0006451612141685631
TARK,0.0006451612003353778
TTDU,0.0006451611990043653
NVDX,0.0
DJTU,0.0
GMEU,0.0
MSTP,0.0
LULG,0.0
SMCZ,0.0
