bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,NVTX,NVTS,0.04788135860931455,0.0709353460878734,479.0,164.0,1.0777538499189023,0.16893664830927235,2.232871619312882,0.010545313785514451,0.008018187608963721,0.039863171000350826,1.0,True
whitelist_stock,IOYY,IONQ,0.0385744843759897,0.19287242187994844,479.0,124.0,0.5926066944842076,0.26535583080425484,0.7816385358514114,0.030962340914045684,0.03421057722693997,0.004363907149049724,1.0,True
whitelist_stock,MAAY,MARA,0.037070483072296316,0.18535241536148153,479.0,124.0,0.5729627896025853,0.24869713312505784,0.806350173164499,0.03174299969786831,0.03126817614935825,0.005802306922938066,1.0,True
core_leveraged,ASTX,ASTS,0.03515201690577034,0.05207706208262273,479.0,205.0,0.8982400211246813,0.11458330383878995,2.7437156798686217,0.01243482816789276,0.01145853439405963,0.02369348251171071,1.0,True
whitelist_stock,XBTY,IBIT,0.03238725942975143,0.16193629714875712,479.0,245.0,0.5034327013497057,0.2095203813519202,0.8409752041088587,0.03282884253941686,0.03656272948573051,-0.004175470055979076,1.0,True
core_leveraged,QBTX,QBTS,0.03186485086527682,0.04720718646707677,479.0,257.0,0.9197609794585558,0.14558671258854763,2.2111656832329465,0.010463224233554069,0.010641619864632107,0.021223231000644716,1.0,True
whitelist_stock,MTYY,MSTR,0.029217594107985145,0.1460879705399257,479.0,154.0,0.5268152234296178,0.26215984416513377,0.7033316974518128,0.028454906997718427,0.025851140351567724,0.00336645375641742,1.0,True
whitelist_stock,SMYY,SMCI,0.02810981305704679,0.14054906528523392,479.0,149.0,0.5259728418098171,0.27152227942055723,0.6779940674713497,0.0276318353970423,0.02304843893834632,0.00506137411870047,1.0,True
core_leveraged,IRE,IREN,0.02759387682864325,0.04087981752391592,479.0,134.0,0.8646755371163328,0.1330190442283526,2.275136163744969,0.01070469798955716,0.006003507482172447,0.021590369346470805,1.0,True
core_leveraged,SMU,SMR,0.02619423131916239,0.03880626862098131,479.0,205.0,0.8457980837398777,0.13221933420810325,2.2389261833903156,0.01056818298539492,0.00896135288645443,0.01723287843270796,1.0,True
core_leveraged,NEBX,NBIS,0.025593297327346776,0.03791599604051374,363.0,164.0,0.8165033867782027,0.11839452418101055,2.4137618470889293,0.011223389597545552,0.00948777184239203,0.016105525484954746,1.0,True
core_leveraged,NBIG,NBIS,0.02517396507948838,0.03729476308072353,363.0,130.0,0.8178051694708182,0.12090045561780463,2.3674998398652343,0.011050971802865113,0.007834992137306897,0.017338972942181483,1.0,True
inverse_decay_bucket4,QBTZ,QBTS,0.025000000120325723,0.20000000096260578,479.0,144.0,2.364061938785431,0.5057721038759462,1.635957523623817,0.029056047718319933,0.025000000010882026,1.0944369716048286e-10,1.0,True
inverse_decay_bucket4,ETHD,ETHA,0.025000000081810664,0.2000000006544853,426.0,447.0,1.091930516281309,0.2776095867659333,1.3766660047683794,0.025309396635099655,0.024999999965122373,1.1668829097422062e-10,1.0,True
