etf,underlying,pair_frac_merged
NVTX,NVTS,0.04788135860931455
IOYY,IONQ,0.0385744843759897
MAAY,MARA,0.037070483072296316
ASTX,ASTS,0.03515201690577034
XBTY,IBIT,0.03238725942975143
QBTX,QBTS,0.03186485086527682
MTYY,MSTR,0.029217594107985145
SMYY,SMCI,0.02810981305704679
IRE,IREN,0.02759387682864325
SMU,SMR,0.02619423131916239
NEBX,NBIS,0.025593297327346776
NBIG,NBIS,0.02517396507948838
QBTZ,QBTS,0.025000000120325723
ETHD,ETHA,0.025000000081810664
CORD,CRWV,0.025000000075298314
NBIL,NBIS,0.02251855614692747
CRWG,CRWV,0.022515144269981534
CWVX,CRWV,0.02121571754118231
OKLL,OKLO,0.01993106599107041
FBYY,META,0.019601209079249355
MSDD,MSTR,0.01930147287031911
CLSX,CLSK,0.01693042867963687
RGTX,RGTI,0.016732825155138024
PLTZ,PLTR,0.01633679335336387
LABX,ALAB,0.0157628356971046
COYY,COIN,0.015039156877681292
WULX,WULF,0.014514093815504774
CRDU,CRDO,0.013294797638015273
IREX,IREN,0.012411865359333933
CRWU,CRWV,0.011938002886231846
RKLX,RKLB,0.011670777692573372
ETHU,ETHA,0.010163027459028086
GLXU,GLXY,0.009803526478495648
CONI,COIN,0.008663206332938026
IONX,IONQ,0.008219068256624367
ETU,ETHA,0.008215273816334185
ETHT,ETHA,0.006248897378993751
BAIG,BBAI,0.0058013258055491755
APPX,APP,0.005764194991630779
MSTZ,MSTR,0.005698527165944305
CONL,COIN,0.005312886408598498
QUBX,QUBT,0.004882718760187243
INTW,INTC,0.004869271123514201
IONL,IONQ,0.004724598109852194
RGTU,RGTI,0.004613458045555682
COIA,COIN,0.004611414963320128
RIOX,RIOT,0.004392912618442622
AVXX,AVAV,0.004287377525920599
MUU,MU,0.004230933829121175
COZX,CORZ,0.003993222089587106
UNX,U,0.0037022277290739195
SBTU,SBET,0.003652297331936739
ROBN,HOOD,0.0035425970890366303
AMDL,AMD,0.0035222104126741193
TEMT,TEM,0.0033861422603305414
OSCX,OSCR,0.0033738818719183787
HOOX,HOOD,0.003317928521596626
SOUX,SOUN,0.0033014899136993114
UPSX,UPST,0.0032726444994019325
COIG,COIN,0.0031416654739481642
