bucket,etf,underlying,w_book,frac_sleeve
core_leveraged,TXXS,TSUI,0.1999999998725345,0.2962962961074585
inverse_decay_bucket4,SMZ,SMR,0.11255186715770722,0.9004149372616578
whitelist_stock,FBYY,META,0.10244403865075015,0.5122201932537507
whitelist_stock,XBTY,IBIT,0.08620817566536798,0.4310408783268398
core_leveraged,SNXX,SNDK,0.07488314233119023,0.11093798863880033
core_leveraged,CRMU,CRML,0.06229239049219858,0.0922850229514053
core_leveraged,RCAX,RCAT,0.05823262999077397,0.08627056294929476
core_leveraged,OPEG,OPEN,0.036143978669513833,0.05354663506594642
core_leveraged,NVTX,NVTS,0.01739422341736888,0.025769219877583523
core_leveraged,RDWU,RDW,0.011165556806375732,0.01654156563907516
core_leveraged,SMU,SMR,0.009739415015298502,0.014428762985627409
core_leveraged,LACG,LAC,0.008663694758319285,0.0128351033456582
core_leveraged,FBL,META,0.006794144338180201,0.010065399019526224
whitelist_stock,SMYY,SMCI,0.006368532427321499,0.03184266213660749
core_leveraged,BMNG,BMNR,0.005252095247590069,0.007780881848281584
core_leveraged,ASTX,ASTS,0.0038372675403946276,0.005684840800584633
core_leveraged,ONDG,ONDS,0.0037456783340379324,0.0055491530874636034
core_leveraged,ONDL,ONDS,0.0029113013918467528,0.004313039099032226
core_leveraged,USGG,USAR,0.0027260124420985356,0.004038536951257089
core_leveraged,LEUX,LEU,0.0022380256326388743,0.003315593529835369
core_leveraged,CRCG,CRCL,0.00217468758949224,0.003221759391840355
core_leveraged,PLUL,PLUG,0.0015401111646555698,0.0022816461698601034
core_leveraged,BEX,BE,0.0013712734497819087,0.0020315162218991238
core_leveraged,LITX,LITE,0.0010372206026482277,0.0015366231150344112
core_leveraged,OPEX,OPEN,0.0009721531552071511,0.0014402268966031866
core_leveraged,OSCX,OSCR,0.0008891416250932251,0.001317246851989963
core_leveraged,BMNU,BMNR,0.000829877573251836,0.0012294482566693867
core_leveraged,CLSX,CLSK,0.0008298759224491634,0.0012294458110357976
