etf,weight
SMZ,0.09999999999977072
CRMU,0.09999999999093846
FBYY,0.0988192657156231
SNXX,0.09594744045586498
RCAX,0.0917141441164037
XBTY,0.0883381264837959
OPEG,0.05411289604403671
TXXS,0.051272162415676725
NVTX,0.026114032410028517
RDWU,0.02524358876778326
LACG,0.018710493362587097
CLSZ,0.013381742735747314
ONDG,0.0095412159623502
SMYY,0.007304654476254531
ONDL,0.0059877828695693545
ASTX,0.0052735831647402216
USGG,0.005091344052048261
SMU,0.005013052396341063
OPEX,0.0047088463258694235
CRCG,0.004622894487656053
BMNG,0.004058520294442554
BEX,0.0021178685748981557
IOYY,0.0013885757275019011
OSCX,0.0011547813121420233
CLSX,0.0008298757357103875
LEUX,0.000829875527889208
PLUL,0.0008298755222349222
FGRU,0.0008298755218732282
GLXU,0.0008298755216669314
BMNU,0.0008298755215504669
OKLL,0.0008298755213687265
LITX,0.0008298755209105391
CIFG,0.0008298755204013874
CRCA,0.0008298755203652001
COYY,0.0008298755200373265
QBTZ,0.0008298755199238511
SATG,0.0008298755198604256
UECG,0.0008298755197418123
UUUG,0.0008298755195438564
BAIG,0.0008298755194684511
QBTX,0.0008298755194552938
MAAY,0.0008298755194174398
KEEX,0.0008298755194032027
ZETX,0.0008298755194026445
ETHU,0.0008298755193790983
CCUP,0.0008298755193692757
WDCX,0.0008298755193469311
MRNX,0.0008298755193261132
NEBX,0.0008298755193125798
FBL,0.000829875519252571
ETU,0.0008298755192304901
WULX,0.0008298755192255054
PONX,0.0008298755192066776
BITX,0.0008298755192044033
QSU,0.0008298755191933729
BTCL,0.0008298755191802466
MPL,0.0008298755191789832
MTYY,0.0008298755191740202
SOFA,0.0008298755191675442
BITU,0.0008298755191542591
IREG,0.0008298755191477355
CWVX,0.0008298755191433277
ASTN,0.0008298755191420315
HMYY,0.0008298755191410396
METU,0.0008298755191284379
URAA,0.0008298755191121087
SOLX,0.0008298755191028857
CIFU,0.0008298755190891872
ETHT,0.0008298755190885854
BABU,0.0008298755190706165
CRWG,0.0008298755190628737
MPG,0.0008298755190598616
QBY,0.0008298755190547675
NBIL,0.0008298755190543341
QUBX,0.0008298755190506959
XXRP,0.000829875519039831
NBIG,0.0008298755190262948
ASMU,0.0008298755190150705
DNNG,0.0008298755190095194
UXRP,0.0008298755190089413
FLYT,0.0008298755190069904
RGTX,0.000829875519006062
SBTU,0.0008298755189965293
BULX,0.000829875518988942
SRPU,0.0008298755189879357
FCXG,0.0008298755189873382
YINN,0.0008298755189824966
BABX,0.0008298755189771988
COPZ,0.0008298755189705407
SPXL,0.0008298755189690595
HUTG,0.0008298755189600215
CWEB,0.0008298755189599166
SOLT,0.0008298755189572826
TQQQ,0.0008298755189562176
ARCX,0.0008298755189554645
NVDG,0.0008298755189509468
XRPT,0.0008298755189505235
COIA,0.0008298755189493411
BOEU,0.0008298755189465616
MEXX,0.0008298755189465006
BOEG,0.0008298755189440097
GOOX,0.0008298755189402575
AMDL,0.0008298755189382818
URTY,0.0008298755189358947
AMUU,0.0008298755189354922
NVDU,0.0008298755189354017
GEVX,0.0008298755189349116
TXXD,0.0008298755189346506
COHX,0.0008298755189314999
LLYX,0.0008298755189309597
GDXU,0.0008298755189303133
NVDL,0.00082987551893014
UBRL,0.0008298755189247331
AMZZ,0.0008298755189240536
CRWU,0.0008298755189236731
AMDG,0.0008298755189211062
GGLL,0.000829875518919185
AAPB,0.0008298755189183956
CONL,0.0008298755189177404
MSFU,0.0008298755189166997
NUGT,0.000829875518914894
IRE,0.0008298755189083855
ETRL,0.0008298755189080438
SOXL,0.0008298755189075759
AMZU,0.0008298755189054648
NVDB,0.00082987551890356
RKLX,0.0008298755189003447
MUU,0.0008298755188998209
JNUG,0.0008298755188992341
TSLI,0.0008298755188988087
RIOX,0.0008298755188986916
NBIZ,0.0008298755188985576
BEZ,0.0008298755188981842
HIMZ,0.0008298755188960726
ELIL,0.000829875518894185
TSLL,0.0008298755188922568
PALU,0.0008298755188919205
INTW,0.0008298755188918767
GLGG,0.0008298755188915969
RGTU,0.0008298755188906108
NUG,0.0008298755188905293
TSLR,0.0008298755188901472
IONX,0.0008298755188893203
COZX,0.0008298755188888036
AVGG,0.0008298755188869546
TSMU,0.0008298755188842133
VRTL,0.000829875518883156
TSMG,0.0008298755188821468
SOFX,0.0008298755188819759
ROBN,0.0008298755188809074
XRPK,0.0008298755188809031
RBLU,0.0008298755188802455
MSTX,0.0008298755188799806
PANG,0.0008298755188790937
COIG,0.0008298755188790043
LRCU,0.0008298755188774693
TSLT,0.0008298755188766594
MULL,0.0008298755188757719
CNCG,0.0008298755188725781
ASMG,0.0008298755188720052
HOOX,0.0008298755188699275
UPSX,0.0008298755188683828
KORU,0.0008298755188669733
AVL,0.0008298755188655501
NFLU,0.0008298755188649379
TEMT,0.0008298755188646007
JOBX,0.0008298755188640109
BEG,0.0008298755188614553
SNAG,0.0008298755188611783
NVOX,0.0008298755188611171
UNHG,0.000829875518861043
TSLG,0.0008298755188600133
CONX,0.0008298755188599268
NFXL,0.0008298755188597599
RDTL,0.0008298755188579011
ANEL,0.0008298755188577968
HOOG,0.0008298755188562533
IONL,0.0008298755188544928
CRCD,0.0008298755188544106
PTIR,0.0008298755188542021
GUSH,0.0008298755188532349
AVGX,0.0008298755188497996
MSTU,0.0008298755188461577
TTDU,0.0008298755188459623
IREX,0.0008298755188449353
CEGX,0.0008298755188444365
XPEG,0.0008298755188406555
BU,0.0008298755188402564
PYPG,0.0008298755188393133
KLAG,0.0008298755188391835
HODU,0.0008298755188391029
CRMG,0.0008298755188386358
QCMU,0.0008298755188378774
TERG,0.0008298755188374275
PLTU,0.000829875518837336
FIGG,0.0008298755188370519
NIOG,0.0008298755188365527
NEMG,0.0008298755188361038
DKNX,0.0008298755188350799
KTUP,0.0008298755188289233
MVLL,0.0008298755188275269
AVGU,0.0008298755188267111
PLTA,0.0008298755188255906
CSEX,0.0008298755188253908
ORCX,0.0008298755188235218
VSTL,0.0008298755188223617
SOUX,0.0008298755188195092
AFRU,0.0008298755188187746
CRDU,0.0008298755188170876
BLSG,0.0008298755188169714
LABX,0.0008298755188155154
ARMG,0.0008298755188139786
CRWL,0.0008298755188133287
CVNX,0.0008298755188121471
LMNX,0.0008298755188118368
SHPU,0.000829875518808576
PLTG,0.0008298755188079876
XYZG,0.0008298755188061188
CORD,0.0008298755188054772
AVXX,0.0008298755188051836
LUNL,0.0008298755188046087
DUOG,0.0008298755188043764
SNOU,0.0008298755188004936
APPX,0.0008298755187989697
RKTL,0.000829875518798288
LINT,0.0008298755187977464
NOWL,0.0008298755187953241
GEMG,0.0008298755187946131
DLLL,0.0008298755187938566
QPUX,0.0008298755187914411
ORCU,0.0008298755187899267
UNX,0.00082987551877748
OKTG,0.0008298755187767909
IREZ,0.0008298755187724851
BMNZ,0.0008298755187666997
PLTZ,0.0008298755187499016
ETHD,0.0008298755187476542
MSDD,0.0008298755187380762
ZSL,0.0008298755187358617
