etf,underlying,pair_frac_merged
NVTX,NVTS,0.09999999992370616
ASTX,ASTS,0.09999999991675844
SMU,SMR,0.0999999999059232
IRE,IREN,0.09999999990552985
CLSX,CLSK,0.09999999987708866
NBIG,NBIS,0.0999999995451632
WULX,WULF,0.07499999991646929
IOYY,IONQ,0.039999999992071586
MAAY,MARA,0.03999999999027568
MTYY,MSTR,0.039999999982309783
SMYY,SMCI,0.03999999998167645
XBTY,IBIT,0.03999999997449409
MSDD,MSTR,0.02500000000682469
ETHD,ETHA,0.02500000000548393
CORD,CRWV,0.025000000002391103
CONI,COIN,0.024999999994071983
PLTZ,PLTR,0.024999999991228317
OKLL,OKLO,3.3135728299180134e-10
NEBX,NBIS,3.132259559859778e-10
LABX,ALAB,9.574809110151665e-11
GLXU,GLXY,8.190815923280446e-11
CRDU,CRDO,5.26763206218246e-11
FBYY,META,4.981605192420247e-11
NBIL,NBIS,4.60359338391761e-11
COYY,COIN,2.935643405051414e-11
RKLX,RKLB,2.3129773603205558e-11
QBTX,QBTS,2.1668163995033076e-11
CWVX,CRWV,1.8268280457524064e-11
IREX,IREN,8.478111832631391e-12
ETU,ETHA,7.1993876421180855e-12
ETHU,ETHA,6.38743373357043e-12
ETHT,ETHA,2.017684050670296e-12
QUBX,QUBT,1.1565721763959247e-12
APPX,APP,1.0417859415904841e-13
