etf,und,pnl,pair_borrow_paid,net_pnl_after_borrow,avg_gross,ratio,ratio_net,decay_col,decay_value,gross_decay_for_weight,borrow_for_weight,borrow_avg_annual,borrow_obs,net_decay_annual,shares_available,shares_available_avg,shares_available_for_cap,shares_obs,aum_usd,aum_m,aum_source,etf_price,short_frac,pair_target_gross_usd,short_target_usd,max_short_capacity_usd_full,max_short_capacity_usd_used,short_capacity_utilization,pair_max_dd_to_gross,max_dd_penalty_weight,pnl_component,decay_component,combined_signal,weight_raw,weight_cap,weight,cap_binding,underlying_total_weight
MSTZ,MSTR,2717072.7455163,220165.511773039,2496907.233743261,4757627.518503058,0.5710982490641052,0.5248219252205959,decay_score_hist_borrow,2.31835,2.40835,0.09,0.5779583571428571,32,2.123289,3781168,3781168.0,3781168.0,31,97254712.0,97.254712,cache,9.769700050354004,0.335345405767941,2629000.0,881623.0717639169,36940877.19999695,9235219.299999237,0.09546314420102506,0.10499338595690008,0.42,0.3858916416000506,2.5217202268233625,0.03756486539529471,0.03568799870107934,0.055,0.055,1,0.0909454332085272
HMYY,HIMS,12698.604875564575,0.0,12698.604875564575,25052.81692050548,0.5068733354759358,0.5068733354759358,decay_score_hist_borrow,0.679831,0.674831,-0.005,0.052990999999999976,30,1.593421,11455,11455.0,11455.0,31,922406.0,0.922406,cache,7.760000228881836,0.7874015748031495,9640.729660579618,7591.125716991824,88890.80262184143,22222.700655460358,0.34159330293307993,0.0374932881766711,0.42,0.39678110400939404,0.6540953485750184,0.033184376823790857,0.051102464401934555,0.0002016889050330464,0.0002016889050330464,1,0.0002016889050330464
NVDL,NVDA,3659549.714020014,0.0,3659549.714020014,9176813.035465097,0.3987822024789177,0.3987822024789177,decay_score_hist_borrow,0.363326,0.363326,-0.0,0.07088174999999998,32,0.318634,1100000,1346774.1935483871,1346774.1935483871,31,3934344192.0,3934.344192,cache,94.48999786376953,0.33467202141900937,2328010.538717546,779119.9928773581,127256690.67136703,31814172.66784176,0.024489714097293003,0.022091432188361335,0.42,0.2935385942681161,0.3283417626609455,0.024113277061701244,0.025602486061561673,0.055,0.048703149345555356,0,0.0927651468893656
CONL,COIN,3344638.2718930244,249925.31976152124,3094712.9521315033,7565464.295151655,0.442092929317827,0.4090579019868955,decay_score_hist_borrow,0.73404,0.76404,0.03,0.12729139999999997,29,0.664953,200000,942000.0,942000.0,31,470322272.0,470.322272,cache,8.211000442504883,0.33467202141900937,1973680.8519040553,660535.7603427226,7734762.4168396,1933690.6042099,0.3415933029330799,0.08521515927829895,0.42,0.2777322320723179,0.7116913693684052,0.023940185967600044,0.025404059691175016,0.04129039439129823,0.04129039439129823,1,0.06309924329211183
MTYY,MSTR,55805.25231409073,2513.0661140442176,53292.18620004651,136799.74888660252,0.4079338797642779,0.3895634797123935,decay_score_hist_borrow,0.593336,0.640836,0.0475,0.11082359999999998,24,0.957318,89189,89189.0,89189.0,31,2550098.0,2.550098,cache,4.869800090789795,0.7178750897343862,51668.14868935437,37091.27687677988,434332.600297451,108583.15007436275,0.34159330293307993,0.04367045648070494,0.42,0.27575515994752636,0.5631586632829818,0.023367175768977174,0.0349887323433417,0.0010809236127479994,0.0010809236127479994,1,0.0909454332085272
APLZ,APLD,1775.2703084945679,140.7557775633297,1634.5145309312381,10546.137902410406,0.16833369001260787,0.15498702426009967,decay_score_hist_borrow,4.884932999999999,5.074933,0.19,0.34088875,16,4.392682,1500,1500.0,1500.0,31,875458.0,0.875458,cache,10.969900131225586,0.3348961821835231,4195.976937807272,1405.2166570017655,16454.85019683838,4113.712549209595,0.34159330293307993,0.031077067180948686,0.42,0.0790159897740235,5.724591120786,0.022306981034398293,0.020327027389711354,8.778194430559148e-05,8.778194430559148e-05,1,0.0027560123190179696
MAAY,MARA,23782.036417484283,0.0,23782.036417484283,75123.65882250556,0.31657186018686906,0.31657186018686906,decay_score_hist_borrow,0.425831,0.425831,-0.0,0.10137092857142856,32,0.790362,33477,33477.0,33477.0,31,3712655.0,3.712655,cache,7.650000095367432,0.7621951219512195,28694.00463825682,21870.43036452502,256099.0531926155,64024.76329815388,0.34159330293308,0.047585630248722095,0.42,0.2059660507956044,0.39098581534556914,0.017370133757069098,0.025399250447763474,0.0006002929840639502,0.0006002929840639502,1,0.003396688264081978
FBL,META,1828588.4539690018,0.0,1828588.4539690018,5963827.777147292,0.30661322263126783,0.30661322263126783,decay_score_hist_borrow,0.23739300000000002,0.227393,-0.01,0.02470637499999998,28,0.181834,15000,184096.7741935484,184096.7741935484,31,216190672.0,216.190672,cache,31.704999923706055,0.33366700033366703,1493860.4670093923,498451.9409440749,5836788.211760983,1459197.0529402457,0.34159330293308,0.0151983414831817,0.42,0.20926189807689524,0.20559601833269342,0.017110299735920015,0.017675171246912955,0.03125231102530109,0.03125231102530109,1,0.03529480855999596
MSTU,MSTR,1682764.2056193352,315392.18014953734,1367372.025469798,4832450.964734717,0.3482216825166921,0.28295621320285064,decay_score_hist_borrow,0.9445460000000001,1.069546,0.125,0.46619396874999997,36,0.8597580000000001,1600000,1749515.1515151516,1749515.1515151516,33,305530272.0,305.530272,cache,5.139999866485596,0.33715441672285906,1534055.9601520565,517213.74246529216,8992507.645202406,2248126.9113006014,0.2300642992463758,0.05328353241755428,0.42,0.17406729661839035,0.9391726233561069,0.016388173432554064,0.01687090573012818,0.04765115392954506,0.03209322092368319,0,0.0909454332085272
AMZU,AMZN,1181226.4218978882,0.0,1181226.4218978882,4672216.677810399,0.2528192725966343,0.2528192725966343,decay_score_hist_borrow,0.213283,0.210783,-0.0025,0.0531478620689655,33,0.210783,0,180633.33333333334,180633.33333333334,33,384693056.0,384.693056,cache,37.790000915527344,0.33456005352960855,1215420.1374372628,406631.02624197485,6826133.832041423,1706533.4580103557,0.23827896507582408,0.018489822652705264,0.42,0.1607086641493503,0.18274767690675708,0.013210089496739841,0.01336668224226384,0.03645206813927491,0.02542719952797621,0,0.029764451062699485
