sym,feerate,available
AALG,,
AAOX,,
AAPB,,
AAPU,,
AAPW,,
AAPX,,
ABNG,,
ABNY,,
ADBG,,
ADBU,,
AFRU,,
AIYY,,
ALBG,,
AMDG,,
AMDL,,
AMDW,,
AMDY,,
AMUU,,
AMYY,,
AMZO,,
AMZU,,
AMZW,,
AMZY,,
AMZZ,,
APHU,,
APLX,,
APLY,,
APLZ,,
APPX,,
ARCX,,
ARMG,,
ARMW,,
ASMG,,
ASMU,,
ASTX,,
AVGG,,
AVGU,,
AVGW,,
AVL,,
AXPG,,
AZYY,,
BABO,,
BABU,,
BABW,,
BABX,,
BAIG,,
BBYY,,
BEG,,
BEX,,
BEZ,,
BIDG,,
BITU,,
BITX,,
BLSG,,
BMNG,,
BMNU,,
BOEG,,
BOEU,,
BRKC,,
BRKU,,
BRKW,,
BTCL,,
BTCZ,,
BTFL,,
BULG,,
BULX,,
CCUP,,
CEGX,,
CHAU,,
CIFG,,
CIFU,,
CLSX,,
CLSZ,,
CMGG,,
CNCG,,
COHX,,
COIA,,
COIG,,
COIO,,
COIW,,
CONL,,
CONX,,
CONY,,
COPZ,,
CORD,,
COSW,,
COTG,,
COYY,,
COZX,,
CRCA,,
CRCD,,
CRCG,,
CRCO,,
CRDU,,
CRMG,,
CRMU,,
CRWG,,
CRWL,,
CRWU,,
CSCL,,
CSEX,,
CVNY,,
CWEB,,
CWVX,,
DISO,,
DJTU,,
DLLL,,
DNNG,,
DOGD,,
DRAY,,
DRIP,,
DUG,,
DUOG,,
DUST,,
DXD,,
ELIL,,
ENPX,,
EOSU,5.0,100.0
ERX,,
ETHD,,
ETHT,,
ETHU,,
ETRL,,
ETU,,
EWV,,
FAZ,,
FBL,,
FBY,,
FBYY,,
FCXG,,
FGRU,,
FIGG,,
FLYT,,
FNGD,,
FRDU,,
FUTG,,
GDXU,,
GDXW,,
GEMG,,
GEVG,,
GEVX,,
GGLL,,
GLDW,,
GLGG,,
GLWG,,
GLXU,,
GMEU,,
GMEY,,
GOOW,,
GOOX,,
GOOY,,
GOU,,
GRAG,,
GUSH,,
HIBL,,
HIBS,,
HIYY,,
HLXX,,
HMYY,,
HODU,,
HOOG,,
HOOW,,
HOOY,,
HOYY,,
HUTG,,
IBX,,
INTW,,
IONL,,
IOYY,,
IREG,,
IREX,,
IREZ,,
ISUL,,
JEPI,,
JEPQ,,
JNUG,,
JOBX,,
KLAG,,
KORU,,
KTUP,,
LABD,,
LABU,,
LABX,,
LACG,,
LCDL,,
LEUX,,
LINT,,
LITX,,
LMTL,,
LNOK,,
LRCU,,
LULG,,
LUNL,,
MAAY,,
MARO,,
MDBX,,
METU,,
METW,,
MEXX,,
MPG,,
MRAL,,
MRNX,,
MRNY,,
MRVU,,
MSFL,,
MSFO,,
MSFU,,
MSFW,,
MSFX,,
MSOO,,
MSTP,,
MSTU,,
MSTW,,
MSTY,,
MSTZ,,
MTYY,,
MULL,,
MUU,,
MVLL,,
NBIG,,
NBIL,,
NBIZ,,
NEBX,,
NEMG,,
NETG,,
NFLU,,
NFLW,,
NFLY,,
NFXL,,
NIOG,,
NNEX,,
NOWL,,
NUG,,
NUGT,,
NUGY,,
NVDB,,
NVDG,,
NVDL,,
NVDO,,
NVDQ,,
NVDS,,
NVDU,,
NVDW,,
NVDX,,
NVDY,,
NVTX,,
NVYY,,
OKLL,,
OKTG,,
ONDG,,
OPEG,,
OPEX,,
ORCU,,
ORLG,,
OSCG,,
PAAU,,
PALU,,
PANG,,
PBRG,,
PDDL,,
PLOO,,
PLTA,,
PLTG,,
PLTU,,
PLTW,,
PLTY,,
PLUL,,
PLYY,,
PONX,,
PTIR,,
PYPG,,
PYPU,,
PYPY,,
QBTX,,
QBY,,
QCML,,
QCMU,,
QID,,
QQQX,,
QUBX,,
QYLD,,
QYLG,,
RBLU,,
RBLY,,
RCAX,,
RDTL,,
RDWU,,
RDYY,,
REW,,
RGTU,,
RGYY,,
RKTL,,
ROBN,,
RTXG,,
RTYY,,
RVNL,,
RYLD,,
SATG,,
SBTU,,
SBU,,
SCO,,
SDOW,,
SDS,,
SEMY,,
SHPU,,
SKF,,
SMCL,,
SMCY,,
SMU,,
SMUP,,
SMYY,,
SMZ,,
SNAG,,
SNDU,,
SNOU,,
SNOY,,
SNPX,,
SNXX,,
SOFA,,
SOLT,,
SOLX,,
SOXL,,
SOXS,,
SPOG,,
SPXS,,
SPXU,,
SPYI,,
SQQQ,,
SRPU,,
TARK,,
TBT,,
TBX,,
TECS,,
TEMT,,
TERG,,
TMV,,
TOPW,,
TQQY,,
TSLG,,
TSLI,,
TSLL,,
TSLO,,
TSLQ,,
TSLR,,
TSLT,,
TSLW,,
TSLY,,
TSMG,,
TSMU,,
TSMX,,
TSMY,,
TSXD,,
TSYW,,
TSYY,,
TTDU,,
TTXD,,
TWM,,
TXNU,,
TZA,,
UBEW,,
UBRL,,
UECG,,
UNHG,,
UNHU,,
UNHW,,
UNX,,
UPSG,,
UPSX,,
URAA,,
USGG,,
UUUG,,
UXRP,,
VALG,,
VOYX,,
VRTL,,
WDCX,,
WEBS,,
WULX,,
XBTY,,
XOMO,,
XOMX,,
XPEG,,
XRPK,,
XRPT,,
XXRP,,
XYLD,,
XYLG,,
XYZG,,
XYZY,,
YINN,,
YSPY,,
ZETX,,
ZSL,,
