underlying,unrealized_pnl,realized_pnl,total_pnl,net_under_eq_shares
XRPZ,1485.0,0.0,1485.0,-2124.5796362459846
APP,844.0,0.0,844.0,-255.64561720348843
XOM,471.0,0.0,471.0,-138.3806518177406
OPEN,380.0,0.0,380.0,71.38323201931564
AAPL,310.0,0.0,310.0,-525.0740458217786
CRWV,263.0,0.0,263.0,-178.38930977611835
PLTR,172.0,0.0,172.0,-1496.693856168783
BLSH,162.0,0.0,162.0,-958.0275356329721
MU,162.0,0.0,162.0,-25.89046328573648
INTC,152.0,0.0,152.0,43.86559552119161
AVGO,138.0,0.0,138.0,-554.9540169123323
PANW,125.0,0.0,125.0,-1518.9341705042661
CRWD,122.0,0.0,122.0,-184.66919040741448
TSM,115.0,0.0,115.0,-87.5867420804444
IREN,108.0,0.0,108.0,-348.18082361652796
ALAB,92.0,0.0,92.0,-1140.4293297968557
NVDA,82.0,0.0,82.0,-871.9123532657424
CLS,76.0,0.0,76.0,-116.44358588532162
MDB,76.0,0.0,76.0,-164.2177001544353
CORZ,71.0,0.0,71.0,-187.49518262290587
CEG,70.0,0.0,70.0,-508.9374848825173
VRT,70.0,0.0,70.0,-55.23324355320938
KLAC,69.0,0.0,69.0,-422.8178271648377
ASML,57.0,0.0,57.0,6.0
NBIS,50.0,0.0,50.0,-191.99675575420008
LLY,49.0,0.0,49.0,-192.27371470605465
QCOM,36.0,0.0,36.0,-459.8882807492316
DKNG,23.0,0.0,23.0,-484.6094893769541
COST,23.0,0.0,23.0,-572.0944797544829
CRM,21.0,0.0,21.0,-1285.7125704537289
BA,16.0,0.0,16.0,-606.5041463534094
UNH,13.0,0.0,13.0,-730.4559339924824
NU,5.0,0.0,5.0,-11.346084948725888
GEV,2.0,0.0,2.0,-186.3923010716063
CELH,-19.0,0.0,-19.0,-668.6999161804079
UBER,-24.0,0.0,-24.0,-447.574992784002
GS,-49.0,0.0,-49.0,-279.5967252626436
TEM,-50.0,0.0,-50.0,-921.7799588696146
TER,-100.0,0.0,-100.0,-186.1835499022268
BRK-B,-101.0,0.0,-101.0,-313.8653395042111
MSTR,-162.0,0.0,-162.0,-2470.3569901836063
META,-184.0,0.0,-184.0,-701.8474711604499
TSLA,-194.0,0.0,-194.0,-1125.393762628249
BABA,-239.0,0.0,-239.0,-168.4305698291968
MSFT,-254.0,0.0,-254.0,-1273.2692066925501
SOEZ,-259.0,0.0,-259.0,-3063.636789605819
GOOGL,-316.0,0.0,-316.0,-172.35706947565953
MARA,-326.0,0.0,-326.0,5.731070947362468
SNOW,-586.0,0.0,-586.0,-283.18799335423796
NFLX,-990.0,0.0,-990.0,-645.4356251165082
AMD,-1007.0,0.0,-1007.0,-1125.0183159735327
HOOD,-1039.0,0.0,-1039.0,-156.49840854624293
IBIT,-1138.0,0.0,-1138.0,-1670.419091268211
XRP,-1537.0,0.0,-1537.0,257.0
GXRP,-1652.0,0.0,-1652.0,148.0
AMZN,-1820.0,0.0,-1820.0,-646.0207519664639
ETHA,-2425.0,0.0,-2425.0,181.56689493219233
