etf,days_in_ledger,long_pnl_usd,short_pnl_usd,gross_trading_pnl_usd,borrow_paid_usd,borrow_underlying_usd,margin_debit_allocated_usd,short_credit_usd,net_financing_allocated_usd,txn_cost_usd,turnover_usd,rebalance_days,gross_notional_mean,gross_notional_max,net_trading_pnl_usd,flow_sleeve_alloc_max_usd,flow_sleeve_alloc_days_gt0,underlying,beta_abs,bucket_universe,incumbent_cohort,from_screener_extra,pair_weight_gtp,bucket_runtime_last
CONL,837,3588065.2877082825,-2865254.3185925484,722810.9691157341,135797.65112303974,0.0,67752.65148168521,47715.685894672926,20036.965587012288,20401.152229352138,19638163.986872196,176,1317440.9119644284,4370085.800065994,546575.2001763299,0.0,0,COIN,1.994,bucket_core_screener,incumbent,0,0.001971669892686879,bucket_core_screener
MTYY,152,-41890.016830444336,253476.35805130005,211586.3412208557,8503.317290673202,0.0,1056.2874460165035,4274.274425632485,-3217.986979615981,1169.7772388533842,1150254.5075769424,33,416781.4230972434,554893.0583190918,205131.2336709451,0.0,0,MSTR,0.367,bucket_whitelist,post_start,0,0.009002219830898564,bucket_whitelist
MAAY,122,26853.917800426483,154563.904941082,181417.82274150848,15857.799155858274,0.0,889.0053541579375,4311.37453391619,-3422.369179758252,1589.5496226371756,1186498.4775924683,27,512156.554177507,684326.2250161171,167392.84314277128,0.0,0,MARA,0.307,bucket_whitelist,post_start,0,0.027931365602391643,bucket_whitelist
IOYY,122,42630.40017700195,117036.88104534149,159667.28122234344,21125.398842218718,0.0,971.8512810616467,4454.853108500042,-3483.001827438396,1360.396920508355,1256564.343173027,27,536359.6361370165,777357.4674739838,140664.48728705477,0.0,0,IONQ,0.323,bucket_whitelist,post_start,0,0.005809336870059402,bucket_whitelist
ETHU,445,15275.096800804138,132747.69599723816,148022.7927980423,10197.760798338171,0.0,19985.359669001333,13653.727267817547,6331.632401183785,11850.902525143929,10128062.214110374,94,794951.1117942467,2415333.6940460205,119642.49707337642,0.0,0,ETHA,2.001,bucket_core_screener,post_start,0,0.0021444526896539197,bucket_core_screener
CORD,152,-109996.60884094238,249767.77032995224,139771.16148900986,74531.25645199396,0.0,0.0,12812.639298791133,-12812.639298791133,4955.501189872306,4784670.042475224,33,910239.3865404066,1145201.3916549683,73097.04314593472,0.0,0,CRWV,2.019,bucket_4_inverse_decay,post_start,1,0.0015884985085911618,bucket_4_inverse_decay
FBL,837,494242.2111816406,-380823.797447443,113418.41373419762,12833.12482999423,0.0,13789.63769253968,9676.092030170306,4113.5456623693735,2035.4947532650276,2009071.4365458488,176,267901.9645092903,741553.7585258484,94436.24848856899,0.0,0,META,1.999,bucket_core_screener,incumbent,0,0.0022484221706477645,bucket_core_screener
TSLL,837,457382.4551086426,-360155.3515563011,97227.10355234146,18738.542726765685,0.0,18430.585506694042,12954.555743595567,5476.029763098476,3577.7744334087693,3514797.007985592,176,358521.58174811926,964306.2742500305,69434.75662906854,0.0,0,TSLA,1.995,bucket_core_screener,incumbent,0,0.0033047280193583225,bucket_core_screener
COYY,191,-12198.691787719727,105087.4303240776,92888.73853635788,28936.2782383016,0.0,926.783992624515,3277.442726352216,-2350.658733727701,917.1668910188976,905377.2362866402,41,250400.8568052434,422948.089884758,65385.95214076509,0.0,0,COIN,0.414,bucket_whitelist,post_start,0,0.0004426530598463034,bucket_whitelist
NVDL,837,440473.83273124695,-349924.6805174351,90549.15221381187,12441.394527553444,0.0,8485.753493468445,5985.563762950154,2500.1897305182906,1644.8987908975948,1512171.7941076756,176,164993.50186718494,459611.1781921387,73962.66916484255,0.0,0,NVDA,1.996,bucket_core_screener,incumbent,0,0.002261418338779377,bucket_core_screener
