ticker,expense_ratio,expense_ratio_raw,source_url,ok
AALG,0.0075,0.75%,https://etfdb.com/etf/AALG/,True
AAPB,0.0115,1.15%,https://etfdb.com/etf/AAPB/,True
AAPU,0.0097,0.97%,https://etfdb.com/etf/AAPU/,True
AAPX,0.0105,1.05%,https://etfdb.com/etf/AAPX/,True
ABNG,0.0075,0.75%,https://etfdb.com/etf/ABNG/,True
ADBG,0.0075,0.75%,https://etfdb.com/etf/ADBG/,True
AFRU,0.015,1.50%,https://etfdb.com/etf/AFRU/,True
AMDG,0.0075,0.75%,https://etfdb.com/etf/AMDG/,True
AMDL,0.010700000000000001,1.07%,https://etfdb.com/etf/AMDL/,True
AMUU,0.0097,0.97%,https://etfdb.com/etf/AMUU/,True
AMYY,0.010700000000000001,1.07%,https://etfdb.com/etf/AMYY/,True
AMZU,0.009899999999999999,0.99%,https://etfdb.com/etf/AMZU/,True
AMZZ,0.0115,1.15%,https://etfdb.com/etf/AMZZ/,True
APLX,0.013000000000000001,1.30%,https://etfdb.com/etf/APLX/,True
APPX,0.013000000000000001,1.30%,https://etfdb.com/etf/APPX/,True
ARCX,0.013000000000000001,1.30%,https://etfdb.com/etf/ARCX/,True
ARMG,0.0075,0.75%,https://etfdb.com/etf/ARMG/,True
ARMU,0.0105,1.05%,https://etfdb.com/etf/ARMU/,True
ASMG,0.0075,0.75%,https://etfdb.com/etf/ASMG/,True
ASTX,0.013000000000000001,1.30%,https://etfdb.com/etf/ASTX/,True
AURU,0.013000000000000001,1.30%,https://etfdb.com/etf/AURU/,True
AVGG,0.0075,0.75%,https://etfdb.com/etf/AVGG/,True
AVGU,0.015,1.50%,https://etfdb.com/etf/AVGU/,True
AVL,0.009899999999999999,0.99%,https://etfdb.com/etf/AVL/,True
AXUP,0.015,1.50%,https://etfdb.com/etf/AXUP/,True
AZYY,0.010700000000000001,1.07%,https://etfdb.com/etf/AZYY/,True
BABX,0.0115,1.15%,https://etfdb.com/etf/BABX/,True
BAIG,0.0075,0.75%,https://etfdb.com/etf/BAIG/,True
BBYY,0.010700000000000001,1.07%,https://etfdb.com/etf/BBYY/,True
BEG,0.0075,0.75%,https://etfdb.com/etf/BEG/,True
BEX,0.013000000000000001,1.30%,https://etfdb.com/etf/BEX/,True
BIDG,0.0075,0.75%,https://etfdb.com/etf/BIDG/,True
BITU,0.0095,0.95%,https://etfdb.com/etf/BITU/,True
BITX,0.023799999999999998,2.38%,https://etfdb.com/etf/BITX/,True
BKNU,0.015,1.50%,https://etfdb.com/etf/BKNU/,True
BLSG,0.0075,0.75%,https://etfdb.com/etf/BLSG/,True
BLSX,0.013000000000000001,1.30%,https://etfdb.com/etf/BLSX/,True
BMNG,0.0075,0.75%,https://etfdb.com/etf/BMNG/,True
BMNU,0.015,1.50%,https://etfdb.com/etf/BMNU/,True
BOEG,0.0075,0.75%,https://etfdb.com/etf/BOEG/,True
BOEU,0.0097,0.97%,https://etfdb.com/etf/BOEU/,True
BRKU,0.0097,0.97%,https://etfdb.com/etf/BRKU/,True
