ETF,Underlying,Beta_base,Delta,Beta_trial,Borrow_annual,CAGR,AnnVol,MaxDD,TotalReturn,TradingDays,Sharpe,Sortino,DownsideSemivar,DownsideDev
NWMX,NEM,1.221794413977188,-0.2,0.9774355311817504,0.05,-0.6828534370681535,0.6172846188140384,-0.3491820271869769,-0.2698026700187959,69,-1.5464094877449444,-2.0471656900783293,0.0008628064696208625,0.4662909288678661
NWMX,NEM,1.221794413977188,-0.1,1.099614972579469,0.05,-0.5918834788234009,0.5398470378922356,-0.28690008248472443,-0.21759971391513677,69,-1.3849508818309324,-1.8201695754342582,0.0006695545189518416,0.4107648217360685
NWMX,NEM,1.221794413977188,0.0,1.221794413977188,0.05,-0.5036257838071285,0.4835322550600813,-0.23380999560337656,-0.17451408807336233,69,-1.2014017189510835,-1.564225445221944,0.00054730342322682,0.37137644332019587
NWMX,NEM,1.221794413977188,0.1,1.3439738553749068,0.05,-0.41964754664343684,0.44246178145018855,-0.18812538961043257,-0.13841809154015172,69,-1.0028288234660898,-1.2915880572680625,0.00046833494186151016,0.3435409805963483
NWMX,NEM,1.221794413977188,0.2,1.4661532967726254,0.05,-0.3406439432414461,0.41264159714769777,-0.1625915156651715,-0.10777716664863668,69,-0.7969468423450502,-1.0146522590268845,0.00041684032506824763,0.3241045539902184
COIO,COIN,0.9597365678795168,-0.2,0.7677892543036134,0.307762,-0.12301426042710661,0.19581073953668876,-0.18407465880542673,-0.06352483237787165,126,-0.5720611132906965,-0.785551073053792,8.068791179186454e-05,0.14259506923996307
COIO,COIN,0.9597365678795168,-0.1,0.8637629110915651,0.307762,-0.22261634790956364,0.13481085606424412,-0.1687016017590507,-0.11830637288770407,126,-1.7994521592996775,-2.2988204098357383,4.418956367500518e-05,0.10552615811305416
COIO,COIN,0.9597365678795168,0.0,0.9597365678795168,0.307762,-0.2993633832858784,0.10948068761039997,-0.1781125375558169,-0.1629596086722448,126,-3.192426081327705,-3.8843069509516566,3.2128400764508976e-05,0.08997975879416582
COIO,COIN,0.9597365678795168,0.1,1.0557102246674686,0.307762,-0.35971426321505273,0.11624085099933171,-0.20020906855927434,-0.19982143443794542,126,-3.7739311273324354,-4.686981592535161,3.4763097412312055e-05,0.09359647721951206
COIO,COIN,0.9597365678795168,0.2,1.15168388145542,0.307762,-0.40809436012776446,0.13902132862399627,-0.2306459593449609,-0.2306459593449609,126,-3.6987093509664257,-4.649092992556729,4.854296203195241e-05,0.11060210862389563
MSOO,MSTR,0.9950783916162964,-0.2,0.7960627132930371,0.05,0.5208256457794986,0.2211235308333076,-0.071412116386385,0.23321759871463832,126,2.0076932315454776,3.2984975378620773,7.188392151667166e-05,0.13459104064610417
MSOO,MSTR,0.9950783916162964,-0.1,0.8955705524546668,0.05,0.16924354009393094,0.14837847211536626,-0.0690570128039868,0.08131565238552385,126,1.127981221023646,1.7638900793639076,3.572744442311343e-05,0.09488580502174487
MSOO,MSTR,0.9950783916162964,0.0,0.9950783916162964,0.05,-0.05994419704349263,0.11872329674574573,-0.07409029206251228,-0.030435250766351674,126,-0.4611811988396214,-0.6326876697676836,2.9719110111678853e-05,0.08654025507324942
MSOO,MSTR,0.9950783916162964,0.1,1.0945862307779262,0.05,-0.21775908505392394,0.12905776752048378,-0.13103901527474615,-0.11555615500695804,126,-1.8371989510092808,-2.3058980683017656,4.195656473159414e-05,0.10282535831380178
MSOO,MSTR,0.9950783916162964,0.2,1.1940940699395557,0.05,-0.3312953437875935,0.15825636030289264,-0.19951302898094891,-0.182256362780849,126,-2.4612976728821567,-3.046231315308106,6.48820153258238e-05,0.1278681659448809
NVDO,NVDA,0.923674550456184,-0.2,0.7389396403649472,0.045256000000000005,-0.35543324838452595,0.13972883156654972,-0.2092915585791857,-0.197150853761758,126,-3.0701858043014165,-3.7057255979725605,5.318073284403e-05,0.11576504082276118
