pair,decision_date,h_pick,trailing_growth
DAMD/AMD,2026-02-18,0.95,0.9790661722645593
DAMD/AMD,2026-03-19,0.3,1.03833712177842
DAMD/AMD,2026-04-20,0.3,1.1238264563705835
DAMD/AMD,2026-05-19,0.3,1.5430414488787196
ASTN/ASTS,2026-05-08,0.95,1.2383349752367507
BEZ/BE,2026-05-13,0.3,1.5095571928827363
BMNZ/BMNR,2026-02-17,0.95,1.1966563743735807
BMNZ/BMNR,2026-03-18,0.95,1.131568208033769
BMNZ/BMNR,2026-04-17,0.95,1.0829306401519427
BMNZ/BMNR,2026-05-18,0.3,1.0905946515119567
CLSZ/CLSK,2026-05-20,0.3,1.6788896248444796
CONI/COIN,2026-01-07,0.95,0.9626693171359239
CONI/COIN,2026-02-06,0.95,0.8151174926533031
CONI/COIN,2026-03-10,0.95,0.8605357560885071
CONI/COIN,2026-04-09,0.95,0.8710650746576778
CONI/COIN,2026-05-08,0.3,1.2759373375393206
CRCD/CRCL,2026-01-07,0.95,0.8658650667478207
CRCD/CRCL,2026-02-06,0.95,0.8677617013737479
CRCD/CRCL,2026-03-10,0.3,1.3118469647555482
CRCD/CRCL,2026-04-09,0.3,1.1579768161853425
CRCD/CRCL,2026-05-12,0.3,2.37869767159164
CORD/CRWV,2026-01-07,0.95,1.0186498598577443
CORD/CRWV,2026-02-06,0.95,0.9735130047581756
CORD/CRWV,2026-03-10,0.75,1.1284868766101224
CORD/CRWV,2026-04-09,0.3,1.2644874546210982
CORD/CRWV,2026-05-12,0.3,1.2646804212684182
DXD/DIA,2026-01-07,0.3,1.032415147002326
DXD/DIA,2026-02-06,0.3,1.0383961690553851
DXD/DIA,2026-03-10,0.95,0.9906210507899565
DXD/DIA,2026-04-09,0.95,0.9810576100927723
DXD/DIA,2026-05-08,0.95,0.9783192645292558
SDOW/DIA,2026-01-07,0.3,1.0431689292463173
SDOW/DIA,2026-02-06,0.3,1.0500002723819628
SDOW/DIA,2026-03-10,0.95,0.9898213248997676
SDOW/DIA,2026-04-09,0.95,0.9750530429385057
SDOW/DIA,2026-05-08,0.95,0.9718169798555293
HOOZ/HOOD,2026-02-17,0.95,0.7277814664977041
HOOZ/HOOD,2026-03-18,0.95,0.717424071148973
HOOZ/HOOD,2026-04-17,0.95,0.6844885085826443
HOOZ/HOOD,2026-05-18,0.95,0.7902242416690207
BTCZ/IBIT,2026-01-07,0.95,0.9970018653448487
BTCZ/IBIT,2026-02-06,0.95,1.0089559035121893
BTCZ/IBIT,2026-03-10,0.95,1.046732773409091
BTCZ/IBIT,2026-04-09,0.95,1.0503582363623887
BTCZ/IBIT,2026-05-12,0.3,1.202791970193903
IONZ/IONQ,2026-01-07,0.95,1.0773250148141396
IONZ/IONQ,2026-02-06,0.95,0.8648843442607226
IONZ/IONQ,2026-03-10,0.95,0.8608836343858924
IONZ/IONQ,2026-04-09,0.95,0.8074512500998785
IONZ/IONQ,2026-05-08,0.3,1.214594369305728
IREZ/IREN,2026-04-23,0.45,0.9689942191396603
IREZ/IREN,2026-05-22,0.3,1.1961467889236548
TWM/IWM,2026-01-07,0.3,1.0348729473405591
TWM/IWM,2026-02-06,0.3,1.05735599191704
TWM/IWM,2026-03-10,0.35,0.9899658800973403
TWM/IWM,2026-04-09,0.3,1.0069058273418259
TWM/IWM,2026-05-08,0.3,1.0338606076923906
TZA/IWM,2026-01-07,0.3,1.0546012803851992
TZA/IWM,2026-02-06,0.3,1.0801847900109023
TZA/IWM,2026-03-10,0.4,0.9909217786951416
TZA/IWM,2026-04-09,0.3,1.0113398235286544
TZA/IWM,2026-05-11,0.3,1.0425766136977812
MSDD/MSTR,2026-01-07,0.95,0.9302653564865148
MSDD/MSTR,2026-02-06,0.95,1.0713796590166376
MSDD/MSTR,2026-03-10,0.95,1.1841047514411858
MSDD/MSTR,2026-04-09,0.9,1.193044442619768
MSDD/MSTR,2026-05-08,0.3,1.2916115100078451
MSTZ/MSTR,2026-01-07,0.95,0.9313203873684264
MSTZ/MSTR,2026-02-06,0.95,1.0700990828073171
MSTZ/MSTR,2026-03-10,0.95,1.1831432171663192
MSTZ/MSTR,2026-04-09,0.95,1.1908205100233231
MSTZ/MSTR,2026-05-12,0.3,1.258510473368942
SMST/MSTR,2026-01-07,0.95,0.8431961549660373
SMST/MSTR,2026-02-06,0.95,0.9717654344376059
SMST/MSTR,2026-03-10,0.95,1.0962482501848592
SMST/MSTR,2026-04-09,0.95,1.1030236375719022
SMST/MSTR,2026-05-08,0.3,1.157533263330458
NBIZ/NBIS,2026-04-23,0.3,1.4455138099084528
NBIZ/NBIS,2026-05-22,0.3,1.6245722054063003
NVD/NVDA,2026-01-07,0.3,1.009552750562198
NVD/NVDA,2026-02-06,0.95,0.9978411035849136
NVD/NVDA,2026-03-10,0.3,1.0297972270764437
NVD/NVDA,2026-04-09,0.95,1.015008025541755
NVD/NVDA,2026-05-11,0.3,1.1401560374529716
NVDS/NVDA,2026-01-07,0.3,0.9987297854737635
NVDS/NVDA,2026-02-06,0.95,0.9916374744935476
NVDS/NVDA,2026-03-10,0.3,1.013265746287461
NVDS/NVDA,2026-04-09,0.95,1.0051472331762887
NVDS/NVDA,2026-05-08,0.3,1.0944981558087414
OKLS/OKLO,2026-03-02,0.95,1.082090196454735
OKLS/OKLO,2026-03-31,0.95,1.0091858404590015
OKLS/OKLO,2026-04-30,0.95,0.9151916877989769
QBTZ/QBTS,2026-01-07,0.3,1.3665986252899696
QBTZ/QBTS,2026-02-06,0.95,1.1685165486753393
QBTZ/QBTS,2026-03-10,0.95,1.1652185186068662
QBTZ/QBTS,2026-04-09,0.95,1.0868408738219855
QBTZ/QBTS,2026-05-08,0.3,0.9828276456027822
QID/QQQ,2026-01-07,0.3,1.0215245572608744
QID/QQQ,2026-02-06,0.95,0.9939720930701267
QID/QQQ,2026-03-10,0.95,0.9933356125823763
QID/QQQ,2026-04-09,0.95,0.9959464058277426
QID/QQQ,2026-05-08,0.3,1.1119772454933932
RGTZ/RGTI,2026-01-09,0.95,1.1864839576954904
RGTZ/RGTI,2026-02-10,0.95,0.9979044778655126
RGTZ/RGTI,2026-03-12,0.95,1.058804869372437
RGTZ/RGTI,2026-04-13,0.95,0.9489346044323079
RGTZ/RGTI,2026-05-12,0.3,1.0565871144380232
RKLZ/RKLB,2026-02-20,0.3,1.4034818240661937
RKLZ/RKLB,2026-03-23,0.3,1.1042665242591014
RKLZ/RKLB,2026-04-22,0.3,1.168624266860384
RKLZ/RKLB,2026-05-21,0.3,1.6021329553270978
SMCZ/SMCI,2026-01-07,0.95,0.45504171876855404
SMCZ/SMCI,2026-02-06,0.95,0.46846978130745875
SMCZ/SMCI,2026-03-10,0.95,0.5066364511823035
SMCZ/SMCI,2026-04-09,0.95,0.5299969510735059
SMCZ/SMCI,2026-05-08,0.95,0.5064792692852439
HIBS/SPHB,2026-01-07,0.3,1.0639043899971068
HIBS/SPHB,2026-02-06,0.3,1.0511218518383862
HIBS/SPHB,2026-03-10,0.3,0.9870642241816066
HIBS/SPHB,2026-04-09,0.95,0.9880141657275847
HIBS/SPHB,2026-05-11,0.3,1.1054304834912467
SPXS/SPY,2026-01-07,0.3,1.017207734097718
SPXS/SPY,2026-02-06,0.3,1.0037151950241554
SPXS/SPY,2026-03-10,0.95,0.9881332623761948
SPXS/SPY,2026-04-09,0.95,0.9916287281038981
SPXS/SPY,2026-05-11,0.3,1.043994198732102
SPXU/SPY,2026-01-07,0.3,1.0247947086139888
SPXU/SPY,2026-02-06,0.3,1.0113621575308773
SPXU/SPY,2026-03-10,0.95,0.9917791621766917
SPXU/SPY,2026-04-09,0.95,0.9953778341899604
SPXU/SPY,2026-05-08,0.3,1.0496204634788053
UVIX/SVIX,2026-01-07,0.3,1.323362455813132
UVIX/SVIX,2026-02-06,0.3,1.2600097062214406
UVIX/SVIX,2026-03-11,0.95,1.0806871873924024
UVIX/SVIX,2026-04-10,0.95,1.1045098434861929
UVIX/SVIX,2026-05-11,0.95,1.0579039396668433
TBT/TLT,2026-01-07,0.95,0.986289430271133
TBT/TLT,2026-02-06,0.95,0.9857906259257331
TBT/TLT,2026-03-10,0.3,0.9889890989322614
TBT/TLT,2026-04-09,0.95,0.9876638913933045
TBT/TLT,2026-05-08,0.95,0.9879863432704397
TBX/TLT,2026-01-07,0.95,0.9535825777252681
TBX/TLT,2026-02-06,0.95,0.9531120586622289
TBX/TLT,2026-03-10,0.95,0.9444279626313686
TBX/TLT,2026-04-09,0.95,0.9476403822523943
TBX/TLT,2026-05-08,0.95,0.9500284283149592
TMV/TLT,2026-01-07,0.95,0.9648208374611422
TMV/TLT,2026-02-06,0.95,0.9659058990195323
TMV/TLT,2026-03-10,0.95,0.9680523389247034
TMV/TLT,2026-04-09,0.95,0.968018930352835
TMV/TLT,2026-05-11,0.95,0.967459693947589
TSDD/TSLA,2026-01-07,0.95,0.9782932000534454
TSDD/TSLA,2026-02-06,0.95,0.9712717766622374
TSDD/TSLA,2026-03-10,0.95,0.9625589267074725
TSDD/TSLA,2026-04-09,0.95,0.9611218867162017
TSDD/TSLA,2026-05-08,0.55,0.9624949417077059
STSM/TSM,2026-02-20,0.3,0.9491167446203563
STSM/TSM,2026-03-23,0.3,0.8521497477136
STSM/TSM,2026-04-22,0.35,0.8499055479167729
STSM/TSM,2026-05-21,0.95,0.8375489871030641
SCO/USO,2026-01-07,0.95,0.9907921488039738
SCO/USO,2026-02-06,0.3,1.0436890754718022
SCO/USO,2026-03-10,0.3,1.1965481471502213
