etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
AALG,243,0,0.2423772455419635,2025-08-12,243,0,0,2.4686792201800145e-05,,
AAOX,71,0,0.48183429982473003,2026-05-11,71,0,0,8.099144799267322e-09,,
AAPB,972,0,0.29861576729431616,2025-04-09,972,0,0,1.0356160830449213e-05,,
AAPU,975,0,0.29475585807569593,2025-04-09,975,0,0,0.008908953412275156,,
ABNG,150,0,0.1552564965187173,2026-06-18,150,0,0,2.232060293683169e-05,,
ADBG,314,0,0.31818183295982894,2026-06-12,314,0,0,0.0,,
AFRU,196,0,0.2327909524354026,2026-02-12,196,0,0,3.8201441461827024e-05,,
AIYY,647,0,0.24362625351942424,2025-08-11,647,0,0,0.09593373954348983,,
ALBG,108,0,0.3202473774858945,2026-04-16,108,0,0,0.0,,
AMA,41,0,0.2735106081361991,2026-06-25,41,0,0,0.05847808789111264,,
AMDG,352,0,0.4779930861764681,2025-04-09,352,0,0,8.100269370814317e-07,,
AMDL,574,0,0.4758620927790249,2025-04-09,574,0,0,4.0527990630145894e-08,,
AMUU,309,0,0.4819633008300064,2025-04-09,309,0,0,0.0025422845103659775,,
AMYY,190,0,0.07975446391558916,2025-12-19,190,33,0,0.27159733847450807,,scale_bad=33
AMZU,955,0,0.23134949636929258,2025-04-09,955,0,0,0.027804011334610523,,
AMZZ,572,0,0.23173805002864856,2025-04-09,572,0,0,1.2041408750551597e-05,,
ANEL,205,0,0.2702519906519597,2026-05-06,205,0,0,3.219153710265488e-08,,
APHU,90,0,0.2573891849807568,2026-05-27,90,0,0,6.290581223056257e-05,,
APPX,299,0,0.39800994080666974,2026-02-12,299,0,0,0.08016883135625319,,
ARCX,268,0,0.3589743495101352,2025-10-06,268,0,0,6.627121475810682e-06,,
ARMG,367,0,0.48088533836097724,2025-04-09,367,0,0,2.4770762108161648e-08,,
ASMG,363,0,0.3031914833573959,2025-04-09,363,0,0,6.404899833833966e-06,,
ASMU,92,0,0.18777941521087538,2026-06-11,92,0,0,0.027628183449183497,,
ASTN,99,0,0.4242856843130929,2026-06-29,99,0,0,0.0,,
